"county","county14","state","cd116","stab","cntyname","cntyname2","pop16","afact"
"County code","County code (2014)","State code","116th Congressional district","State abbreviation","County name","2014 county name","Population (2016 est.)","county14 to cd116 allocation factor"
"01001","01001","01","02","AL","Autauga AL","Autauga AL",55416,1 
"01003","01003","01","01","AL","Baldwin AL","Baldwin AL",208563,1 
"01005","01005","01","02","AL","Barbour AL","Barbour AL",25965,1 
"01007","01007","01","06","AL","Bibb AL","Bibb AL",22643,1 
"01009","01009","01","04","AL","Blount AL","Blount AL",4924.6008,0.0853 
"01009","01009","01","06","AL","Blount AL","Blount AL",52779.3992,0.9147 
"01011","01011","01","02","AL","Bullock AL","Bullock AL",10362,1 
"01013","01013","01","02","AL","Butler AL","Butler AL",19998,1 
"01015","01015","01","03","AL","Calhoun AL","Calhoun AL",114611,1 
"01017","01017","01","03","AL","Chambers AL","Chambers AL",33843,1 
"01019","01019","01","03","AL","Cherokee AL","Cherokee AL",23969.0205,0.9317 
"01019","01019","01","04","AL","Cherokee AL","Cherokee AL",1755.9795,0.0683 
"01021","01021","01","06","AL","Chilton AL","Chilton AL",43941,1 
"01023","01023","01","07","AL","Choctaw AL","Choctaw AL",12993,1 
"01025","01025","01","01","AL","Clarke AL","Clarke AL",8115.5592,0.3327 
"01025","01025","01","07","AL","Clarke AL","Clarke AL",16276.4408,0.6673 
"01027","01027","01","03","AL","Clay AL","Clay AL",13492,1 
"01029","01029","01","03","AL","Cleburne AL","Cleburne AL",14924,1 
"01031","01031","01","02","AL","Coffee AL","Coffee AL",51226,1 
"01033","01033","01","04","AL","Colbert AL","Colbert AL",54216,1 
"01035","01035","01","02","AL","Conecuh AL","Conecuh AL",12395,1 
"01037","01037","01","06","AL","Coosa AL","Coosa AL",10581,1 
"01039","01039","01","02","AL","Covington AL","Covington AL",37458,1 
"01041","01041","01","02","AL","Crenshaw AL","Crenshaw AL",13913,1 
"01043","01043","01","04","AL","Cullman AL","Cullman AL",82471,1 
"01045","01045","01","02","AL","Dale AL","Dale AL",49226,1 
"01047","01047","01","07","AL","Dallas AL","Dallas AL",40008,1 
"01049","01049","01","04","AL","DeKalb AL","DeKalb AL",70900,1 
"01051","01051","01","02","AL","Elmore AL","Elmore AL",81799,1 
"01053","01053","01","01","AL","Escambia AL","Escambia AL",37728,1 
"01055","01055","01","04","AL","Etowah AL","Etowah AL",102564,1 
"01057","01057","01","04","AL","Fayette AL","Fayette AL",16546,1 
"01059","01059","01","04","AL","Franklin AL","Franklin AL",31628,1 
