,FIPS,County,FIPSTATE,State,NERC,sector,Emp,rho_eff_min,rho_eff_max,rho_eff_avg,burden_min,burden_max,burden_avg,tonCO2e_eff_min,tonCO2e_eff_max,tonCO2e_eff_avg,tonCO2e_eff_min_emp,burden_min_emp,tonCO2e_eff_max_emp,burden_max_emp,tonCO2e_eff_avg_emp,burden_avg_emp,tonCO2e_eff_min_log10,tonCO2e_eff_percapita_min,tonCO2e_eff_percapita_min_log10,lbCO2e_eff_percapita_min,lbCO2e_eff_percapita_min_log10,tonCO2e_eff_peremp_min,tonCO2e_eff_peremp_min_log10,burden_min_log10,burden_percapita_min,burden_percapita_min_log10,burden_peremp_min,burden_peremp_min_log10,tonCO2e_eff_max_log10,tonCO2e_eff_percapita_max,tonCO2e_eff_percapita_max_log10,lbCO2e_eff_percapita_max,lbCO2e_eff_percapita_max_log10,tonCO2e_eff_peremp_max,tonCO2e_eff_peremp_max_log10,burden_max_log10,burden_percapita_max,burden_percapita_max_log10,burden_peremp_max,burden_peremp_max_log10,tonCO2e_eff_avg_log10,tonCO2e_eff_percapita_avg,tonCO2e_eff_percapita_avg_log10,lbCO2e_eff_percapita_avg,lbCO2e_eff_percapita_avg_log10,tonCO2e_eff_peremp_avg,tonCO2e_eff_peremp_avg_log10,burden_avg_log10,burden_percapita_avg,burden_percapita_avg_log10,burden_peremp_avg,burden_peremp_avg_log10,tonneCO2e_eff_peremp_avg,tonneCO2e_eff_peremp_avg_log10,ECF_std_dev,NAME,POP,MIG_EU,MIG_EU_N,MIG_EU_W,MIG_EU_S,MIG_EU_E,MIG_AS,MIG_AS_E,MIG_AS_SC,MIG_AS_SE,MIG_AS_W,MIG_AFR,MIG_AFR_E,MIG_AFR_M,MIG_AFR_N,MIG_AFR_S,MIG_AFR_W,MIG_OC,MIG_LA,MIG_LA_CAR,MIG_LA_CAM,MIG_LA_CAM_MX,MIG_LA_SAM,MIG_NA,MIG_WHITE_NOLATIN,ED_LESSHS,ED_HS,ED_SOMECOLLEGE,ED_BACH,ED_GRAD,MIG_TOT,POV_TOT,POV_MIG,HH_INC_TOT,HH_INC_BELOW_10000,HH_INC_10000_TO_14999,HH_INC_15000_TO_19999,HH_INC_20000_TO_24999,HH_INC_25000_TO_29999,HH_INC_30000_TO_34999,HH_INC_35000_TO_39999,HH_INC_40000_TO_44999,HH_INC_45000_TO_49999,HH_INC_50000_TO_59999,HH_INC_60000_TO_74999,HH_INC_75000_TO_99999,HH_INC_100000_TO_124999,HH_INC_125000_TO_149999,HH_INC_150000_TO_199999,HH_INC_ABOVE_200000,HH_INC_MEDIAN,LBR,EMP,UNEMP,INC_IND_TOT,INC_IND_AG,INC_IND_MN,INC_IND_CN,INC_IND_MF,INC_IND_WHOLESALE,INC_IND_RETAIL,INC_IND_TRANSPORT,INC_IND_UTILITIES,INC_IND_IT,INC_IND_FINANCE,INC_IND_REALESTATE,INC_IND_PROFSERVICES,INC_IND_MNGMNT,INC_IND_ADMIN,INC_IND_ED,INC_IND_HEALTH,INC_IND_ART,INC_IND_ACCOM,INC_IND_OTHER,INC_IND_PUBLIC,EMP_IND_TOT,EMP_IND_AG,EMP_IND_MN,EMP_IND_CN,EMP_IND_MF,EMP_IND_WHOLESALE,EMP_IND_RETAIL,EMP_IND_TRANSPORT,EMP_IND_UTILITIES,EMP_IND_IT,EMP_IND_FINANCE,EMP_IND_REALESTATE,EMP_IND_PROFSERVICES,EMP_IND_MNGMNT,EMP_IND_ADMIN,EMP_IND_ED,EMP_IND_HEALTH,EMP_IND_ART,EMP_IND_ACCOM,EMP_IND_OTHER,EMP_IND_PUBLIC,RACE_WHITE,RACE_BLACK,RACE_NATAMERICAN,RACE_ASIAN,RACE_HAWAII_PACISLAND,RACE_OTHER,ETHN_LATIN,ETHN_NOLATIN,RACE_NOLATIN_WHITE,RACE_PERCENT_MINORITY,RACE_PERCENT_MINORITY_log10,ED_PERCENT_HSORLESS,ED_PERCENT_TERTIARY,UNEMP_RATE,POV_RATE,MIG_PERCENT,MIG_TOT_log10,MIG_PERCENT_log10,land_area_sq_mi,pop_per_sqmi,pop_per_sqmi_log10,POP_log10
69,02110,juneau,02,AK,ASCC,ag,,0.4477898842166731,0.7990720120823788,0.6234309481495259,133111.9070234537,237535.5119140791,185323.7094687664,635.5643914452077,1134.151830983065,884.8581112141364,0.0,0.0,0.0,0.0,0.0,0.0,2.8031595571444328,0.019791498503572,-1.7035213221556744,39.582997007144,1.5975086735083066,,,5.12421690538671,4.145109675939766,0.6175360260866027,,,3.054671198246675,0.0353175296914976,-1.4520096810534322,70.63505938299538,1.8490203146105488,,,5.375728546488952,7.396864569304615,0.869047667188845,,,2.9468736362830823,0.0275545140975348,-1.5598072430170251,55.10902819506968,1.741222752646956,,,5.26793098452536,5.770987122622191,0.7612501052252519,,,,,,"Juneau City and Borough, Alaska",32099.0,196.0,54.0,48.0,4.0,90.0,1662.0,140.0,43.0,1479.0,0.0,19.0,9.0,0.0,0.0,4.0,5.0,198.0,547.0,17.0,416.0,349.0,114.0,78.0,315.0,851.0,4870.0,8117.0,5722.0,3047.0,2177.0,2197.0,212.0,12878.0,437.0,375.0,325.0,275.0,192.0,320.0,387.0,293.0,309.0,784.0,1626.0,2214.0,1564.0,1089.0,1394.0,1294.0,88077.0,17122.0,16364.0,758.0,50856.0,71339.0,95556.0,77120.0,33951.0,68125.0,30588.0,44792.0,77841.0,65547.0,44384.0,49224.0,58782.0,,22050.0,52482.0,50199.0,25560.0,19788.0,31453.0,57569.0,16364.0,467.0,336.0,1170.0,481.0,170.0,1125.0,1109.0,137.0,382.0,201.0,332.0,618.0,5.0,357.0,1661.0,2129.0,407.0,861.0,474.0,3942.0,25238.0,629.0,5896.0,3265.0,692.0,1188.0,2223.0,29876.0,20366.0,36.55254057758809,1.5629175679007763,17.82298513972398,52.60600018692171,2.3614442817533257,6.84444998286551,0.06782142745879934,3.3378584290410944,-1.1686330737299224,2701.93,11.88002649957623,1.0748174093831289,4.506491502771016
110,05049,fulton,05,AR,SERC,ag,,0.5078357160152246,0.8115439390690612,0.659689827542143,1703958.0479740854,2723000.33780976,2213479.192891923,8135.82408986146,13001.406796014302,10568.615442937882,0.0,0.0,0.0,0.0,0.0,0.0,3.910401549842369,0.6631203920336995,-0.1784076166189237,1326.240784067399,3.1226223790450574,,,6.231458898084647,138.88320547510682,2.142649731623353,,,4.113990346975361,1.0596957205977913,0.0251811805140679,2119.3914411955825,3.3262111761780493,,,6.435047695217638,221.9415060567088,2.3462385287563454,,,4.024018095644447,0.8614080563157456,-0.0647910708168463,1722.8161126314913,3.236238924847135,,,6.345075443886724,180.4123557659078,2.2562662774254307,,,,,,"Fulton County, Arkansas",12301.0,35.0,0.0,9.0,0.0,26.0,102.0,15.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,6.0,0.0,0.0,121.0,1398.0,3302.0,3097.0,699.0,482.0,150.0,2519.0,95.0,5014.0,386.0,495.0,312.0,538.0,375.0,383.0,317.0,203.0,168.0,325.0,408.0,519.0,330.0,49.0,178.0,28.0,35274.0,4311.0,4091.0,220.0,28300.0,30192.0,,38500.0,29287.0,33475.0,16750.0,45313.0,71061.0,40714.0,40156.0,,51367.0,,55268.0,32569.0,22827.0,8750.0,6990.0,20298.0,40461.0,4091.0,118.0,0.0,312.0,373.0,138.0,469.0,271.0,102.0,10.0,119.0,4.0,59.0,0.0,77.0,523.0,888.0,16.0,249.0,221.0,142.0,12097.0,65.0,412.0,97.0,26.0,69.0,77.0,12224.0,11620.0,5.536135273554999,0.7432066934141507,38.20827574993903,34.77766035281684,1.7884724819120397,20.47800991789285,0.01219413055849118,2.1760912590556813,-1.9138491594429534,618.19,19.89841310923826,1.2988184429734597,4.089940418498634
130,05089,marion,05,AR,SERC,ag,,0.5162122374131832,0.8155893279859948,0.665900782699589,1451983.0624998775,2294060.0868465165,1873021.574673197,6932.7286502167335,10953.361991714608,8943.04532096567,0.0,0.0,0.0,0.0,0.0,0.0,3.84090420207101,0.4145872892128174,-0.3823840170259379,829.1745784256349,2.918645978638043,,,6.161961550313287,86.83070580671436,1.93867333121634,,,4.039547440669146,0.6550270297640598,-0.1837407784278017,1310.0540595281195,3.1172892172361792,,,6.360604788911424,137.18814058405192,2.137316569814476,,,3.951485431646337,0.5348071594884386,-0.271802787450611,1069.6143189768773,3.02922720821337,,,6.272542779888614,112.00942319538316,2.0492545607916663,,,,,,"Marion County, Arkansas",16586.0,159.0,28.0,118.0,0.0,13.0,63.0,40.0,0.0,23.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,15.0,39.0,39.0,0.0,0.0,0.0,12.0,186.0,1768.0,4384.0,4482.0,1364.0,679.0,301.0,3038.0,58.0,6918.0,705.0,441.0,481.0,431.0,563.0,577.0,443.0,495.0,328.0,581.0,657.0,566.0,248.0,168.0,92.0,142.0,38426.0,5931.0,5575.0,356.0,25983.0,19688.0,23750.0,25486.0,29022.0,75234.0,19457.0,52361.0,45673.0,21576.0,27788.0,23036.0,106250.0,,20221.0,31169.0,24844.0,12917.0,23594.0,11853.0,37685.0,5575.0,100.0,8.0,327.0,1540.0,47.0,773.0,173.0,19.0,107.0,177.0,89.0,169.0,0.0,199.0,413.0,650.0,16.0,193.0,319.0,256.0,16193.0,154.0,377.0,134.0,0.0,40.0,392.0,16194.0,15537.0,6.324611117810197,0.8010338271472551,37.09152297118051,39.340407572651635,2.1463885204389244,18.316652598577114,0.01814783552393585,2.4785664955938436,-1.741175165452459,597.01,27.781779199678397,1.4437600553634218,4.219741661046302
153,05135,sharp,05,AR,SERC,ag,,0.5365222304939209,0.8253979128398261,0.6809600716668734,2528973.460884944,3890629.870676711,3209801.6657808274,12074.994000087583,18576.443395552167,15325.718697819875,0.0,0.0,0.0,0.0,0.0,0.0,4.081886923628146,0.6953238512085445,-0.1578128730585145,1390.6477024170888,3.1432171226054666,,,6.402944271870423,145.62786254088124,2.1632444751837627,,,4.268962568562859,1.0697019115255193,0.0292627718761984,2139.4038230510387,3.33029276754018,,,6.5900199168051365,224.0371916778021,2.350320120118476,,,4.185420849857901,0.8825128813670319,-0.0542789468287594,1765.0257627340638,3.246751048835222,,,6.5064781981001785,184.83252710934167,2.266778401413518,,,,,,"Sharp County, Arkansas",17217.0,9.0,0.0,9.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,66.0,38.0,13.0,21.0,34.0,2071.0,5041.0,4119.0,874.0,437.0,99.0,3058.0,11.0,7315.0,734.0,503.0,590.0,584.0,759.0,441.0,446.0,491.0,285.0,615.0,643.0,745.0,170.0,104.0,105.0,100.0,35573.0,6448.0,6113.0,335.0,25379.0,19375.0,49375.0,40278.0,27079.0,65278.0,22174.0,47083.0,107661.0,9969.0,29348.0,77813.0,16894.0,,23487.0,27297.0,19821.0,6535.0,14427.0,31196.0,30625.0,6113.0,242.0,17.0,512.0,799.0,58.0,870.0,293.0,58.0,79.0,166.0,113.0,140.0,0.0,173.0,495.0,1032.0,117.0,261.0,354.0,334.0,16932.0,234.0,434.0,76.0,0.0,347.0,412.0,16805.0,15831.0,8.050182958703612,0.9058057508091675,41.30800952546901,31.538595574141837,1.945751292327351,17.761514781901607,0.00575013068478829,1.99563519459755,-2.240322284869071,604.44,28.48421679571173,1.4546042825612846,4.235957479466621
162,06003,alpine,06,CA,WECC,ag,,0.4314115320060286,0.7926961906372867,0.6120538613216575,21728.499947106742,39924.98544543613,30826.74269627144,103.74624745979254,190.62831902495736,147.18728324237492,0.0,0.0,0.0,0.0,0.0,0.0,2.0159723970759047,0.0942291075929087,-1.0258149218958472,188.45821518581752,2.275215073768134,,,4.337029745318182,19.735240642240456,1.29524242634643,,,2.280187418247193,0.1731410708673545,-0.7615999007245585,346.2821417347091,2.539430094939423,,,4.601244766489471,36.262475427280776,1.5594574475177188,,,2.167870289238987,0.1336850892301316,-0.8739170297327645,267.3701784602632,2.4271129659312165,,,4.4889276374812646,27.998858034760616,1.4471403185095129,,,,,,"Alpine County, California",1159.0,14.0,14.0,0.0,0.0,0.0,11.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,20.0,20.0,26.0,2.0,16.0,41.0,251.0,247.0,173.0,163.0,68.0,139.0,12.0,397.0,6.0,5.0,13.0,14.0,18.0,30.0,9.0,5.0,12.0,45.0,29.0,41.0,52.0,61.0,28.0,29.0,85750.0,451.0,406.0,45.0,35568.0,48750.0,,50625.0,72292.0,,21625.0,,48750.0,,,,36635.0,,41042.0,66250.0,66875.0,34567.0,17083.0,,26563.0,406.0,25.0,0.0,23.0,25.0,0.0,29.0,14.0,17.0,0.0,6.0,3.0,31.0,0.0,13.0,51.0,39.0,73.0,26.0,2.0,29.0,768.0,10.0,408.0,14.0,4.0,74.0,183.0,976.0,595.0,48.66264020707507,1.6871956680197464,25.194132873166524,50.30198446937014,3.882657463330457,11.993097497842967,0.058671268334771355,1.8325089127062364,-1.2315745232573596,738.33,1.569758779949345,0.19583292082603124,3.064083435963596
228,08019,clear creek,08,CO,WECC,ag,,0.5785735774993364,0.8502587742181527,0.7144161758587445,220596.4405577488,324183.5895033319,272390.0150305403,1053.2734871972148,1547.867132148478,1300.5703096728464,0.0,0.0,0.0,0.0,0.0,0.0,3.022541152343309,0.1096588742527032,-0.9599562168544028,219.3177485054065,2.3410737788095783,,,5.343598500585587,22.966833998724496,1.3611011313878745,,,3.189733678406762,0.1611522261476812,-0.7927636907909509,322.3044522953624,2.5082663048730303,,,5.510791026649039,33.75154497692159,1.5282936574513264,,,3.114133835407365,0.1354055502001922,-0.8683635337903476,270.8111004003845,2.432666461873634,,,5.435191183649642,28.35918948782304,1.4526938144519297,,,,,,"Clear Creek County, Colorado",9533.0,113.0,79.0,2.0,7.0,25.0,45.0,45.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,6.0,5.0,17.0,144.0,188.0,1513.0,1960.0,2111.0,1677.0,209.0,578.0,12.0,4378.0,148.0,169.0,93.0,121.0,164.0,163.0,264.0,251.0,67.0,490.0,347.0,455.0,572.0,208.0,401.0,465.0,71919.0,5782.0,5547.0,235.0,42142.0,31250.0,103167.0,41744.0,42708.0,25833.0,29771.0,76058.0,54821.0,58214.0,68889.0,50625.0,80568.0,,24531.0,47174.0,57560.0,27206.0,20735.0,56125.0,123750.0,5547.0,40.0,60.0,562.0,235.0,74.0,765.0,171.0,44.0,98.0,180.0,147.0,697.0,0.0,149.0,595.0,397.0,426.0,470.0,129.0,308.0,9265.0,163.0,287.0,109.0,0.0,12.0,689.0,8844.0,8407.0,11.811601804258887,1.072308797493172,17.843281233609567,60.29581453896989,2.4651211580824506,6.063149061155984,0.021923843491031155,2.3201462861110542,-1.6590833069111013,395.23,24.120132581028766,1.382379690659281,3.9792295930221555
242,08047,gilpin,08,CO,WECC,ag,,0.5589663713989644,0.8414675951930033,0.700216983295984,136094.60289564042,204876.72260269616,170485.6627491683,649.8057566939112,978.2171440104784,814.0114503521949,0.0,0.0,0.0,0.0,0.0,0.0,2.812783554484072,0.1061600648086768,-0.9740388250151152,212.32012961735376,2.326991170648866,,,5.13384090272635,22.234047197458,1.347018523227162,,,2.990435269897964,0.1598132893335203,-0.7963871096012235,319.62657866704075,2.504642886062758,,,5.3114926181402415,33.47111952339424,1.5246702386410538,,,2.910630513967578,0.1329866770710986,-0.8761918655316095,265.9733541421973,2.424838130132372,,,5.231687862209856,27.85258336042612,1.4448654827106675,,,,,,"Gilpin County, Colorado",6108.0,135.0,46.0,63.0,0.0,26.0,15.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,32.0,7.0,25.0,25.0,0.0,56.0,157.0,280.0,740.0,1699.0,1203.0,962.0,253.0,326.0,34.0,2860.0,76.0,57.0,55.0,59.0,45.0,34.0,194.0,91.0,73.0,308.0,217.0,338.0,364.0,117.0,487.0,345.0,90547.0,3926.0,3850.0,76.0,53462.0,,,54375.0,81250.0,,32841.0,39318.0,,80385.0,97604.0,,138250.0,,39519.0,61936.0,33772.0,45156.0,17054.0,22682.0,69421.0,3850.0,16.0,23.0,268.0,412.0,16.0,199.0,120.0,0.0,204.0,58.0,36.0,392.0,0.0,90.0,431.0,333.0,658.0,132.0,169.0,293.0,5905.0,102.0,241.0,48.0,0.0,23.0,532.0,5576.0,5243.0,14.161755075311067,1.1511170790804306,16.699410609037326,63.261296660117885,1.2442698100851344,5.337262606417813,0.04142108709888671,2.403120521175818,-1.3827785072085657,149.9,40.74716477651768,1.6100973955361042,3.7858990283843834
245,08053,hinsdale,08,CO,WECC,ag,,0.5441892260550971,0.8348420448961599,0.6895156354756286,75601.53652126591,115980.50517140364,95791.02084633478,360.9717990366924,553.7677345106551,457.36976677367375,0.0,0.0,0.0,0.0,0.0,0.0,2.5574732739246167,0.4450946967160201,-0.3515475802865396,890.1893934320403,2.949482415377441,,,4.878530622166894,93.22014367603688,1.9695097679557376,,,2.7433276478122304,0.6828208810242357,-0.1656932063989258,1365.6417620484713,3.135336789265055,,,5.064384996054508,143.0092542187468,2.155364141843352,,,2.660267453324249,0.5639577888701279,-0.2487534008869069,1127.915577740256,3.0522765947770742,,,4.981324801566527,118.11469894739184,2.0723039473553704,,,,,,"Hinsdale County, Colorado",781.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,107.0,234.0,197.0,89.0,6.0,80.0,0.0,376.0,26.0,24.0,14.0,41.0,7.0,23.0,58.0,10.0,15.0,29.0,14.0,38.0,18.0,13.0,17.0,29.0,39038.0,368.0,349.0,19.0,31397.0,,,54375.0,34375.0,,22031.0,18750.0,,28125.0,,,115625.0,,,42917.0,11875.0,23750.0,27917.0,4099.0,48000.0,349.0,3.0,0.0,40.0,12.0,0.0,37.0,10.0,6.0,20.0,18.0,3.0,40.0,0.0,4.0,19.0,19.0,14.0,15.0,59.0,30.0,730.0,15.0,21.0,3.0,0.0,22.0,75.0,706.0,675.0,13.572343149807942,1.13265483138747,17.157490396927017,66.58130601792574,2.4327784891165174,10.243277848911651,0.0076824583866837385,0.7781512503836436,-2.1144997834936565,1117.25,0.699037816066234,-0.15549932945509642,2.8926510338773004
251,08065,lake,08,CO,WECC,ag,,0.5914209898516257,0.8560191003666471,0.7237200451091363,530197.8069113333,767405.0422229215,648801.4245671274,2531.5154296137603,3664.099850710262,3097.807640162011,0.0,0.0,0.0,0.0,0.0,0.0,3.403380578760463,0.3235576980590184,-0.490048263019082,647.1153961180369,2.8109817326449,,,5.72443792700274,67.76556836801295,1.8310090852231955,,,3.563967300154549,0.4683154205918024,-0.3294615416249961,936.6308411836048,2.971568454038985,,,5.8850246483968265,98.08346654178445,1.9915958066172808,,,3.4910544465381395,0.3959365593254104,-0.4023743952414056,791.8731186508207,2.8986556004225754,,,5.812111794780416,82.92451745489869,1.9186829530008715,,,,,,"Lake County, Colorado",7845.0,29.0,0.0,29.0,0.0,0.0,36.0,12.0,24.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,706.0,0.0,706.0,706.0,0.0,8.0,57.0,661.0,1342.0,1485.0,1666.0,693.0,700.0,1041.0,136.0,3275.0,192.0,296.0,4.0,159.0,93.0,44.0,68.0,181.0,197.0,311.0,328.0,493.0,540.0,85.0,168.0,116.0,65858.0,4762.0,4589.0,173.0,37474.0,39813.0,110258.0,35036.0,113000.0,59375.0,48200.0,68625.0,,,40526.0,,69293.0,,2499.0,40139.0,33950.0,35649.0,16500.0,12614.0,55500.0,4589.0,208.0,175.0,798.0,52.0,103.0,279.0,30.0,12.0,22.0,409.0,61.0,197.0,0.0,212.0,464.0,258.0,622.0,282.0,237.0,168.0,7083.0,59.0,451.0,148.0,167.0,992.0,2044.0,5801.0,5246.0,33.129381771829195,1.5202133315780573,25.53218610579987,48.9993626513703,2.2052262587635436,13.26959847036329,0.08922880815806246,2.845098040014257,-1.0494949079086986,376.91,20.813987424053487,1.3183552878222333,3.8945929479229555
258,08079,mineral,08,CO,WECC,ag,,0.5636125208661725,0.8435507645917815,0.703581642728977,66606.09663933345,99688.38815049116,83147.2423949123,318.02161221880675,475.9783791382173,396.9999956785121,0.0,0.0,0.0,0.0,0.0,0.0,2.5024566349166077,0.4098216652304211,-0.3874050863415813,819.6433304608421,2.9136249093224,,,4.823513983158884,85.83259876202764,1.933652261900696,,,2.677587225757836,0.6133741999203831,-0.2122744955003524,1226.7483998407663,3.0887555001636287,,,4.998644574000113,128.46441771970512,2.108782852741925,,,2.5987905020356634,0.5115979325754021,-0.2910712192225252,1023.195865150804,3.009958776441456,,,4.91984785027794,107.14850824086638,2.029986129019752,,,,,,"Mineral County, Colorado",853.0,4.0,0.0,0.0,0.0,4.0,42.0,0.0,6.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,118.0,189.0,252.0,127.0,42.0,127.0,0.0,394.0,33.0,13.0,2.0,12.0,3.0,14.0,2.0,81.0,23.0,38.0,47.0,40.0,44.0,18.0,14.0,10.0,53571.0,482.0,455.0,27.0,21924.0,51250.0,,65104.0,,,23657.0,,,61250.0,,56944.0,,,,20250.0,16500.0,21800.0,12039.0,20660.0,15000.0,455.0,14.0,3.0,56.0,0.0,0.0,31.0,3.0,5.0,9.0,2.0,18.0,5.0,0.0,8.0,63.0,30.0,36.0,71.0,53.0,48.0,751.0,11.0,25.0,102.0,0.0,31.0,34.0,819.0,703.0,17.584994138335286,1.245142227888158,15.474794841735054,66.58851113716295,3.1652989449003512,14.88862837045721,0.0492379835873388,1.6232492903979006,-1.3076997407696227,875.67,0.9741112519556454,-0.011391440091329832,2.930949031167523
