,FIPS,County,FIPSTATE,State,NERC,sector,Emp,rho_eff_min,rho_eff_max,rho_eff_avg,burden_min,burden_max,burden_avg,tonCO2e_eff_min,tonCO2e_eff_max,tonCO2e_eff_avg,tonCO2e_eff_min_emp,burden_min_emp,tonCO2e_eff_max_emp,burden_max_emp,tonCO2e_eff_avg_emp,burden_avg_emp,tonCO2e_eff_min_log10,tonCO2e_eff_percapita_min,tonCO2e_eff_percapita_min_log10,lbCO2e_eff_percapita_min,lbCO2e_eff_percapita_min_log10,tonCO2e_eff_peremp_min,tonCO2e_eff_peremp_min_log10,burden_min_log10,burden_percapita_min,burden_percapita_min_log10,burden_peremp_min,burden_peremp_min_log10,tonCO2e_eff_max_log10,tonCO2e_eff_percapita_max,tonCO2e_eff_percapita_max_log10,lbCO2e_eff_percapita_max,lbCO2e_eff_percapita_max_log10,tonCO2e_eff_peremp_max,tonCO2e_eff_peremp_max_log10,burden_max_log10,burden_percapita_max,burden_percapita_max_log10,burden_peremp_max,burden_peremp_max_log10,tonCO2e_eff_avg_log10,tonCO2e_eff_percapita_avg,tonCO2e_eff_percapita_avg_log10,lbCO2e_eff_percapita_avg,lbCO2e_eff_percapita_avg_log10,tonCO2e_eff_peremp_avg,tonCO2e_eff_peremp_avg_log10,burden_avg_log10,burden_percapita_avg,burden_percapita_avg_log10,burden_peremp_avg,burden_peremp_avg_log10,tonneCO2e_eff_peremp_avg,tonneCO2e_eff_peremp_avg_log10,ECF_std_dev,NAME,POP,MIG_EU,MIG_EU_N,MIG_EU_W,MIG_EU_S,MIG_EU_E,MIG_AS,MIG_AS_E,MIG_AS_SC,MIG_AS_SE,MIG_AS_W,MIG_AFR,MIG_AFR_E,MIG_AFR_M,MIG_AFR_N,MIG_AFR_S,MIG_AFR_W,MIG_OC,MIG_LA,MIG_LA_CAR,MIG_LA_CAM,MIG_LA_CAM_MX,MIG_LA_SAM,MIG_NA,MIG_WHITE_NOLATIN,ED_LESSHS,ED_HS,ED_SOMECOLLEGE,ED_BACH,ED_GRAD,MIG_TOT,POV_TOT,POV_MIG,HH_INC_TOT,HH_INC_BELOW_10000,HH_INC_10000_TO_14999,HH_INC_15000_TO_19999,HH_INC_20000_TO_24999,HH_INC_25000_TO_29999,HH_INC_30000_TO_34999,HH_INC_35000_TO_39999,HH_INC_40000_TO_44999,HH_INC_45000_TO_49999,HH_INC_50000_TO_59999,HH_INC_60000_TO_74999,HH_INC_75000_TO_99999,HH_INC_100000_TO_124999,HH_INC_125000_TO_149999,HH_INC_150000_TO_199999,HH_INC_ABOVE_200000,HH_INC_MEDIAN,LBR,EMP,UNEMP,INC_IND_TOT,INC_IND_AG,INC_IND_MN,INC_IND_CN,INC_IND_MF,INC_IND_WHOLESALE,INC_IND_RETAIL,INC_IND_TRANSPORT,INC_IND_UTILITIES,INC_IND_IT,INC_IND_FINANCE,INC_IND_REALESTATE,INC_IND_PROFSERVICES,INC_IND_MNGMNT,INC_IND_ADMIN,INC_IND_ED,INC_IND_HEALTH,INC_IND_ART,INC_IND_ACCOM,INC_IND_OTHER,INC_IND_PUBLIC,EMP_IND_TOT,EMP_IND_AG,EMP_IND_MN,EMP_IND_CN,EMP_IND_MF,EMP_IND_WHOLESALE,EMP_IND_RETAIL,EMP_IND_TRANSPORT,EMP_IND_UTILITIES,EMP_IND_IT,EMP_IND_FINANCE,EMP_IND_REALESTATE,EMP_IND_PROFSERVICES,EMP_IND_MNGMNT,EMP_IND_ADMIN,EMP_IND_ED,EMP_IND_HEALTH,EMP_IND_ART,EMP_IND_ACCOM,EMP_IND_OTHER,EMP_IND_PUBLIC,RACE_WHITE,RACE_BLACK,RACE_NATAMERICAN,RACE_ASIAN,RACE_HAWAII_PACISLAND,RACE_OTHER,ETHN_LATIN,ETHN_NOLATIN,RACE_NOLATIN_WHITE,RACE_PERCENT_MINORITY,RACE_PERCENT_MINORITY_log10,ED_PERCENT_HSORLESS,ED_PERCENT_TERTIARY,UNEMP_RATE,POV_RATE,MIG_PERCENT,MIG_TOT_log10,MIG_PERCENT_log10,land_area_sq_mi,pop_per_sqmi,pop_per_sqmi_log10,POP_log10
17115,01043,cullman,01,AL,SERC,coal,,0.4722461665302715,0.7932013205112058,0.6327237435207387,1763355.9447171935,2961794.8498292463,2362575.39727322,8419.428982472662,14141.569927216227,11280.499454844445,0.0,0.0,0.0,0.0,0.0,0.0,3.925282638035218,0.1009015721396019,-0.9961020670015952,201.80314427920385,2.304927928662386,,,6.246339986277496,21.132714277188867,1.324955281240682,,,4.1504976253646975,0.1694778400232044,-0.7708870796721164,338.95568004640893,2.5301429159918647,,,6.471554973606975,35.495252388835915,1.5501702685701608,,,4.052328328874351,0.1351897060814031,-0.8690563761624626,270.3794121628064,2.4319736195015187,,,6.373385677116628,28.313983333012395,1.4520009720798148,,,,,,"Cullman County, Alabama",83345.0,194.0,55.0,127.0,0.0,12.0,318.0,117.0,30.0,157.0,14.0,30.0,30.0,0.0,0.0,0.0,0.0,19.0,1543.0,143.0,1210.0,1173.0,190.0,8.0,239.0,10302.0,18747.0,20081.0,5889.0,3065.0,1769.0,10414.0,253.0,31733.0,2164.0,1762.0,1808.0,1808.0,1956.0,1815.0,1918.0,1930.0,1095.0,3093.0,3118.0,3850.0,2212.0,1230.0,1315.0,659.0,48388.0,37267.0,35401.0,1866.0,32458.0,29375.0,49125.0,33500.0,42411.0,41897.0,21753.0,46650.0,37403.0,28750.0,42450.0,40945.0,50809.0,,26151.0,37196.0,25714.0,20938.0,15816.0,26071.0,50203.0,35401.0,735.0,45.0,3702.0,5719.0,834.0,4816.0,1520.0,492.0,208.0,1045.0,411.0,1315.0,60.0,1574.0,2291.0,5251.0,270.0,1988.0,1714.0,1411.0,80954.0,1451.0,1208.0,621.0,53.0,1878.0,3676.0,79669.0,76163.0,8.617193592897,0.9353658498659017,34.85392045113684,34.837122802807606,2.238886555882176,12.495050692902995,0.02122502849601056,3.2477278329097232,-1.6731517180144297,734.84,113.41924772739644,2.054686762426932,4.920879550924153
17116,01049,dekalb,01,AL,SERC,coal,2.0,0.0211796107447504,0.0211796107447504,0.0211796107447504,204302.84411001796,204302.84411001796,204302.84411001796,975.477068061463,975.477068061463,975.477068061463,975.477068061463,204302.84411001796,975.477068061463,204302.84411001796,975.477068061463,204302.84411001796,2.989217064267258,0.0136650146117736,-1.86438989958718,27.330029223547328,1.436640096076801,487.7385340307315,2.6881870686032774,5.310274412509536,2.861985628773803,0.4566674486550973,102151.42205500897,5.009244416845555,2.989217064267258,0.0136650146117736,-1.86438989958718,27.330029223547328,1.436640096076801,487.7385340307315,2.6881870686032774,5.310274412509536,2.861985628773803,0.4566674486550973,102151.42205500897,5.009244416845555,2.989217064267258,0.0136650146117736,-1.86438989958718,27.330029223547328,1.436640096076801,487.7385340307315,2.6881870686032774,5.310274412509536,2.861985628773803,0.4566674486550973,102151.42205500897,5.009244416845555,442.46893567310894,2.64588278567944,-0.3650491172476517,"DeKalb County, Alabama",71430.0,83.0,31.0,52.0,0.0,0.0,80.0,6.0,34.0,23.0,17.0,5.0,0.0,0.0,0.0,5.0,0.0,36.0,4878.0,0.0,4878.0,3011.0,0.0,42.0,168.0,10615.0,15809.0,15129.0,4166.0,2587.0,4091.0,14596.0,2159.0,26365.0,2122.0,1740.0,1934.0,1635.0,2066.0,1477.0,1483.0,1455.0,1052.0,2426.0,2543.0,2807.0,1721.0,732.0,599.0,573.0,42267.0,31594.0,30188.0,1406.0,29923.0,25974.0,,28583.0,33836.0,37199.0,21685.0,41654.0,50777.0,45316.0,27321.0,38875.0,31643.0,,31466.0,45192.0,25620.0,6900.0,10203.0,23676.0,32711.0,30188.0,845.0,6.0,2175.0,8261.0,684.0,3260.0,1421.0,505.0,616.0,1015.0,273.0,646.0,9.0,818.0,1855.0,3718.0,158.0,1318.0,1580.0,1025.0,62986.0,1484.0,1933.0,177.0,92.0,7363.0,10530.0,60900.0,57324.0,19.748005039899198,1.2955232293840406,36.99286014279715,30.634187316253676,1.9683606327873444,20.433991320173597,0.05727285454290914,3.6118294794983736,-1.2420511706261685,777.09,91.91985484306836,1.9634093298566409,4.853880650124542
17117,01057,fayette,01,AL,SERC,coal,,0.6592396957799178,0.8844451416482516,0.7718424187140848,4344695.562327895,5828903.973228674,5086799.767778286,20744.45369187813,27831.047495134266,24287.7505935062,0.0,0.0,0.0,0.0,0.0,0.0,4.316902002108987,1.2623655870430313,0.1011851468594626,2524.7311740860623,3.402215142523444,,,6.637959350351263,264.3884599481468,2.42224249510174,,,4.444529552463955,1.6936072229741534,0.228812697214431,3387.214445948307,3.5298426928784123,,,6.765586900706232,354.70723381176134,2.549870045456708,,,4.385387294547232,1.4779864050085925,0.169670439297708,2955.972810017185,3.470700434961689,,,6.706444642789509,309.5478468799541,2.4907277875399854,,,,,,"Fayette County, Alabama",16406.0,9.0,0.0,9.0,0.0,0.0,110.0,34.0,32.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,19.0,0.0,16.0,26.0,1829.0,4934.0,3387.0,1055.0,367.0,126.0,3345.0,22.0,6805.0,600.0,627.0,472.0,512.0,504.0,315.0,282.0,188.0,334.0,591.0,541.0,1053.0,376.0,151.0,147.0,112.0,41469.0,6978.0,6423.0,555.0,33400.0,40300.0,60536.0,34087.0,43258.0,39821.0,22250.0,51071.0,32326.0,46607.0,35700.0,64219.0,22273.0,,18929.0,42500.0,27648.0,20278.0,9821.0,16528.0,37063.0,6423.0,60.0,45.0,273.0,1682.0,167.0,1015.0,332.0,71.0,129.0,164.0,49.0,76.0,0.0,182.0,496.0,983.0,32.0,222.0,298.0,147.0,14252.0,2278.0,136.0,132.0,4.0,10.0,89.0,16317.0,13821.0,15.75643057418018,1.1974578402150091,41.22272339388029,29.312446665853958,3.382908691941972,20.388882116298916,0.007680117030354748,2.100370545117563,-2.1146321620973896,627.66,26.138355160437182,1.4172782547356697,4.2150027072149525
17118,01071,jackson,01,AL,SERC,coal,,0.4722461665302714,0.793201320511206,0.6327237435207387,5290067.834151581,8885384.54948774,7087726.191819661,25258.286947417982,42424.709781648686,33841.498364533334,0.0,0.0,0.0,0.0,0.0,0.0,4.402403892754881,0.4882149170291091,-0.3113889551841795,976.429834058218,2.989641040479801,,,6.723461240997158,102.25119518616788,2.0096683930580976,,,4.62761888008436,0.82002299717119,-0.0861739678547006,1640.04599434238,3.214856027809281,,,6.948676228326637,171.74471450223712,2.2348833803875765,,,4.529449583594014,0.6541189571001494,-0.1843432643450467,1308.237914200299,3.1166867313189344,,,6.850506931836291,136.99795484420252,2.1367140838972305,,,,,,"Jackson County, Alabama",51765.0,103.0,42.0,1.0,10.0,50.0,136.0,52.0,14.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,506.0,315.0,28.0,1.0,96.0,6136.0,14501.0,10447.0,3942.0,2076.0,695.0,9153.0,385.0,20367.0,1669.0,1610.0,1419.0,1096.0,1564.0,1082.0,1021.0,1170.0,805.0,1363.0,2473.0,1901.0,1764.0,617.0,415.0,398.0,42578.0,20828.0,19746.0,1082.0,32007.0,45625.0,31250.0,33250.0,34387.0,27066.0,17391.0,40300.0,73455.0,56126.0,39899.0,29000.0,45200.0,,22786.0,49495.0,32070.0,5313.0,13898.0,26713.0,40750.0,19746.0,256.0,14.0,1434.0,5615.0,344.0,1836.0,620.0,303.0,141.0,545.0,56.0,894.0,0.0,601.0,1881.0,2295.0,186.0,1141.0,873.0,711.0,48577.0,2075.0,1640.0,309.0,45.0,510.0,1541.0,50224.0,46198.0,10.754370713802764,1.0315850029597704,39.86670530281078,31.80720564087704,2.090215396503429,17.681831353230947,0.013426060079204095,2.8419848045901137,-1.8720514137570543,1077.87,48.02527206434914,1.681469833829637,4.714036218347168
17119,01073,jefferson,01,AL,SERC,coal,1467.0,0.0273874386024369,0.0295035631394791,0.028445500870958,124040506.98929282,133624651.17442456,128832579.0818587,592251.5205594224,638012.5715634706,615132.0460614465,592251.5205594224,124040506.98929282,638012.5715634706,133624651.17442456,615132.0460614465,128832579.0818587,5.772506184413324,0.8983035348997762,-0.0465768913303793,1796.6070697995524,3.254453104333602,403.7161012675,2.6060760705700408,8.093563532655601,188.13970421552077,2.274480456911898,84553.85616175379,4.927133418812318,5.804829236255416,0.9677120757826038,-0.014253839488287,1935.4241515652077,3.2867761561756943,434.90972840045714,2.638399122412133,8.125886584497692,202.6765526686252,2.30680350875399,91087.0151154905,4.95945647065441,5.788968352718958,0.93300780534119,-0.0301147230247445,1866.01561068238,3.2709152726392365,419.31291483397854,2.6225382388756757,8.110025700961236,195.40812844207292,2.2909426252175327,87820.43563862215,4.943595587117953,380.39426084978834,2.580233955951837,-0.4930581131358222,"Jefferson County, Alabama",658615.0,2146.0,642.0,584.0,219.0,693.0,8774.0,2481.0,3675.0,1622.0,891.0,1817.0,975.0,41.0,58.0,91.0,539.0,242.0,11939.0,479.0,10269.0,8147.0,1191.0,423.0,3585.0,42690.0,118507.0,135630.0,94241.0,59011.0,20623.0,100865.0,4332.0,263801.0,22217.0,12800.0,12538.0,13101.0,12895.0,13745.0,11639.0,11505.0,10240.0,20282.0,25476.0,30018.0,21299.0,14190.0,14336.0,17520.0,55088.0,322243.0,302092.0,20151.0,38138.0,18182.0,69236.0,37389.0,43090.0,51965.0,23968.0,42606.0,74835.0,55282.0,54361.0,39911.0,67132.0,59300.0,24974.0,44994.0,38906.0,20022.0,15048.0,28584.0,51425.0,302092.0,704.0,1102.0,15918.0,27259.0,8229.0,32835.0,12282.0,4890.0,6518.0,21157.0,5237.0,18961.0,518.0,12575.0,26970.0,50659.0,5220.0,21982.0,16071.0,13005.0,350573.0,289399.0,5110.0,14185.0,498.0,14775.0,25757.0,632858.0,326618.0,50.40835693083212,1.702502541764625,24.47514860730472,43.86204383441009,3.059602347350121,15.314713451713063,0.03131267887916309,4.314351841775663,-1.50427977579829,1111.28,592.6634151608955,2.7728081192684897,5.818631617573953
17120,01117,shelby,01,AL,SERC,coal,4.0,0.4535313806435642,0.676573799930013,0.5650525902867886,3915289.191696101,5840791.1763279,4878040.184012001,18694.183323614197,27887.804874490368,23290.99409905228,18694.183323614197,3915289.191696101,27887.804874490368,5840791.1763279,23290.99409905228,4878040.184012001,4.271706497262637,0.0866647040829189,-1.0621577415443375,173.32940816583786,2.2388722541196437,4673.545830903548,3.6696465059346752,6.592763845504915,18.15096029195205,1.2588996066979394,978822.2979240252,5.990703854176952,4.445414331103104,0.1292855812490571,-0.888449907703872,258.5711624981143,2.412580087960109,6971.951218622592,3.843354339775141,6.766471679345381,27.07742992266315,1.4326074405384053,1460197.794081975,6.1644116880174185,4.367188025353883,0.107975142665988,-0.9666762134530924,215.9502853319761,2.3343537822108886,5822.74852476307,3.765128034025921,6.68824537359616,22.614195107307605,1.354381134789185,1219510.0460030003,6.086185382268198,5282.308373612628,3.7228237511020823,1.7348836947553474,"Shelby County, Alabama",216350.0,1131.0,383.0,319.0,90.0,339.0,3491.0,1112.0,902.0,1271.0,201.0,474.0,166.0,19.0,142.0,85.0,62.0,16.0,5424.0,354.0,4039.0,3054.0,1031.0,250.0,2385.0,10038.0,28723.0,43693.0,42683.0,22654.0,9223.0,14619.0,1301.0,80756.0,3081.0,2420.0,2101.0,2863.0,2484.0,2558.0,2624.0,3235.0,2861.0,5843.0,8363.0,11192.0,9488.0,7236.0,6533.0,7874.0,78889.0,112174.0,107936.0,4238.0,46261.0,29922.0,78518.0,41971.0,61050.0,57014.0,24782.0,52844.0,97672.0,58770.0,65520.0,44798.0,64790.0,98688.0,35627.0,45005.0,47235.0,13082.0,16813.0,30888.0,59870.0,107936.0,355.0,495.0,7179.0,8183.0,4358.0,11577.0,3554.0,3007.0,2185.0,9086.0,2277.0,8428.0,153.0,3994.0,10394.0,13296.0,1761.0,7772.0,5955.0,3927.0,178738.0,29378.0,1837.0,5714.0,170.0,7440.0,12354.0,203996.0,167380.0,22.634619828980817,1.354773204483475,17.915877051074645,50.395192974347125,1.9588629535474924,6.757106540328171,0.04262999768892997,3.9648722086377752,-1.370284690896968,784.93,275.6296739836674,2.4403259714127454,5.335156899534743
17121,01125,tuscaloosa,01,AL,SERC,coal,488.0,0.0307030268093755,0.0364081768850057,0.0335556018471906,39830531.41810629,47231728.72491412,43531130.0715102,190177.3329505946,225515.5500000913,207846.44147534293,190177.3329505946,39830531.41810629,225515.5500000913,47231728.72491412,207846.44147534293,43531130.0715102,5.2791587525534815,0.910327043337089,-0.0408025553709553,1820.654086674178,3.2602274402930256,389.7076494889234,2.59073893055077,7.600216100795759,190.65789459677225,2.2802547928713217,81619.94143054567,4.911796278793048,5.353176493204658,1.0794814538252713,0.0332151852802214,2158.9629076505425,3.3342451809442024,462.1220286887116,2.6647566712019475,7.674233841446935,226.08540825956564,2.354272533522499,96786.3293543322,4.985814019444224,5.317742593379871,0.9949042485811802,-0.0022187145445651,1989.8084971623605,3.298811281119416,425.9148390888175,2.629322771377161,7.638799941622149,208.37165142816892,2.318838633697712,89203.13539243894,4.950380119619438,386.3834255243372,2.587018488453323,-0.4798289177839867,"Tuscaloosa County, Alabama",208854.0,670.0,89.0,368.0,79.0,134.0,2893.0,963.0,827.0,669.0,353.0,360.0,73.0,0.0,11.0,0.0,243.0,26.0,3252.0,233.0,2807.0,1910.0,212.0,160.0,1407.0,13723.0,37890.0,38545.0,23944.0,16838.0,5713.0,34217.0,1652.0,74713.0,6542.0,4042.0,3700.0,3207.0,3533.0,3892.0,3231.0,3463.0,2886.0,5983.0,7335.0,8954.0,6853.0,4510.0,3444.0,3138.0,54283.0,103618.0,97448.0,6170.0,33784.0,33648.0,65377.0,36381.0,40554.0,52500.0,19998.0,41217.0,70725.0,40673.0,51087.0,27452.0,46409.0,150795.0,20858.0,41137.0,40759.0,20406.0,13450.0,23741.0,52406.0,97448.0,313.0,748.0,7040.0,14360.0,1851.0,10799.0,3365.0,908.0,1175.0,2345.0,1954.0,4333.0,45.0,3244.0,14453.0,13940.0,1388.0,7861.0,4193.0,3133.0,135345.0,68517.0,1367.0,4042.0,161.0,3245.0,7966.0,200888.0,127502.0,38.951612130962296,1.5905254369788562,24.71247857354899,37.982035297384776,2.954216821320157,16.383215068899805,0.027354036791251306,3.756864224060549,-1.5629785732867827,1321.76,158.01204454666507,2.1986901925290137,5.319842797347332
17122,01127,walker,01,AL,SERC,coal,474.0,0.0468718682708858,0.0645955051573646,0.0557336867141252,39517881.8467935,54460759.40242082,46989320.62460716,188684.5368591676,260031.72955177297,224358.13320547028,188684.5368591676,39517881.8467935,260031.72955177297,54460759.40242082,224358.13320547028,46989320.62460716,5.275736310170725,2.9615692244536667,0.47152188840255,5923.138448907333,3.772551884066531,398.0686431628008,2.59995796849664,7.596793658413002,620.2678006434289,2.792579236644827,83371.0587485095,4.9210153167389175,5.415026344618839,4.0814259633622605,0.6108119228506639,8162.851926724521,3.911841918514645,548.5901467336982,2.7392480029447537,7.736083692861116,854.8093641980321,2.9318692710929413,114896.11688274436,5.060305351187031,5.3509418177613695,3.521497593907964,0.5467273959931942,7042.995187815927,3.8477573916571752,473.3293949482496,2.675163476087284,7.671999166003647,737.5385824207304,2.867784744235472,99133.58781562692,4.996220824329561,429.39718515730925,2.6328591931634464,-0.3904438883006386,"Walker County, Alabama",63802.0,45.0,0.0,45.0,0.0,0.0,172.0,129.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,7.0,612.0,219.0,8.0,17.0,62.0,8185.0,15621.0,14835.0,3768.0,2221.0,718.0,10597.0,268.0,25440.0,2082.0,1743.0,1690.0,1647.0,1257.0,1139.0,1837.0,1169.0,902.0,2038.0,2372.0,3515.0,1887.0,807.0,884.0,471.0,45833.0,26947.0,24972.0,1975.0,35440.0,20872.0,61821.0,32382.0,40737.0,44563.0,23949.0,49191.0,70508.0,51900.0,51859.0,49947.0,36295.0,,26260.0,41619.0,32798.0,16758.0,14193.0,32003.0,46750.0,24972.0,210.0,1116.0,1738.0,3141.0,527.0,3430.0,1197.0,349.0,326.0,689.0,406.0,623.0,18.0,1114.0,1994.0,3278.0,255.0,1928.0,1581.0,1052.0,58844.0,4470.0,744.0,380.0,42.0,1073.0,1657.0,62145.0,56327.0,11.715933669790912,1.0687769042416082,37.31230995893546,32.63847528290649,3.0955142472022823,16.60919720384941,0.01125356571894298,2.8561244442423,-1.9487098485125587,791.19,80.64055410204881,1.9065535032611158,4.804834292754859
17123,02068,denali,02,AK,ASCC,coal,102.0,0.0265491043648094,0.0303234145434906,0.02843625945415,8841709.41433731,10098676.63179672,9470193.023067014,42216.17576456575,48217.76963017242,45216.972697369085,42216.17576456575,8841709.41433731,48217.76963017242,10098676.63179672,45216.972697369085,9470193.023067014,4.625478889332373,20.50324223631168,1.3118225427143415,41006.48447262336,4.6128525383783225,413.8840761231936,2.6168787175704558,6.946536237574651,4294.176500406658,3.632879890956619,86683.42563075793,4.937936065812733,4.683207117702341,23.418052273031773,1.3695507710843096,46836.10454606354,4.670580766748291,472.7232316683571,2.674606945940424,7.004264465944618,4904.651108206274,3.690608119326587,99006.63364506589,4.995664294182701,4.655301482714383,21.960647254671727,1.3416451360963515,43921.294509343454,4.642675131760333,443.30365389577537,2.6467013109524653,6.97635883095666,4599.413804306467,3.6627024843386287,92845.02963791192,4.967758659194742,402.1582922683428,2.6043970280286275,-0.4459424127195681,"Denali Borough, Alaska",2502.0,70.0,9.0,1.0,0.0,60.0,96.0,25.0,0.0,63.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,6.0,11.0,5.0,0.0,11.0,101.0,42.0,563.0,531.0,478.0,252.0,126.0,345.0,69.0,726.0,27.0,20.0,26.0,65.0,12.0,19.0,15.0,33.0,36.0,39.0,59.0,108.0,104.0,58.0,63.0,42.0,76364.0,1721.0,1658.0,63.0,27375.0,,80750.0,46181.0,70208.0,110781.0,26875.0,12232.0,107426.0,47750.0,,,81667.0,,30357.0,57708.0,13750.0,31111.0,30658.0,,70000.0,1658.0,5.0,105.0,75.0,31.0,15.0,141.0,438.0,57.0,9.0,10.0,7.0,20.0,0.0,28.0,59.0,32.0,204.0,321.0,9.0,92.0,2283.0,104.0,182.0,210.0,56.0,14.0,37.0,2465.0,2025.0,19.064748201438853,1.280231073682713,24.180655475619503,50.39968025579537,2.5179856115107913,13.788968824940047,0.050359712230215826,2.100370545117563,-1.2979167602398383,12751.41,0.1962135952024129,-0.7072709046174621,3.398287305357401
17124,04005,coconino,04,AZ,WECC,coal,,0.6618368415724488,0.8852346107046706,0.7735357261385596,2491366.9025032106,3332308.012379677,2911837.457441444,11895.43538713778,15910.645120747282,13903.040253942529,0.0,0.0,0.0,0.0,0.0,0.0,4.075380342360758,0.0832698796473166,-1.079512063041282,166.53975929463337,2.221517932622699,,,6.396437690603036,17.439951996466398,1.2415452852009952,,,4.201687789118651,0.111376966138486,-0.9532046162833894,222.75393227697205,2.347825379380592,,,6.522745137360928,23.32666927338176,1.3678527319588878,,,4.14310978019183,0.0973234228929013,-1.01178262521021,194.6468457858027,2.2892473704537712,,,6.464167128434108,20.383310634924072,1.3092747230320672,,,,,,"Coconino County, Arizona",142254.0,1230.0,308.0,257.0,72.0,593.0,1735.0,624.0,464.0,558.0,89.0,215.0,17.0,11.0,8.0,114.0,17.0,44.0,2599.0,86.0,2310.0,1948.0,203.0,300.0,1880.0,7597.0,18325.0,26666.0,18949.0,12777.0,4807.0,22042.0,877.0,49016.0,3989.0,2392.0,1824.0,2679.0,2014.0,1776.0,2257.0,2043.0,1669.0,4296.0,5296.0,6484.0,3837.0,2899.0,3002.0,2559.0,59000.0,71759.0,65975.0,5784.0,31108.0,30850.0,104375.0,37858.0,43082.0,51250.0,21228.0,34781.0,65147.0,25711.0,40981.0,37090.0,43845.0,80375.0,26870.0,33636.0,39324.0,28538.0,20354.0,25875.0,48029.0,65975.0,769.0,107.0,3885.0,4790.0,685.0,7701.0,1978.0,656.0,607.0,1113.0,1120.0,2833.0,49.0,2331.0,10145.0,8493.0,2404.0,9990.0,2646.0,3673.0,95492.0,3470.0,40255.0,4329.0,522.0,6011.0,20441.0,121813.0,76544.0,46.19202271992352,1.6645669801479845,18.22233469709112,41.04770340377072,4.065966510607786,15.494819126351455,0.03379166842408649,3.681874122128647,-1.471190364913884,18618.89,7.64030508800471,0.8831107009044189,5.15306448704253
