,FIPS,County,FIPSTATE,State,NERC,sector,Emp,rho_eff_min,rho_eff_max,rho_eff_avg,burden_min,burden_max,burden_avg,tonCO2e_eff_min,tonCO2e_eff_max,tonCO2e_eff_avg,tonCO2e_eff_min_emp,burden_min_emp,tonCO2e_eff_max_emp,burden_max_emp,tonCO2e_eff_avg_emp,burden_avg_emp,tonCO2e_eff_min_log10,tonCO2e_eff_percapita_min,tonCO2e_eff_percapita_min_log10,lbCO2e_eff_percapita_min,lbCO2e_eff_percapita_min_log10,tonCO2e_eff_peremp_min,tonCO2e_eff_peremp_min_log10,burden_min_log10,burden_percapita_min,burden_percapita_min_log10,burden_peremp_min,burden_peremp_min_log10,tonCO2e_eff_max_log10,tonCO2e_eff_percapita_max,tonCO2e_eff_percapita_max_log10,lbCO2e_eff_percapita_max,lbCO2e_eff_percapita_max_log10,tonCO2e_eff_peremp_max,tonCO2e_eff_peremp_max_log10,burden_max_log10,burden_percapita_max,burden_percapita_max_log10,burden_peremp_max,burden_peremp_max_log10,tonCO2e_eff_avg_log10,tonCO2e_eff_percapita_avg,tonCO2e_eff_percapita_avg_log10,lbCO2e_eff_percapita_avg,lbCO2e_eff_percapita_avg_log10,tonCO2e_eff_peremp_avg,tonCO2e_eff_peremp_avg_log10,burden_avg_log10,burden_percapita_avg,burden_percapita_avg_log10,burden_peremp_avg,burden_peremp_avg_log10,tonneCO2e_eff_peremp_avg,tonneCO2e_eff_peremp_avg_log10,ECF_std_dev,NAME,POP,MIG_EU,MIG_EU_N,MIG_EU_W,MIG_EU_S,MIG_EU_E,MIG_AS,MIG_AS_E,MIG_AS_SC,MIG_AS_SE,MIG_AS_W,MIG_AFR,MIG_AFR_E,MIG_AFR_M,MIG_AFR_N,MIG_AFR_S,MIG_AFR_W,MIG_OC,MIG_LA,MIG_LA_CAR,MIG_LA_CAM,MIG_LA_CAM_MX,MIG_LA_SAM,MIG_NA,MIG_WHITE_NOLATIN,ED_LESSHS,ED_HS,ED_SOMECOLLEGE,ED_BACH,ED_GRAD,MIG_TOT,POV_TOT,POV_MIG,HH_INC_TOT,HH_INC_BELOW_10000,HH_INC_10000_TO_14999,HH_INC_15000_TO_19999,HH_INC_20000_TO_24999,HH_INC_25000_TO_29999,HH_INC_30000_TO_34999,HH_INC_35000_TO_39999,HH_INC_40000_TO_44999,HH_INC_45000_TO_49999,HH_INC_50000_TO_59999,HH_INC_60000_TO_74999,HH_INC_75000_TO_99999,HH_INC_100000_TO_124999,HH_INC_125000_TO_149999,HH_INC_150000_TO_199999,HH_INC_ABOVE_200000,HH_INC_MEDIAN,LBR,EMP,UNEMP,INC_IND_TOT,INC_IND_AG,INC_IND_MN,INC_IND_CN,INC_IND_MF,INC_IND_WHOLESALE,INC_IND_RETAIL,INC_IND_TRANSPORT,INC_IND_UTILITIES,INC_IND_IT,INC_IND_FINANCE,INC_IND_REALESTATE,INC_IND_PROFSERVICES,INC_IND_MNGMNT,INC_IND_ADMIN,INC_IND_ED,INC_IND_HEALTH,INC_IND_ART,INC_IND_ACCOM,INC_IND_OTHER,INC_IND_PUBLIC,EMP_IND_TOT,EMP_IND_AG,EMP_IND_MN,EMP_IND_CN,EMP_IND_MF,EMP_IND_WHOLESALE,EMP_IND_RETAIL,EMP_IND_TRANSPORT,EMP_IND_UTILITIES,EMP_IND_IT,EMP_IND_FINANCE,EMP_IND_REALESTATE,EMP_IND_PROFSERVICES,EMP_IND_MNGMNT,EMP_IND_ADMIN,EMP_IND_ED,EMP_IND_HEALTH,EMP_IND_ART,EMP_IND_ACCOM,EMP_IND_OTHER,EMP_IND_PUBLIC,RACE_WHITE,RACE_BLACK,RACE_NATAMERICAN,RACE_ASIAN,RACE_HAWAII_PACISLAND,RACE_OTHER,ETHN_LATIN,ETHN_NOLATIN,RACE_NOLATIN_WHITE,RACE_PERCENT_MINORITY,RACE_PERCENT_MINORITY_log10,ED_PERCENT_HSORLESS,ED_PERCENT_TERTIARY,UNEMP_RATE,POV_RATE,MIG_PERCENT,MIG_TOT_log10,MIG_PERCENT_log10,land_area_sq_mi,pop_per_sqmi,pop_per_sqmi_log10,POP_log10
9364,02185,north slope,02,AK,ASCC,mf,,0.8029944638251953,0.8982978910842137,0.8506461774547044,23162409.205894243,25643130.196583517,24402769.70123888,99798.63597249384,111643.24072686024,105720.93834967705,0.0,0.0,0.0,0.0,0.0,0.0,4.99912460547908,10.109262152805291,1.004719458789914,20218.524305610583,4.305749454453896,,,7.3647837299435155,2346.273217776969,3.3703785832543485,,,5.047832434493103,11.309080300532845,1.053427287803936,22618.16060106569,4.354457283467917,,,7.408971037388476,2597.561810837066,3.414565890699309,,,5.024161009153944,10.709171226669069,1.0297558624647771,21418.342453338133,4.330785858128758,,,7.387439121326419,2471.9175143070174,3.393033974637254,,,,,,"North Slope Borough, Alaska",9375.0,38.0,3.0,9.0,3.0,23.0,399.0,61.0,16.0,315.0,7.0,9.0,4.0,0.0,5.0,0.0,0.0,50.0,86.0,56.0,30.0,30.0,0.0,77.0,103.0,698.0,2539.0,2014.0,700.0,236.0,511.0,869.0,0.0,1991.0,112.0,41.0,101.0,89.0,46.0,36.0,52.0,73.0,48.0,195.0,162.0,275.0,268.0,139.0,202.0,152.0,79083.0,5734.0,5172.0,562.0,61158.0,40500.0,88875.0,60854.0,61719.0,74643.0,15208.0,41563.0,70000.0,,52933.0,58375.0,81875.0,51250.0,56719.0,40903.0,57366.0,66667.0,27708.0,28173.0,53966.0,5172.0,58.0,1107.0,242.0,541.0,36.0,189.0,272.0,230.0,9.0,45.0,52.0,246.0,41.0,184.0,519.0,301.0,50.0,235.0,71.0,744.0,3203.0,354.0,5519.0,666.0,359.0,178.0,381.0,8994.0,2627.0,71.97866666666667,1.8572037975173312,34.528,31.466666666666665,5.994666666666667,9.269333333333334,0.05450666666666667,2.708420900134713,-1.2635503762650437,88695.41,0.10569881801098839,-0.9759298692126834,3.9719712763997563
9517,08009,baca,08,CO,WECC,mf,,0.7415825733515804,0.9167000293918944,0.8291413013717374,41632.82551706904,51464.009196816805,46548.417356942926,198.78267846645988,245.7232596084911,222.25296903747548,0.0,0.0,0.0,0.0,0.0,0.0,2.298378538138863,0.0554484458762789,-1.256110621864956,110.89689175255782,2.044919373799025,,,4.61943588638114,11.613061511037388,1.0649467263773211,,,2.3904462677601392,0.0685420528893978,-1.1640428922436796,137.0841057787956,2.1369871034203016,,,4.711503616002417,14.355372160897296,1.1570144559985975,,,2.346847571342946,0.0619952493828383,-1.207641588660873,123.99049876567668,2.093388407003109,,,4.667904919585223,12.984216835967343,1.1134157595814047,,,,,,"Baca County, Colorado",3570.0,15.0,2.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,91.0,0.0,91.0,89.0,0.0,30.0,67.0,369.0,787.0,896.0,427.0,150.0,134.0,625.0,0.0,1728.0,156.0,156.0,113.0,177.0,118.0,156.0,86.0,86.0,94.0,108.0,99.0,171.0,79.0,33.0,59.0,37.0,34655.0,1620.0,1595.0,25.0,29942.0,27583.0,28571.0,33750.0,31719.0,35250.0,21792.0,53750.0,46750.0,,26250.0,,32174.0,,,35950.0,24900.0,16667.0,31250.0,9474.0,48807.0,1595.0,444.0,16.0,87.0,65.0,13.0,77.0,60.0,62.0,3.0,29.0,4.0,46.0,0.0,5.0,175.0,270.0,10.0,30.0,72.0,127.0,3388.0,39.0,149.0,0.0,2.0,93.0,404.0,3166.0,3005.0,15.826330532212884,1.1993802317072453,32.38095238095238,41.26050420168067,0.700280112044818,17.507002801120446,0.03753501400560224,2.1271047983648077,-1.4255634177473855,2554.97,1.3972766803524113,0.1452824110195235,3.552668216112193
9522,08023,costilla,08,CO,WECC,mf,,0.7415825733515804,0.9167000293918944,0.8291413013717374,41632.82551706904,51464.009196816805,46548.417356942926,198.78267846645988,245.7232596084911,222.25296903747548,0.0,0.0,0.0,0.0,0.0,0.0,2.298378538138863,0.0519285993904022,-1.284593390965943,103.85719878080454,2.016436604698038,,,4.61943588638114,10.87586873486652,1.036463957276334,,,2.3904462677601392,0.0641910291558231,-1.1925256613446669,128.38205831164635,2.1085043343193144,,,4.711503616002417,13.444098536263532,1.1285316868976103,,,2.346847571342946,0.0580598142731127,-1.2361243577618597,116.11962854622544,2.0649056379021213,,,4.667904919585223,12.159983635565029,1.0849329904804177,,,,,,"Costilla County, Colorado",3810.0,22.0,3.0,14.0,5.0,0.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,210.0,210.0,0.0,0.0,22.0,422.0,718.0,973.0,375.0,288.0,222.0,1012.0,56.0,1620.0,230.0,175.0,92.0,105.0,107.0,104.0,93.0,86.0,107.0,164.0,118.0,82.0,62.0,8.0,34.0,53.0,34732.0,1460.0,1324.0,136.0,26297.0,26276.0,,31429.0,31458.0,2499.0,12411.0,25813.0,2499.0,60893.0,,,36250.0,,21786.0,41917.0,50529.0,,40909.0,10625.0,26447.0,1324.0,161.0,5.0,108.0,43.0,46.0,177.0,81.0,63.0,21.0,21.0,9.0,22.0,0.0,48.0,123.0,169.0,9.0,60.0,44.0,114.0,3513.0,80.0,240.0,58.0,0.0,583.0,2338.0,1472.0,1280.0,66.40419947506561,1.8221955455001986,29.92125984251969,42.93963254593176,3.5695538057742784,26.56167979002625,0.05826771653543307,2.346352974450639,-1.2345720012249808,1226.95,3.1052610130812175,0.4920981107208583,3.5809249756756194
9546,08079,mineral,08,CO,WECC,mf,,0.6839450295375022,0.8874598750481166,0.7857024522928094,131964.59538514688,171232.0117458447,151598.30356549582,630.0863659289029,817.5750146980564,723.8306903134796,0.0,0.0,0.0,0.0,0.0,0.0,2.799400082271997,0.8119669664032253,-0.0904616389861907,1623.933932806451,3.2105683566777907,,,5.120457430514275,170.05746827982844,2.2305957092560864,,,2.9125276108427838,1.0535760498686293,0.022665889584595,2107.1520997372586,3.323695885248576,,,5.233584959085061,220.65980895083084,2.343723237826872,,,2.8596369931839267,0.9327715081359274,-0.0302247280742615,1865.5430162718544,3.2708052675897195,,,5.1806943414262046,195.35863861532968,2.290832620168016,,,,,,"Mineral County, Colorado",853.0,4.0,0.0,0.0,0.0,4.0,42.0,0.0,6.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,118.0,189.0,252.0,127.0,42.0,127.0,0.0,394.0,33.0,13.0,2.0,12.0,3.0,14.0,2.0,81.0,23.0,38.0,47.0,40.0,44.0,18.0,14.0,10.0,53571.0,482.0,455.0,27.0,21924.0,51250.0,,65104.0,,,23657.0,,,61250.0,,56944.0,,,,20250.0,16500.0,21800.0,12039.0,20660.0,15000.0,455.0,14.0,3.0,56.0,0.0,0.0,31.0,3.0,5.0,9.0,2.0,18.0,5.0,0.0,8.0,63.0,30.0,36.0,71.0,53.0,48.0,751.0,11.0,25.0,102.0,0.0,31.0,34.0,819.0,703.0,17.584994138335286,1.245142227888158,15.474794841735054,66.58851113716295,3.1652989449003512,14.88862837045721,0.0492379835873388,1.6232492903979006,-1.3076997407696227,875.67,0.9741112519556454,-0.011391440091329832,2.930949031167523
9562,08111,san juan,08,CO,WECC,mf,,0.721971018876186,0.8989174734912622,0.810444246183724,26711.11558693995,33257.69028086556,29984.402933902755,127.53655403528168,158.79423679586534,143.1653954155735,0.0,0.0,0.0,0.0,0.0,0.0,2.105634678421348,0.1673708058205796,-0.7763202929182527,334.74161164115924,2.5247097027457284,,,4.426692026663625,35.05395746317579,1.5447370553240247,,,2.2008347362952763,0.2083913868712143,-0.6811202350443244,416.78277374242873,2.619909760619657,,,4.521892084537553,43.64526283578157,1.6399371131979528,,,2.155838057104506,0.1878810963458969,-0.7261169142350943,375.7621926917939,2.5749130814288868,,,4.476895405346784,39.34961014947868,1.5949404340071829,,,,,,"San Juan County, Colorado",646.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,101.0,101.0,0.0,0.0,4.0,21.0,156.0,159.0,111.0,58.0,47.0,105.0,85.0,297.0,20.0,5.0,10.0,13.0,18.0,2.0,26.0,30.0,15.0,19.0,30.0,28.0,14.0,41.0,18.0,8.0,56875.0,360.0,340.0,20.0,41012.0,,,36250.0,,,40000.0,,,,,,104250.0,,,53000.0,75625.0,,40795.0,17857.0,41761.0,340.0,0.0,4.0,38.0,12.0,0.0,72.0,9.0,6.0,3.0,0.0,12.0,21.0,0.0,0.0,34.0,11.0,10.0,33.0,36.0,39.0,646.0,0.0,0.0,7.0,0.0,30.0,155.0,491.0,484.0,25.077399380804955,1.399282496547547,27.39938080495356,50.77399380804953,3.0959752321981426,16.253869969040245,0.07275541795665634,1.6720978579357175,-1.1381346600593667,387.49,1.6671397971560555,0.22197201889690463,2.8102325179950842
9694,13101,echols,13,GA,SERC,mf,,0.7507795423520328,0.9143577093184562,0.8325686258352446,9026.788429553262,10993.524896924511,10010.15666323889,43.0998655433793,52.49036782051718,47.79511668194824,0.0,0.0,0.0,0.0,0.0,0.0,1.6344759153148034,0.0107749663858448,-1.967584076013159,21.54993277168965,1.3334459196508222,,,3.955533263557081,2.2566971073883155,0.3534732722291182,,,1.7200796160499323,0.0131225919551292,-1.88198037527803,26.24518391025859,1.4190496203859513,,,4.0411369642922095,2.748381224231128,0.4390769729642472,,,1.6793835261848689,0.011948779170487,-1.9226764651430936,23.89755834097412,1.3783535305208876,,,4.000440874427146,2.5025391658097225,0.3983808830991837,,,,,,"Echols County, Georgia",3944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,242.0,0.0,242.0,229.0,0.0,0.0,0.0,621.0,1262.0,590.0,150.0,60.0,258.0,927.0,132.0,1497.0,220.0,53.0,101.0,124.0,65.0,84.0,35.0,82.0,57.0,163.0,132.0,169.0,93.0,74.0,9.0,36.0,44454.0,1773.0,1730.0,43.0,32405.0,25663.0,,36208.0,44073.0,32917.0,20712.0,53571.0,,,,,56250.0,,17465.0,40361.0,47500.0,,16406.0,13625.0,21118.0,1730.0,230.0,0.0,267.0,171.0,114.0,217.0,70.0,6.0,5.0,14.0,14.0,17.0,0.0,89.0,157.0,80.0,13.0,130.0,71.0,65.0,3061.0,165.0,103.0,0.0,7.0,1039.0,1108.0,2836.0,2331.0,40.8975659229209,1.611697461119788,47.74340770791075,20.28397565922921,1.09026369168357,23.504056795131845,0.0654158215010142,2.41161970596323,-1.1843172003059435,414.89,9.50613415604136,0.9780039390158987,3.5959369062691735
9706,13125,glascock,13,GA,SERC,mf,,0.6822357899451911,0.8929026886154108,0.787569239280301,28037.843841368664,36695.621246942144,32366.73254415541,133.87123328745835,175.20919584156596,154.54021456451215,0.0,0.0,0.0,0.0,0.0,0.0,2.126687264340487,0.0446982414983166,-1.3497095623848432,89.3964829966333,1.951320433279138,,,4.447744612582764,9.361550531341791,0.971347785857434,,,2.243556896343718,0.058500566224229,-1.2328399303816124,117.00113244845808,2.068190065282369,,,4.564614244585995,12.25229423937968,1.088217417860665,,,2.1890415108863555,0.0515994038612728,-1.287355315838975,103.19880772254568,2.0136746798250065,,,4.510098859128632,10.806922385360735,1.0337020324033024,,,,,,"Glascock County, Georgia",2984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0,769.0,573.0,185.0,26.0,0.0,525.0,0.0,1118.0,53.0,123.0,70.0,48.0,61.0,30.0,95.0,73.0,28.0,86.0,130.0,140.0,108.0,3.0,45.0,25.0,46500.0,1378.0,1359.0,19.0,34402.0,44485.0,64167.0,27130.0,60250.0,50227.0,31042.0,39500.0,12143.0,9792.0,67824.0,,85455.0,,19286.0,37159.0,24828.0,,11406.0,14209.0,31361.0,1359.0,27.0,26.0,142.0,305.0,26.0,89.0,44.0,12.0,27.0,47.0,1.0,18.0,0.0,40.0,107.0,178.0,2.0,84.0,103.0,81.0,2679.0,317.0,14.0,0.0,1.0,0.0,49.0,2935.0,2603.0,12.76809651474531,1.106126156874988,42.124664879356565,26.273458445040216,0.6367292225201072,17.593833780160857,0.0,-inf,-inf,143.74,20.75970502295812,1.3172211782799021,3.474798818800631
9758,13235,pulaski,13,GA,SERC,mf,,0.6398426726802406,0.834772196649673,0.737307434664957,32311514.90238179,42155291.32990391,37233403.11614285,154276.56897730933,201277.27623619064,177776.92260675,0.0,0.0,0.0,0.0,0.0,0.0,5.18829997184042,13.937715148370163,1.144191584394301,27875.430296740327,4.4452215800582815,,,7.509357320082698,2919.0997291879835,3.4652489326365776,,,5.303794746760027,18.183871735133312,1.259686359313907,36367.74347026662,4.560716354977888,,,7.624852095002304,3808.410093947413,3.5807437075561843,,,5.249875384108747,16.06079344175174,1.2057669966626268,32121.58688350348,4.506796992326608,,,7.570932732351023,3363.754911567698,3.526824344904904,,,,,,"Pulaski County, Georgia",11185.0,12.0,1.0,0.0,11.0,0.0,82.0,57.0,0.0,25.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,87.0,18.0,45.0,45.0,24.0,3.0,20.0,1733.0,3003.0,2601.0,640.0,466.0,222.0,1961.0,28.0,3803.0,242.0,443.0,228.0,184.0,184.0,309.0,215.0,214.0,120.0,168.0,313.0,408.0,233.0,295.0,236.0,11.0,42213.0,4251.0,4030.0,221.0,27128.0,48438.0,,31151.0,37250.0,24444.0,18417.0,47582.0,,,38889.0,18281.0,41402.0,,23472.0,24600.0,25645.0,,19250.0,20857.0,44863.0,4030.0,39.0,0.0,247.0,698.0,26.0,645.0,205.0,51.0,21.0,74.0,19.0,105.0,0.0,37.0,490.0,620.0,55.0,186.0,246.0,266.0,6712.0,4342.0,45.0,82.0,0.0,32.0,322.0,10863.0,6450.0,42.33348234242289,1.6266839949066438,42.342422887796154,33.14260169870362,1.9758605274921772,17.532409476978096,0.01984801072865445,2.346352974450639,-1.7022830139820098,249.03,44.9142673573465,1.6523843198523716,4.048635988432649
9770,13259,stewart,13,GA,SERC,mf,,0.7779300425440792,0.9138728751226356,0.8459014588333573,68798.54570651229,80821.05244766132,74809.7990770868,328.4898159153447,385.8932244566856,357.1915201860152,0.0,0.0,0.0,0.0,0.0,0.0,2.5165219097852085,0.0529907752726802,-1.2757997265663652,105.98155054536043,2.0252302690976163,,,4.8375792580274855,11.098329683257344,1.0452576216759122,,,2.586467153261974,0.0622508831193233,-1.2058544830895996,124.50176623864677,2.095175512574382,,,4.907524501504251,13.037756484539656,1.1152028651526775,,,2.5529011400817514,0.0576208291960018,-1.239420496269822,115.2416583920036,2.061609499394159,,,4.873958488324028,12.0680430838985,1.081636851972455,,,,,,"Stewart County, Georgia",6446.0,18.0,0.0,0.0,0.0,18.0,172.0,78.0,53.0,33.0,8.0,332.0,106.0,54.0,0.0,0.0,155.0,0.0,1301.0,352.0,831.0,340.0,118.0,2.0,45.0,1394.0,1825.0,1184.0,416.0,278.0,1486.0,1187.0,0.0,1845.0,142.0,247.0,157.0,192.0,66.0,136.0,215.0,66.0,77.0,139.0,62.0,149.0,80.0,33.0,36.0,48.0,34028.0,1883.0,1710.0,173.0,23818.0,50066.0,,31875.0,19688.0,,20513.0,12134.0,,,75121.0,,,,23661.0,24409.0,14514.0,4625.0,15699.0,23571.0,42841.0,1710.0,95.0,10.0,109.0,200.0,0.0,142.0,239.0,0.0,0.0,59.0,0.0,1.0,0.0,46.0,274.0,171.0,40.0,63.0,118.0,143.0,1587.0,3699.0,51.0,198.0,0.0,984.0,1017.0,5429.0,1459.0,77.36580825318026,1.8885490670420473,49.937946013031336,29.134346881787152,2.683834936394663,18.41452063295067,0.23053056158858207,3.1720188094245563,-0.6372714917517592,458.73,14.05183877226255,1.1477331581482828,3.8092903011763157
9772,13263,talbot,13,GA,SERC,mf,,0.7723665029467058,0.9134727069236416,0.8429196049351736,39146.369675727954,46298.15008482856,42722.25988027826,186.9106917374373,221.05802735226632,203.9843595448518,0.0,0.0,0.0,0.0,0.0,0.0,2.271634144769751,0.0298008118203822,-1.5257719049066312,59.60162364076445,1.77525809075735,,,4.592691493012028,6.24144924676785,0.7952854433356462,,,2.3445062902054503,0.0352452211977465,-1.4528997594709316,70.49044239549308,1.8481302361930492,,,4.665563638447727,7.381720357912717,0.8681575887713455,,,2.309596869270174,0.0325230165090643,-1.4878091804062077,65.04603301812877,1.8132208152577731,,,4.630654217512451,6.811584802340284,0.8332481678360695,,,,,,"Talbot County, Georgia",6245.0,5.0,5.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,818.0,2050.0,1243.0,295.0,297.0,46.0,959.0,0.0,2891.0,220.0,193.0,260.0,201.0,214.0,234.0,123.0,169.0,115.0,270.0,242.0,252.0,173.0,50.0,130.0,45.0,40020.0,2762.0,2582.0,180.0,31223.0,,26875.0,35202.0,31130.0,78295.0,30333.0,36336.0,43155.0,,28413.0,24125.0,80230.0,,38750.0,40625.0,27283.0,,8992.0,23636.0,50461.0,2582.0,19.0,38.0,223.0,483.0,31.0,216.0,165.0,39.0,10.0,145.0,23.0,89.0,0.0,108.0,298.0,378.0,5.0,155.0,64.0,93.0,2619.0,3588.0,11.0,51.0,0.0,48.0,49.0,6196.0,2522.0,59.61569255404324,1.775360593508238,45.92473979183347,29.383506805444355,2.8823058446757406,15.356285028022418,0.007365892714171337,1.662757831681574,-2.13277461102858,391.39,15.955951863869798,1.2029227174543438,3.7955324427101544
