,FIPS,County,FIPSTATE,State,NERC,sector,Emp,rho_eff_min,rho_eff_max,rho_eff_avg,burden_min,burden_max,burden_avg,tonCO2e_eff_min,tonCO2e_eff_max,tonCO2e_eff_avg,tonCO2e_eff_min_emp,burden_min_emp,tonCO2e_eff_max_emp,burden_max_emp,tonCO2e_eff_avg_emp,burden_avg_emp,tonCO2e_eff_min_log10,tonCO2e_eff_percapita_min,tonCO2e_eff_percapita_min_log10,lbCO2e_eff_percapita_min,lbCO2e_eff_percapita_min_log10,tonCO2e_eff_peremp_min,tonCO2e_eff_peremp_min_log10,burden_min_log10,burden_percapita_min,burden_percapita_min_log10,burden_peremp_min,burden_peremp_min_log10,tonCO2e_eff_max_log10,tonCO2e_eff_percapita_max,tonCO2e_eff_percapita_max_log10,lbCO2e_eff_percapita_max,lbCO2e_eff_percapita_max_log10,tonCO2e_eff_peremp_max,tonCO2e_eff_peremp_max_log10,burden_max_log10,burden_percapita_max,burden_percapita_max_log10,burden_peremp_max,burden_peremp_max_log10,tonCO2e_eff_avg_log10,tonCO2e_eff_percapita_avg,tonCO2e_eff_percapita_avg_log10,lbCO2e_eff_percapita_avg,lbCO2e_eff_percapita_avg_log10,tonCO2e_eff_peremp_avg,tonCO2e_eff_peremp_avg_log10,burden_avg_log10,burden_percapita_avg,burden_percapita_avg_log10,burden_peremp_avg,burden_peremp_avg_log10,tonneCO2e_eff_peremp_avg,tonneCO2e_eff_peremp_avg_log10,ECF_std_dev,NAME,POP,MIG_EU,MIG_EU_N,MIG_EU_W,MIG_EU_S,MIG_EU_E,MIG_AS,MIG_AS_E,MIG_AS_SC,MIG_AS_SE,MIG_AS_W,MIG_AFR,MIG_AFR_E,MIG_AFR_M,MIG_AFR_N,MIG_AFR_S,MIG_AFR_W,MIG_OC,MIG_LA,MIG_LA_CAR,MIG_LA_CAM,MIG_LA_CAM_MX,MIG_LA_SAM,MIG_NA,MIG_WHITE_NOLATIN,ED_LESSHS,ED_HS,ED_SOMECOLLEGE,ED_BACH,ED_GRAD,MIG_TOT,POV_TOT,POV_MIG,HH_INC_TOT,HH_INC_BELOW_10000,HH_INC_10000_TO_14999,HH_INC_15000_TO_19999,HH_INC_20000_TO_24999,HH_INC_25000_TO_29999,HH_INC_30000_TO_34999,HH_INC_35000_TO_39999,HH_INC_40000_TO_44999,HH_INC_45000_TO_49999,HH_INC_50000_TO_59999,HH_INC_60000_TO_74999,HH_INC_75000_TO_99999,HH_INC_100000_TO_124999,HH_INC_125000_TO_149999,HH_INC_150000_TO_199999,HH_INC_ABOVE_200000,HH_INC_MEDIAN,LBR,EMP,UNEMP,INC_IND_TOT,INC_IND_AG,INC_IND_MN,INC_IND_CN,INC_IND_MF,INC_IND_WHOLESALE,INC_IND_RETAIL,INC_IND_TRANSPORT,INC_IND_UTILITIES,INC_IND_IT,INC_IND_FINANCE,INC_IND_REALESTATE,INC_IND_PROFSERVICES,INC_IND_MNGMNT,INC_IND_ADMIN,INC_IND_ED,INC_IND_HEALTH,INC_IND_ART,INC_IND_ACCOM,INC_IND_OTHER,INC_IND_PUBLIC,EMP_IND_TOT,EMP_IND_AG,EMP_IND_MN,EMP_IND_CN,EMP_IND_MF,EMP_IND_WHOLESALE,EMP_IND_RETAIL,EMP_IND_TRANSPORT,EMP_IND_UTILITIES,EMP_IND_IT,EMP_IND_FINANCE,EMP_IND_REALESTATE,EMP_IND_PROFSERVICES,EMP_IND_MNGMNT,EMP_IND_ADMIN,EMP_IND_ED,EMP_IND_HEALTH,EMP_IND_ART,EMP_IND_ACCOM,EMP_IND_OTHER,EMP_IND_PUBLIC,RACE_WHITE,RACE_BLACK,RACE_NATAMERICAN,RACE_ASIAN,RACE_HAWAII_PACISLAND,RACE_OTHER,ETHN_LATIN,ETHN_NOLATIN,RACE_NOLATIN_WHITE,RACE_PERCENT_MINORITY,RACE_PERCENT_MINORITY_log10,ED_PERCENT_HSORLESS,ED_PERCENT_TERTIARY,UNEMP_RATE,POV_RATE,MIG_PERCENT,MIG_TOT_log10,MIG_PERCENT_log10,land_area_sq_mi,pop_per_sqmi,pop_per_sqmi_log10,POP_log10
12300,01007,bibb,01,AL,SERC,mn_rest,,0.6410672209098448,0.8242079112688843,0.7326375660893644,430645.0989939634,553672.1984259945,492158.648709979,2056.1848777565365,2643.59771955446,2349.891298655498,0.0,0.0,0.0,0.0,0.0,0.0,3.313062160799776,0.0917939677569882,-1.0371858575343866,183.58793551397648,2.2638441381295946,,,5.634119509042053,19.22522763365908,1.2838714907078903,,,3.422195368563296,0.1180177553372526,-0.928052649770867,236.03551067450536,2.3729773458931143,,,5.743252716805573,24.71750885830333,1.3930046984714102,,,3.3710477731287747,0.1049058615471204,-0.979200245205388,209.81172309424088,2.321829750458593,,,5.6921051213710525,21.971368245981207,1.341857103036889,,,,,,"Bibb County, Alabama",22374.0,17.0,0.0,17.0,0.0,0.0,66.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,19.0,249.0,18.0,3.0,0.0,27.0,3056.0,7206.0,3911.0,1183.0,631.0,274.0,3755.0,17.0,7259.0,799.0,512.0,382.0,382.0,377.0,283.0,217.0,322.0,277.0,628.0,778.0,1129.0,600.0,212.0,204.0,157.0,51721.0,8970.0,8303.0,667.0,33844.0,17656.0,53528.0,44340.0,40380.0,93503.0,18835.0,49022.0,70000.0,7038.0,18389.0,42614.0,44583.0,,27292.0,42917.0,28723.0,17375.0,16976.0,26934.0,50657.0,8303.0,235.0,157.0,781.0,1211.0,260.0,898.0,472.0,44.0,119.0,341.0,75.0,231.0,0.0,353.0,629.0,1233.0,19.0,253.0,515.0,477.0,17243.0,5079.0,90.0,67.0,0.0,9.0,600.0,21774.0,16650.0,25.58326629123089,1.407955991342788,45.865737016179494,25.587735764726915,2.9811388218467862,16.782872977563244,0.012246357379100741,2.437750562820388,-1.911993070924563,622.58,35.93755019435253,1.555548468617778,4.349743633744951
12301,01009,blount,01,AL,SERC,mn_rest,,0.4605399735578706,0.7833277174037503,0.6219338454808104,163905.57316326254,278785.3082629284,221345.44071309545,782.5937453035828,1331.1056745567723,1056.8497099301776,0.0,0.0,0.0,0.0,0.0,0.0,2.8935363725820458,0.0135303206311131,-1.8686919117044287,27.06064126222624,1.4323380839595523,,,5.214593720824323,2.8337754696276374,0.4523654365378486,,,3.124212534854924,0.0230135835850064,-1.6380157494315504,46.02716717001287,1.6630142462324309,,,5.445269883097201,4.819939631101805,0.6830415988107269,,,3.0240132325404603,0.0182719521080597,-1.738215051746014,36.54390421611956,1.5628149439179673,,,5.345070580782738,3.826857550364721,0.5828422964962633,,,,,,"Blount County, Alabama",57755.0,138.0,52.0,23.0,13.0,50.0,150.0,119.0,12.0,17.0,2.0,13.0,0.0,0.0,0.0,0.0,7.0,59.0,2142.0,95.0,2042.0,1853.0,5.0,12.0,160.0,6838.0,13975.0,13725.0,3540.0,1736.0,2157.0,7847.0,434.0,21205.0,2145.0,968.0,885.0,1437.0,937.0,1445.0,961.0,1122.0,987.0,1794.0,1996.0,2283.0,1540.0,1091.0,1034.0,580.0,48922.0,24089.0,22836.0,1253.0,36881.0,37775.0,63203.0,36744.0,41429.0,48005.0,22703.0,34853.0,69609.0,41750.0,43904.0,33780.0,52254.0,,35222.0,45000.0,37289.0,4228.0,13090.0,22837.0,50561.0,22836.0,305.0,73.0,2094.0,3968.0,949.0,2376.0,1394.0,342.0,225.0,951.0,416.0,842.0,0.0,866.0,1652.0,3201.0,101.0,1021.0,1201.0,859.0,55555.0,1098.0,796.0,288.0,83.0,1315.0,5362.0,52393.0,50065.0,13.314864513894896,1.1243367516110705,36.036706778633885,32.89931607653017,2.1695091334083627,13.586702450004328,0.037347415808155135,3.333850145102545,-1.4277394430878154,644.78,89.5731877539626,1.9521780302747584,4.76158958819036
12302,01015,calhoun,01,AL,SERC,mn_rest,,0.6435573799565533,0.8270224004237406,0.7352898901901469,892472.0498689257,1146897.5416667962,1019684.7957678612,4261.252565158267,5476.048344728684,4868.650454943476,0.0,0.0,0.0,0.0,0.0,0.0,3.6295372756705047,0.03728880321638,-1.4284215550903652,74.57760643276018,1.872608440573616,,,5.950594623912782,7.809725927955107,0.8926357931519121,,,3.738467273602971,0.0479190768459854,-1.3194915571578991,95.838153691971,1.981538438506082,,,6.059524621845248,10.036118743638667,1.001565791084378,,,3.6874085954663016,0.0426039400311827,-1.3705502352945682,85.20788006236559,1.930479760369413,,,6.008465943708579,8.922922335796889,0.9505071129477092,,,,,,"Calhoun County, Alabama",114324.0,565.0,113.0,324.0,28.0,100.0,737.0,339.0,77.0,321.0,0.0,91.0,32.0,0.0,0.0,0.0,27.0,12.0,1411.0,103.0,1219.0,995.0,89.0,29.0,597.0,11787.0,27203.0,25087.0,8296.0,6594.0,2443.0,17556.0,493.0,44572.0,3546.0,2702.0,2391.0,2459.0,2740.0,2505.0,2245.0,1888.0,1741.0,4182.0,4362.0,5445.0,3857.0,1879.0,1480.0,1150.0,50128.0,51674.0,47905.0,3769.0,32526.0,28967.0,26625.0,31149.0,40719.0,35915.0,21012.0,43827.0,55071.0,20221.0,37500.0,24511.0,41350.0,,30407.0,43369.0,38827.0,22213.0,12042.0,21050.0,50123.0,47905.0,485.0,141.0,2487.0,8659.0,1260.0,6315.0,1568.0,506.0,599.0,1274.0,547.0,1593.0,10.0,1715.0,4287.0,6569.0,648.0,3420.0,2115.0,3707.0,86360.0,25542.0,1364.0,1496.0,493.0,2138.0,4406.0,109918.0,82049.0,28.231167558867774,1.4507288396732414,34.10482488366397,34.96816066617683,3.2967705818550783,15.35635562086701,0.021369091354396276,3.3879234669734366,-1.6702139442917796,605.87,188.6939442454652,2.2757579625762734,5.058137411265216
12303,01021,chilton,01,AL,SERC,mn_rest,,0.5479733593820049,0.8172319995736362,0.6826026794778205,342643.4608825379,511008.7851600456,426826.1230212918,1636.0067823242855,2439.8943327149145,2037.9505575196,0.0,0.0,0.0,0.0,0.0,0.0,3.2137850997753445,0.0370531284923852,-1.4311751175194916,74.1062569847705,1.8698548781444897,,,5.534842448017622,7.760366473003825,0.8898822307227857,,,3.3873710182598207,0.0552599898696558,-1.2575891990350154,110.51997973931168,2.043440796628966,,,5.7084283665020985,11.57359149231186,1.0634681492072615,,,3.309193643430526,0.0461565591810205,-1.3357665738643103,92.31311836204108,1.9652634217996705,,,5.630250991672803,9.666978982657843,0.9852907743779667,,,,,,"Chilton County, Alabama",44147.0,216.0,18.0,31.0,0.0,167.0,142.0,5.0,6.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582.0,0.0,1518.0,1518.0,64.0,0.0,216.0,5485.0,13070.0,7491.0,2471.0,1636.0,1536.0,7397.0,574.0,17140.0,1243.0,857.0,1101.0,966.0,1379.0,714.0,890.0,742.0,410.0,1752.0,1737.0,2350.0,1340.0,538.0,720.0,401.0,52141.0,18905.0,17752.0,1153.0,34249.0,33036.0,56993.0,37731.0,37238.0,47886.0,19527.0,53482.0,84973.0,76250.0,37051.0,38250.0,52583.0,,26140.0,30000.0,35421.0,2499.0,15483.0,21434.0,45679.0,17752.0,163.0,230.0,2626.0,2578.0,651.0,2337.0,609.0,553.0,131.0,964.0,323.0,321.0,0.0,694.0,1054.0,1819.0,94.0,676.0,1051.0,878.0,37487.0,5042.0,666.0,249.0,46.0,2126.0,3423.0,40724.0,35283.0,20.078374521485042,1.3027285508572517,42.03003601603733,26.271320814551384,2.61172899630779,16.75538541690262,0.03479285115636396,3.186391215695493,-1.4585099808316098,692.85,63.717976473984265,1.804261975224875,4.644901196527103
12306,01027,clay,01,AL,SERC,mn_rest,,0.6756615187827297,0.8633279778669024,0.7694947483248159,6368120.15855099,8136879.408494455,7252499.783522723,30405.622635293585,38850.85057500997,34628.236605151775,0.0,0.0,0.0,0.0,0.0,0.0,4.482953901164364,2.290442383072963,0.3599193714108575,4580.884766145927,3.660949367074839,,,6.804011249406641,479.70773322418,2.6809767196531347,,,4.589400531399212,2.9266177457634632,0.4663660016457056,5853.235491526926,3.767395997309687,,,6.9104578796414895,612.9476013931793,2.787423349887983,,,4.539430376269324,2.608530064418213,0.4163958465158169,5217.060128836426,3.7174258421797983,,,6.860487724511601,546.3276673086797,2.7374531947580945,,,,,,"Clay County, Alabama",13285.0,9.0,0.0,0.0,9.0,0.0,33.0,23.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,9.0,133.0,94.0,0.0,0.0,9.0,1756.0,3751.0,2760.0,709.0,395.0,141.0,2018.0,100.0,5153.0,402.0,438.0,282.0,173.0,478.0,319.0,374.0,287.0,140.0,478.0,461.0,463.0,269.0,348.0,99.0,142.0,42678.0,5694.0,5389.0,305.0,30551.0,83578.0,,36367.0,31485.0,65764.0,21525.0,38607.0,90208.0,61719.0,50469.0,26992.0,24167.0,,10208.0,37982.0,26094.0,,11131.0,3728.0,42100.0,5389.0,132.0,0.0,368.0,1619.0,63.0,746.0,251.0,44.0,31.0,156.0,57.0,104.0,0.0,131.0,362.0,691.0,46.0,199.0,173.0,216.0,11185.0,2134.0,23.0,33.0,0.0,33.0,410.0,12875.0,10683.0,19.585999247271356,1.291945733479271,41.45276627775687,29.085434700790362,2.2958223560406474,15.190063981934513,0.010613473842679714,2.1492191126553797,-1.9741424460909165,603.96,21.996489833763825,1.3423533823015321,4.123361558746296
12308,01035,conecuh,01,AL,SERC,mn_rest,,0.743147394893724,0.8315326224964312,0.7873400086950777,465655.40072847577,521037.494322038,493346.4475252569,2223.3472422194527,2487.7780313114613,2355.562636765457,0.0,0.0,0.0,0.0,0.0,0.0,3.3470072960785644,0.1810985780092411,-0.7420849597641551,362.1971560184822,2.5589450358998262,,,5.668064644320841,37.92908696981964,1.5789723884781222,,,3.395811628399396,0.2026372917904587,-0.6932806274433235,405.2745835809174,2.6077493682206576,,,5.716868976641673,42.44013149157269,1.6277767207989535,,,3.3720946570522505,0.1918679348998499,-0.7169975987904689,383.7358697996998,2.5840323968735124,,,5.693152005294528,40.18460923069617,1.6040597494518083,,,,,,"Conecuh County, Alabama",12219.0,35.0,35.0,0.0,0.0,0.0,72.0,10.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,0.0,17.0,0.0,62.0,1328.0,4125.0,2152.0,727.0,494.0,127.0,2016.0,25.0,4585.0,416.0,432.0,243.0,235.0,370.0,567.0,279.0,230.0,248.0,268.0,354.0,458.0,309.0,10.0,72.0,94.0,35444.0,4311.0,3972.0,339.0,30000.0,40313.0,,25893.0,36386.0,43535.0,13727.0,47738.0,33750.0,22432.0,21343.0,26983.0,22379.0,,31964.0,58464.0,33607.0,,6875.0,21581.0,30859.0,3972.0,143.0,0.0,261.0,905.0,119.0,595.0,222.0,78.0,72.0,183.0,46.0,143.0,0.0,27.0,314.0,260.0,0.0,230.0,123.0,251.0,6257.0,5875.0,39.0,129.0,0.0,0.0,59.0,12160.0,6117.0,49.93862018168426,1.698436538500728,44.627219903429086,27.604550290531137,2.774367787871348,16.498895163270316,0.010393649234798265,2.103803720955957,-1.9832319438497032,850.16,14.372588689187918,1.1575349972349425,4.0870356648056605
12310,01041,crenshaw,01,AL,SERC,mn_rest,,0.4112458287080675,0.7638383469832639,0.5875420878456656,100595.2149036642,186843.19038038596,143719.20264202508,480.3081705626997,892.1131192934358,686.2106449280677,0.0,0.0,0.0,0.0,0.0,0.0,2.681519974521771,0.034744514652973,-1.4591137506130472,69.48902930594613,1.841916245050934,,,5.002577322764048,7.276852929952561,0.8619435976292301,,,2.9504199260915547,0.0645336457822219,-1.1902137990432633,129.06729156444385,2.1108161966207177,,,5.271477274333832,13.515855785618196,1.130843549199014,,,2.836457450819633,0.0496390802175974,-1.304176274315185,99.27816043519498,1.996853721348796,,,5.157514799061911,10.39635435778538,1.0168810739270924,,,,,,"Crenshaw County, Alabama",13826.0,20.0,0.0,7.0,13.0,0.0,167.0,84.0,61.0,22.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,41.0,0.0,41.0,41.0,0.0,0.0,24.0,2051.0,3697.0,2144.0,1271.0,521.0,234.0,1973.0,13.0,5011.0,550.0,381.0,289.0,294.0,340.0,174.0,240.0,399.0,218.0,274.0,441.0,567.0,362.0,194.0,151.0,137.0,42611.0,5852.0,5615.0,237.0,31008.0,30852.0,,30707.0,36417.0,42031.0,22311.0,41552.0,45313.0,34464.0,54167.0,48333.0,17417.0,,30034.0,31563.0,23750.0,,6694.0,19167.0,33553.0,5615.0,284.0,15.0,444.0,920.0,132.0,694.0,301.0,65.0,59.0,162.0,62.0,180.0,0.0,311.0,486.0,644.0,3.0,235.0,240.0,378.0,10164.0,3521.0,182.0,198.0,8.0,81.0,305.0,13521.0,9774.0,29.30710256039346,1.4669728841418281,41.573846376392304,28.46810357297845,1.7141617242875742,14.270215535946768,0.016924634746130478,2.369215857410143,-1.7714806951362718,608.84,22.70875763747454,1.356193375261211,4.140696552546414
12313,01049,dekalb,01,AL,SERC,mn_rest,,0.6435573799565532,0.8270224004237405,0.7352898901901468,446236.0249344629,573448.7708333982,509842.3978839306,2130.6262825791337,2738.024172364342,2434.325227471738,0.0,0.0,0.0,0.0,0.0,0.0,3.3285072800065234,0.0298469746106203,-1.5250996838479152,59.6939492212407,1.775930311816066,,,5.649564628248801,6.251117530776254,0.7959576643943621,,,3.4374372779389897,0.0383557354117019,-1.4161696859154491,76.71147082340384,1.884860309748532,,,5.758494626181267,8.033183033317899,0.9048876623268282,,,3.3863785998023204,0.0341013550111611,-1.4672283640521182,68.20271002232228,1.8338016316118628,,,5.707435948044598,7.142150282047077,0.8538289841901591,,,,,,"DeKalb County, Alabama",71430.0,83.0,31.0,52.0,0.0,0.0,80.0,6.0,34.0,23.0,17.0,5.0,0.0,0.0,0.0,5.0,0.0,36.0,4878.0,0.0,4878.0,3011.0,0.0,42.0,168.0,10615.0,15809.0,15129.0,4166.0,2587.0,4091.0,14596.0,2159.0,26365.0,2122.0,1740.0,1934.0,1635.0,2066.0,1477.0,1483.0,1455.0,1052.0,2426.0,2543.0,2807.0,1721.0,732.0,599.0,573.0,42267.0,31594.0,30188.0,1406.0,29923.0,25974.0,,28583.0,33836.0,37199.0,21685.0,41654.0,50777.0,45316.0,27321.0,38875.0,31643.0,,31466.0,45192.0,25620.0,6900.0,10203.0,23676.0,32711.0,30188.0,845.0,6.0,2175.0,8261.0,684.0,3260.0,1421.0,505.0,616.0,1015.0,273.0,646.0,9.0,818.0,1855.0,3718.0,158.0,1318.0,1580.0,1025.0,62986.0,1484.0,1933.0,177.0,92.0,7363.0,10530.0,60900.0,57324.0,19.748005039899198,1.2955232293840406,36.99286014279715,30.634187316253676,1.9683606327873444,20.433991320173597,0.05727285454290914,3.6118294794983736,-1.2420511706261685,777.09,91.91985484306836,1.9634093298566409,4.853880650124542
12319,01067,henry,01,AL,SERC,mn_rest,,0.4112458287080675,0.7638383469832639,0.5875420878456656,100595.2149036642,186843.19038038596,143719.20264202508,480.3081705626997,892.1131192934358,686.2106449280677,0.0,0.0,0.0,0.0,0.0,0.0,2.681519974521771,0.0279102894161601,-1.5542356600649472,55.82057883232026,1.746794335599034,,,5.002577322764048,5.84550031400222,0.7668216881773302,,,2.9504199260915547,0.0518399162817964,-1.285335708495163,103.67983256359298,2.015694287168818,,,5.271477274333832,10.857295042151543,1.035721639747114,,,2.836457450819633,0.0398751028489783,-1.3992981837670848,79.75020569795662,1.9017318118968964,,,5.157514799061911,8.351397678076882,0.9217591644751923,,,,,,"Henry County, Alabama",17123.0,36.0,20.0,4.0,12.0,0.0,41.0,0.0,19.0,22.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,59.0,20.0,39.0,39.0,0.0,12.0,46.0,2385.0,3941.0,3580.0,1507.0,801.0,153.0,2532.0,0.0,6556.0,507.0,406.0,511.0,367.0,306.0,380.0,203.0,240.0,264.0,537.0,710.0,872.0,414.0,409.0,243.0,187.0,51715.0,7354.0,6953.0,401.0,33303.0,29608.0,,43832.0,41445.0,55039.0,22500.0,44615.0,92589.0,43359.0,30833.0,30083.0,53750.0,,17222.0,42500.0,27847.0,11250.0,14167.0,35244.0,42357.0,6953.0,320.0,4.0,247.0,1003.0,291.0,864.0,352.0,191.0,81.0,220.0,67.0,245.0,0.0,376.0,584.0,999.0,31.0,366.0,544.0,168.0,12282.0,4625.0,74.0,101.0,58.0,299.0,453.0,16670.0,11859.0,30.7422764702447,1.4877360239268829,36.94446066693921,34.386497693161246,2.341879343572972,14.78712842375752,0.008935350113881912,2.184691430817599,-2.0488884258614175,561.75,30.48153093012906,1.4840367755878496,4.233579856679016
12320,01069,houston,01,AL,SERC,mn_rest,,0.430047836589222,0.7892216612653558,0.609634748927289,71137.43174225425,130551.06265166552,100844.24719695988,339.65720667103506,623.3372246114047,481.49721564122,0.0,0.0,0.0,0.0,0.0,0.0,2.531040833660324,0.0032434178746685,-2.488997094197402,6.486835749337007,0.8120329014665796,,,4.852098181902601,0.6792978719109094,-0.1679397459551242,,,2.7947230629751023,0.0059523044308875,-2.225314864882623,11.904608861775076,1.0757151307813582,,,5.115780411217379,1.2466440924702118,0.0957424833596542,,,2.6825937800687565,0.004597861152778,-2.3374441477889687,9.195722305556044,0.9635858478750124,,,5.003651128311033,0.9629709821905604,-0.0163867995466915,,,,,,"Houston County, Alabama",105319.0,241.0,42.0,135.0,10.0,53.0,969.0,258.0,424.0,248.0,31.0,118.0,17.0,0.0,8.0,18.0,67.0,6.0,1148.0,133.0,896.0,650.0,119.0,49.0,515.0,9564.0,22968.0,24208.0,10109.0,6014.0,2285.0,18305.0,507.0,39784.0,3112.0,2444.0,2439.0,2256.0,2090.0,2153.0,2051.0,1998.0,1631.0,2948.0,3738.0,4616.0,3022.0,1855.0,1791.0,1640.0,49069.0,47229.0,44583.0,2646.0,33020.0,27315.0,86667.0,35275.0,36793.0,41875.0,23800.0,51950.0,86938.0,36274.0,41506.0,36964.0,42193.0,46250.0,30929.0,39014.0,34815.0,16763.0,14559.0,22773.0,45313.0,44583.0,550.0,14.0,2630.0,4017.0,1604.0,6264.0,2704.0,1117.0,549.0,1087.0,568.0,1794.0,10.0,1640.0,3112.0,7813.0,654.0,3557.0,2610.0,2289.0,74453.0,29807.0,1172.0,1436.0,57.0,1335.0,3551.0,101768.0,69340.0,34.161927097674685,1.5335423615567778,30.88901337840276,38.294134961402975,2.512367189206126,17.3805296290318,0.02169599027715797,3.358886204405869,-1.6636205224377352,579.82,181.64085405815595,2.259213535245403,5.022506726843604
