,FIPS,County,FIPSTATE,State,NERC,sector,Emp,rho_eff_min,rho_eff_max,rho_eff_avg,burden_min,burden_max,burden_avg,tonCO2e_eff_min,tonCO2e_eff_max,tonCO2e_eff_avg,tonCO2e_eff_min_emp,burden_min_emp,tonCO2e_eff_max_emp,burden_max_emp,tonCO2e_eff_avg_emp,burden_avg_emp,tonCO2e_eff_min_log10,tonCO2e_eff_percapita_min,tonCO2e_eff_percapita_min_log10,lbCO2e_eff_percapita_min,lbCO2e_eff_percapita_min_log10,tonCO2e_eff_peremp_min,tonCO2e_eff_peremp_min_log10,burden_min_log10,burden_percapita_min,burden_percapita_min_log10,burden_peremp_min,burden_peremp_min_log10,tonCO2e_eff_max_log10,tonCO2e_eff_percapita_max,tonCO2e_eff_percapita_max_log10,lbCO2e_eff_percapita_max,lbCO2e_eff_percapita_max_log10,tonCO2e_eff_peremp_max,tonCO2e_eff_peremp_max_log10,burden_max_log10,burden_percapita_max,burden_percapita_max_log10,burden_peremp_max,burden_peremp_max_log10,tonCO2e_eff_avg_log10,tonCO2e_eff_percapita_avg,tonCO2e_eff_percapita_avg_log10,lbCO2e_eff_percapita_avg,lbCO2e_eff_percapita_avg_log10,tonCO2e_eff_peremp_avg,tonCO2e_eff_peremp_avg_log10,burden_avg_log10,burden_percapita_avg,burden_percapita_avg_log10,burden_peremp_avg,burden_peremp_avg_log10,tonneCO2e_eff_peremp_avg,tonneCO2e_eff_peremp_avg_log10,ECF_std_dev,NAME,POP,MIG_EU,MIG_EU_N,MIG_EU_W,MIG_EU_S,MIG_EU_E,MIG_AS,MIG_AS_E,MIG_AS_SC,MIG_AS_SE,MIG_AS_W,MIG_AFR,MIG_AFR_E,MIG_AFR_M,MIG_AFR_N,MIG_AFR_S,MIG_AFR_W,MIG_OC,MIG_LA,MIG_LA_CAR,MIG_LA_CAM,MIG_LA_CAM_MX,MIG_LA_SAM,MIG_NA,MIG_WHITE_NOLATIN,ED_LESSHS,ED_HS,ED_SOMECOLLEGE,ED_BACH,ED_GRAD,MIG_TOT,POV_TOT,POV_MIG,HH_INC_TOT,HH_INC_BELOW_10000,HH_INC_10000_TO_14999,HH_INC_15000_TO_19999,HH_INC_20000_TO_24999,HH_INC_25000_TO_29999,HH_INC_30000_TO_34999,HH_INC_35000_TO_39999,HH_INC_40000_TO_44999,HH_INC_45000_TO_49999,HH_INC_50000_TO_59999,HH_INC_60000_TO_74999,HH_INC_75000_TO_99999,HH_INC_100000_TO_124999,HH_INC_125000_TO_149999,HH_INC_150000_TO_199999,HH_INC_ABOVE_200000,HH_INC_MEDIAN,LBR,EMP,UNEMP,INC_IND_TOT,INC_IND_AG,INC_IND_MN,INC_IND_CN,INC_IND_MF,INC_IND_WHOLESALE,INC_IND_RETAIL,INC_IND_TRANSPORT,INC_IND_UTILITIES,INC_IND_IT,INC_IND_FINANCE,INC_IND_REALESTATE,INC_IND_PROFSERVICES,INC_IND_MNGMNT,INC_IND_ADMIN,INC_IND_ED,INC_IND_HEALTH,INC_IND_ART,INC_IND_ACCOM,INC_IND_OTHER,INC_IND_PUBLIC,EMP_IND_TOT,EMP_IND_AG,EMP_IND_MN,EMP_IND_CN,EMP_IND_MF,EMP_IND_WHOLESALE,EMP_IND_RETAIL,EMP_IND_TRANSPORT,EMP_IND_UTILITIES,EMP_IND_IT,EMP_IND_FINANCE,EMP_IND_REALESTATE,EMP_IND_PROFSERVICES,EMP_IND_MNGMNT,EMP_IND_ADMIN,EMP_IND_ED,EMP_IND_HEALTH,EMP_IND_ART,EMP_IND_ACCOM,EMP_IND_OTHER,EMP_IND_PUBLIC,RACE_WHITE,RACE_BLACK,RACE_NATAMERICAN,RACE_ASIAN,RACE_HAWAII_PACISLAND,RACE_OTHER,ETHN_LATIN,ETHN_NOLATIN,RACE_NOLATIN_WHITE,RACE_PERCENT_MINORITY,RACE_PERCENT_MINORITY_log10,ED_PERCENT_HSORLESS,ED_PERCENT_TERTIARY,UNEMP_RATE,POV_RATE,MIG_PERCENT,MIG_TOT_log10,MIG_PERCENT_log10,land_area_sq_mi,pop_per_sqmi,pop_per_sqmi_log10,POP_log10
15925,01003,baldwin,01,AL,SERC,og,,0.0966854559760142,0.0983473557977598,0.097516405886887,35277450.076247275,35883824.503523044,35580637.28988516,168437.90755321615,171333.14061295704,169885.52408308658,0.0,0.0,0.0,0.0,0.0,0.0,5.226439837689237,0.7725729859978174,-0.1120604815875127,1545.145971995635,3.1889695140764687,,,7.547497185931514,161.80683635709826,2.2089968666547644,,,5.233841375769137,0.7858525314553442,-0.1046589435076133,1571.7050629106884,3.196371052156368,,,7.554898724011414,164.58808975022265,2.216398404734664,,,5.230156374285894,0.7792127587265807,-0.1083439449908555,1558.425517453161,3.192686050673126,,,7.551213722528171,163.19746305366047,2.212713403251422,,,,,,"Baldwin County, Alabama",218289.0,1702.0,379.0,680.0,74.0,569.0,1385.0,764.0,309.0,293.0,19.0,285.0,204.0,0.0,9.0,72.0,0.0,41.0,3760.0,239.0,2630.0,1742.0,891.0,296.0,2498.0,14823.0,42272.0,48832.0,31444.0,18192.0,6506.0,19739.0,796.0,84047.0,4352.0,4011.0,2930.0,3506.0,3935.0,4450.0,3789.0,4314.0,3655.0,6148.0,7970.0,11536.0,7621.0,5375.0,4893.0,5562.0,61756.0,102795.0,98768.0,4027.0,37574.0,34522.0,67904.0,38213.0,54920.0,53673.0,25622.0,50526.0,63370.0,48283.0,47768.0,33969.0,56699.0,,31257.0,41786.0,44789.0,15957.0,15909.0,22819.0,51226.0,98768.0,1453.0,323.0,7922.0,9608.0,2700.0,13434.0,3885.0,1200.0,1090.0,4170.0,3334.0,5764.0,27.0,4782.0,7312.0,11744.0,2112.0,7681.0,4970.0,5257.0,191923.0,20377.0,3347.0,3120.0,570.0,4928.0,9947.0,208342.0,180955.0,17.103014810640936,1.2330726718085074,26.15569268263632,45.109006867043234,1.8448020743143265,9.042599489667367,0.02980452519366528,3.813314058945835,-1.5257177923855398,1589.78,137.30767779189574,2.137694822228939,5.339031851331375
15926,01007,bibb,01,AL,SERC,og,,0.0581710945473684,0.0581710945473684,0.0581710945473684,249729.19963217707,249729.19963217707,249729.19963217707,1192.3725708651884,1192.3725708651884,1192.3725708651884,0.0,0.0,0.0,0.0,0.0,0.0,3.076411977039472,0.0532309183421959,-1.2738360412946914,106.46183668439184,2.02719395436929,,,5.397469325281748,11.148624983579332,1.047221306947586,,,3.076411977039472,0.0532309183421959,-1.2738360412946914,106.46183668439184,2.02719395436929,,,5.397469325281748,11.148624983579332,1.047221306947586,,,3.076411977039472,0.0532309183421959,-1.2738360412946914,106.46183668439184,2.02719395436929,,,5.397469325281748,11.148624983579332,1.047221306947586,,,,,,"Bibb County, Alabama",22374.0,17.0,0.0,17.0,0.0,0.0,66.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,19.0,249.0,18.0,3.0,0.0,27.0,3056.0,7206.0,3911.0,1183.0,631.0,274.0,3755.0,17.0,7259.0,799.0,512.0,382.0,382.0,377.0,283.0,217.0,322.0,277.0,628.0,778.0,1129.0,600.0,212.0,204.0,157.0,51721.0,8970.0,8303.0,667.0,33844.0,17656.0,53528.0,44340.0,40380.0,93503.0,18835.0,49022.0,70000.0,7038.0,18389.0,42614.0,44583.0,,27292.0,42917.0,28723.0,17375.0,16976.0,26934.0,50657.0,8303.0,235.0,157.0,781.0,1211.0,260.0,898.0,472.0,44.0,119.0,341.0,75.0,231.0,0.0,353.0,629.0,1233.0,19.0,253.0,515.0,477.0,17243.0,5079.0,90.0,67.0,0.0,9.0,600.0,21774.0,16650.0,25.58326629123089,1.407955991342788,45.865737016179494,25.587735764726915,2.9811388218467862,16.782872977563244,0.012246357379100741,2.437750562820388,-1.911993070924563,622.58,35.93755019435253,1.555548468617778,4.349743633744951
15927,01023,choctaw,01,AL,SERC,og,,0.1964283378796351,0.2072979047540222,0.2018631213168286,3731119.4454061016,3937584.830013791,3834352.137709946,17814.8349967752,18800.63746521678,18307.73623099599,0.0,0.0,0.0,0.0,0.0,0.0,4.250781804215977,1.38734016017251,0.1421829582424102,2774.68032034502,3.443212953906392,,,6.571839152458255,290.5629970723543,2.463240306484688,,,4.27417257495158,1.4641100743880366,0.1655737289780132,2928.220148776073,3.4666037246419945,,,6.595229923193857,306.6416034587486,2.48663107722029,,,4.262634646695608,1.4257251172802734,0.1540358007220409,2851.450234560547,3.4550657963860223,,,6.583691994937885,298.60230026555143,2.4750931489643184,,,,,,"Choctaw County, Alabama",12755.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,11.0,11.0,17.0,59.0,76.0,1603.0,3346.0,3062.0,761.0,491.0,113.0,2473.0,0.0,5330.0,474.0,467.0,398.0,458.0,439.0,244.0,419.0,228.0,175.0,241.0,343.0,608.0,480.0,74.0,236.0,46.0,36634.0,4733.0,4427.0,306.0,33859.0,46141.0,137361.0,55455.0,50266.0,60050.0,20114.0,38438.0,37781.0,31111.0,27794.0,34219.0,26771.0,,29828.0,31513.0,27083.0,,10818.0,24625.0,30170.0,4427.0,286.0,88.0,336.0,738.0,103.0,652.0,93.0,107.0,34.0,118.0,19.0,41.0,0.0,118.0,481.0,596.0,7.0,264.0,173.0,173.0,7294.0,5422.0,29.0,60.0,0.0,11.0,69.0,12686.0,7200.0,43.5515484123873,1.6390036003310775,38.800470403763235,33.82203057624461,2.3990591924735396,19.38847510780086,0.008859270874166993,2.0530784434834195,-2.0526020194623893,913.5,13.962780514504653,1.1449719112572523,4.105680462945809
15928,01025,clarke,01,AL,SERC,og,,0.2548328883455265,0.2713909587179465,0.2631119235317365,3177554.456501418,3384019.841109107,3280787.148805262,15171.749166470116,16157.551634911695,15664.650400690904,0.0,0.0,0.0,0.0,0.0,0.0,4.181035653928037,0.6342704501032657,-0.1977255213883367,1268.5409002065312,3.1033044742756446,,,6.502093002170314,132.84090537213285,2.1233318268539407,,,4.208375552477823,0.6754829278809237,-0.1703856228385503,1350.9658557618473,3.1306443728254307,,,6.5294329007201,141.47240138415998,2.150671725403727,,,4.194920706862471,0.6548766889920947,-0.1838404684539026,1309.7533779841897,3.1171895272100785,,,6.515978055104748,137.15665337814642,2.1372168797883746,,,,,,"Clarke County, Alabama",23866.0,8.0,0.0,0.0,0.0,8.0,66.0,14.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2904.0,6942.0,4554.0,1401.0,902.0,52.0,5870.0,9.0,9323.0,1439.0,620.0,558.0,588.0,747.0,444.0,379.0,310.0,428.0,529.0,931.0,777.0,520.0,299.0,493.0,261.0,37345.0,9241.0,8166.0,1075.0,34838.0,49000.0,28750.0,24613.0,58603.0,40071.0,21525.0,36365.0,64375.0,50139.0,32234.0,27421.0,45833.0,,10688.0,46178.0,40189.0,8750.0,20646.0,26054.0,33839.0,8166.0,346.0,63.0,768.0,1682.0,124.0,990.0,301.0,188.0,51.0,172.0,246.0,106.0,0.0,247.0,593.0,1164.0,64.0,345.0,427.0,289.0,12783.0,11085.0,85.0,129.0,0.0,47.0,140.0,23726.0,12471.0,47.74574708790749,1.678934693228413,41.255342327997994,28.731249476242354,4.5043157630101405,24.59565909662281,0.0021788318109444396,1.7160033436347992,-2.6617762926531823,1238.47,19.270551567660096,1.2848941453437255,4.377779636287982
15929,01033,colbert,01,AL,SERC,og,,0.8328965902750989,0.9090398395536624,0.8709682149143805,2381170.548702139,2598856.71140418,2490013.63005316,11369.28502156065,12408.662915075376,11888.973968318012,0.0,0.0,0.0,0.0,0.0,0.0,4.055733154137672,0.2076126697629862,-0.6827461467761152,415.2253395259724,2.618283848887866,,,6.376790502379949,43.48216918122309,1.638311201466162,,,4.093724986987104,0.2265925808968879,-0.644754313926683,453.1851617937758,2.656275681737298,,,6.414782335229381,47.45730089120521,1.6763030343155942,,,4.07514437613887,0.217102625329937,-0.6633349247749165,434.2052506598741,2.6376950708890647,,,6.396201724381148,45.46973503621415,1.6577224234673609,,,,,,"Colbert County, Alabama",54957.0,84.0,14.0,58.0,12.0,0.0,230.0,51.0,96.0,66.0,17.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,523.0,48.0,419.0,234.0,56.0,12.0,162.0,5590.0,14452.0,12247.0,4263.0,2525.0,773.0,8430.0,199.0,21797.0,1927.0,1302.0,1424.0,1331.0,928.0,1382.0,1015.0,1016.0,924.0,1756.0,2492.0,2763.0,1432.0,1033.0,757.0,315.0,47962.0,24542.0,23563.0,979.0,32389.0,53222.0,68734.0,39007.0,35261.0,36638.0,21737.0,45651.0,75108.0,22296.0,38917.0,35625.0,50064.0,,21936.0,41421.0,33422.0,23194.0,14768.0,35142.0,44436.0,23563.0,204.0,110.0,2049.0,4533.0,634.0,2581.0,817.0,660.0,266.0,591.0,221.0,542.0,35.0,757.0,1562.0,3527.0,290.0,1736.0,1483.0,965.0,44369.0,9375.0,736.0,477.0,77.0,1103.0,1591.0,53366.0,42876.0,21.982640973852284,1.3420798669532938,36.468511745546515,34.636170096620994,1.7813927252215367,15.339265243736012,0.014065542151136343,2.888179493918325,-1.8518435234554753,592.62,92.73564847625798,1.9672467132215519,4.7400230173738
15930,01035,conecuh,01,AL,SERC,og,,0.0789815992826565,0.0789815992826565,0.0789815992826565,25059088.70608828,25059088.70608828,25059088.70608828,119648.68372631964,119648.68372631964,119648.68372631964,0.0,0.0,0.0,0.0,0.0,0.0,5.077907925234952,9.745759039367892,0.9888156693922324,19491.518078735782,4.289845665056213,,,7.398965273477229,2041.141052870268,3.309873017634509,,,5.077907925234952,9.745759039367892,0.9888156693922324,19491.518078735782,4.289845665056213,,,7.398965273477229,2041.141052870268,3.309873017634509,,,5.077907925234952,9.745759039367892,0.9888156693922324,19491.518078735782,4.289845665056213,,,7.398965273477229,2041.141052870268,3.309873017634509,,,,,,"Conecuh County, Alabama",12219.0,35.0,35.0,0.0,0.0,0.0,72.0,10.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,0.0,17.0,0.0,62.0,1328.0,4125.0,2152.0,727.0,494.0,127.0,2016.0,25.0,4585.0,416.0,432.0,243.0,235.0,370.0,567.0,279.0,230.0,248.0,268.0,354.0,458.0,309.0,10.0,72.0,94.0,35444.0,4311.0,3972.0,339.0,30000.0,40313.0,,25893.0,36386.0,43535.0,13727.0,47738.0,33750.0,22432.0,21343.0,26983.0,22379.0,,31964.0,58464.0,33607.0,,6875.0,21581.0,30859.0,3972.0,143.0,0.0,261.0,905.0,119.0,595.0,222.0,78.0,72.0,183.0,46.0,143.0,0.0,27.0,314.0,260.0,0.0,230.0,123.0,251.0,6257.0,5875.0,39.0,129.0,0.0,0.0,59.0,12160.0,6117.0,49.93862018168426,1.698436538500728,44.627219903429086,27.604550290531137,2.774367787871348,16.498895163270316,0.010393649234798265,2.103803720955957,-1.9832319438497032,850.16,14.372588689187918,1.1575349972349425,4.0870356648056605
15931,01039,covington,01,AL,SERC,og,,0.0867872949664213,0.0867872949664213,0.0867872949664213,69403.87229721647,69403.87229721647,69403.87229721647,331.3800459094107,331.3800459094107,331.3800459094107,0.0,0.0,0.0,0.0,0.0,0.0,2.5203263537745078,0.0089596075787976,-2.0477110115538286,17.919215157595342,1.2533189841101526,,,4.841383702016785,1.876490355735048,0.2733463366884489,,,2.5203263537745078,0.0089596075787976,-2.0477110115538286,17.919215157595342,1.2533189841101526,,,4.841383702016785,1.876490355735048,0.2733463366884489,,,2.5203263537745078,0.0089596075787976,-2.0477110115538286,17.919215157595342,1.2533189841101526,,,4.841383702016785,1.876490355735048,0.2733463366884489,,,,,,"Covington County, Alabama",37096.0,98.0,46.0,49.0,0.0,3.0,60.0,38.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,66.0,34.0,56.0,0.0,98.0,3864.0,9823.0,8562.0,2455.0,1662.0,267.0,6425.0,66.0,14995.0,1444.0,1305.0,753.0,921.0,958.0,996.0,763.0,669.0,568.0,1223.0,1321.0,1756.0,807.0,544.0,638.0,329.0,42566.0,16122.0,14880.0,1242.0,32663.0,35441.0,74702.0,33454.0,32154.0,37266.0,26023.0,52311.0,59561.0,27429.0,39038.0,26047.0,41023.0,,20656.0,38821.0,34514.0,7404.0,11955.0,26369.0,30009.0,14880.0,542.0,289.0,1010.0,2059.0,499.0,1547.0,865.0,561.0,136.0,380.0,116.0,619.0,0.0,557.0,1260.0,1826.0,248.0,742.0,685.0,939.0,31887.0,4952.0,441.0,274.0,32.0,154.0,657.0,36439.0,30835.0,16.877830493853786,1.2273166208973685,36.896161311192586,34.1788872115592,3.3480698727625624,17.319926676730645,0.007197541513909856,2.4265112613645754,-2.1428158215231727,1030.46,35.99945655338392,1.5562959447215092,4.569327082887748
15933,01053,escambia,01,AL,SERC,og,,0.0703370532316517,0.0703370532316517,0.0703370532316517,12632446.970388845,12632446.970388845,12632446.970388845,60315.667100948514,60315.667100948514,60315.667100948514,0.0,0.0,0.0,0.0,0.0,0.0,4.780430135551756,1.6413319663913275,0.2151964278485415,3282.663932782656,3.516226423512523,,,7.101487483794033,343.7587615758366,2.5362537760908186,,,4.780430135551756,1.6413319663913275,0.2151964278485415,3282.663932782656,3.516226423512523,,,7.101487483794033,343.7587615758366,2.5362537760908186,,,4.780430135551756,1.6413319663913275,0.2151964278485415,3282.663932782656,3.516226423512523,,,7.101487483794033,343.7587615758366,2.5362537760908186,,,,,,"Escambia County, Alabama",36775.0,73.0,62.0,11.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,133.0,29.0,70.0,70.0,34.0,3.0,88.0,5050.0,11056.0,6384.0,2252.0,961.0,281.0,8036.0,21.0,12931.0,1975.0,960.0,788.0,859.0,990.0,810.0,757.0,631.0,586.0,1083.0,1112.0,996.0,553.0,316.0,340.0,175.0,35558.0,13948.0,12543.0,1405.0,30599.0,40940.0,77875.0,32461.0,34169.0,31857.0,22142.0,42155.0,48542.0,28897.0,40375.0,21908.0,31570.0,,25651.0,27163.0,34355.0,22399.0,15771.0,19496.0,41138.0,12543.0,278.0,67.0,809.0,1925.0,239.0,1803.0,356.0,213.0,95.0,220.0,81.0,374.0,24.0,303.0,775.0,1674.0,519.0,878.0,857.0,1053.0,23285.0,12002.0,1699.0,106.0,45.0,267.0,888.0,35887.0,22091.0,39.92929979605711,1.6012916944323814,43.79605710401088,26.096532970768184,3.820530251529572,21.85180149558124,0.007641060503059144,2.44870631990508,-2.116846361494488,945.08,38.91204977356414,1.59008410877601,4.565552681399568
15934,01057,fayette,01,AL,SERC,og,,0.0673273422744072,0.0673273422744072,0.0673273422744072,761127.8583274591,761127.8583274591,761127.8583274591,3634.128418013365,3634.128418013365,3634.128418013365,0.0,0.0,0.0,0.0,0.0,0.0,3.560400269765957,0.2211482028852531,-0.6553165854835662,442.2964057705062,2.645713410180415,,,5.881457618008234,46.31703634926423,1.665740762758711,,,3.560400269765957,0.2211482028852531,-0.6553165854835662,442.2964057705062,2.645713410180415,,,5.881457618008234,46.31703634926423,1.665740762758711,,,3.560400269765957,0.2211482028852531,-0.6553165854835662,442.2964057705062,2.645713410180415,,,5.881457618008234,46.31703634926423,1.665740762758711,,,,,,"Fayette County, Alabama",16406.0,9.0,0.0,9.0,0.0,0.0,110.0,34.0,32.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,19.0,0.0,16.0,26.0,1829.0,4934.0,3387.0,1055.0,367.0,126.0,3345.0,22.0,6805.0,600.0,627.0,472.0,512.0,504.0,315.0,282.0,188.0,334.0,591.0,541.0,1053.0,376.0,151.0,147.0,112.0,41469.0,6978.0,6423.0,555.0,33400.0,40300.0,60536.0,34087.0,43258.0,39821.0,22250.0,51071.0,32326.0,46607.0,35700.0,64219.0,22273.0,,18929.0,42500.0,27648.0,20278.0,9821.0,16528.0,37063.0,6423.0,60.0,45.0,273.0,1682.0,167.0,1015.0,332.0,71.0,129.0,164.0,49.0,76.0,0.0,182.0,496.0,983.0,32.0,222.0,298.0,147.0,14252.0,2278.0,136.0,132.0,4.0,10.0,89.0,16317.0,13821.0,15.75643057418018,1.1974578402150091,41.22272339388029,29.312446665853958,3.382908691941972,20.388882116298916,0.007680117030354748,2.100370545117563,-2.1146321620973896,627.66,26.138355160437182,1.4172782547356697,4.2150027072149525
15936,01075,lamar,01,AL,SERC,og,,0.2094032622881683,0.2233008196262732,0.2163520409572207,3110944.1777865114,3317409.562394201,3214176.870090356,14853.707586253136,15839.510054694716,15346.608820473924,0.0,0.0,0.0,0.0,0.0,0.0,4.17183487003557,1.0729346710671146,0.03057327941348,2145.869342134229,3.331603275077461,,,6.492892218277848,224.71425728015828,2.3516306276557573,,,4.199741743930663,1.1441425927979425,0.0584801533085731,2288.285185595885,3.3595101489725545,,,6.520799092172941,239.62796607874895,2.37953750155085,,,4.186012423248758,1.1085386319325286,0.0447508326266671,2217.077263865057,3.3457808282906485,,,6.507069771491034,232.17111167945365,2.3658081808689446,,,,,,"Lamar County, Alabama",13854.0,29.0,0.0,29.0,0.0,0.0,36.0,0.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,4.0,49.0,36.0,0.0,0.0,45.0,1672.0,4026.0,3005.0,691.0,416.0,69.0,2409.0,0.0,5631.0,541.0,554.0,364.0,342.0,278.0,392.0,226.0,223.0,411.0,476.0,406.0,475.0,600.0,177.0,112.0,54.0,42688.0,5553.0,5269.0,284.0,36880.0,40104.0,,37201.0,43429.0,24510.0,39632.0,35694.0,,21552.0,37690.0,25714.0,55425.0,,11602.0,41496.0,22151.0,,15156.0,38841.0,45363.0,5269.0,101.0,63.0,245.0,1485.0,211.0,383.0,137.0,14.0,50.0,269.0,58.0,192.0,0.0,127.0,385.0,606.0,0.0,104.0,430.0,409.0,12246.0,1549.0,119.0,24.0,0.0,50.0,240.0,13614.0,11911.0,14.024830373899233,1.1468976172989624,41.12891583658149,29.680958567922623,2.049949473076368,17.388479861411867,0.00498051104374188,1.8388490907372552,-2.3027260925635646,604.85,22.9048524427544,1.359927498316689,4.14157518330082
