,FIPS,County,FIPSTATE,State,NERC,sector,Emp,rho_eff_min,rho_eff_max,rho_eff_avg,burden_min,burden_max,burden_avg,tonCO2e_eff_min,tonCO2e_eff_max,tonCO2e_eff_avg,tonCO2e_eff_min_emp,burden_min_emp,tonCO2e_eff_max_emp,burden_max_emp,tonCO2e_eff_avg_emp,burden_avg_emp,tonCO2e_eff_min_log10,tonCO2e_eff_percapita_min,tonCO2e_eff_percapita_min_log10,lbCO2e_eff_percapita_min,lbCO2e_eff_percapita_min_log10,tonCO2e_eff_peremp_min,tonCO2e_eff_peremp_min_log10,burden_min_log10,burden_percapita_min,burden_percapita_min_log10,burden_peremp_min,burden_peremp_min_log10,tonCO2e_eff_max_log10,tonCO2e_eff_percapita_max,tonCO2e_eff_percapita_max_log10,lbCO2e_eff_percapita_max,lbCO2e_eff_percapita_max_log10,tonCO2e_eff_peremp_max,tonCO2e_eff_peremp_max_log10,burden_max_log10,burden_percapita_max,burden_percapita_max_log10,burden_peremp_max,burden_peremp_max_log10,tonCO2e_eff_avg_log10,tonCO2e_eff_percapita_avg,tonCO2e_eff_percapita_avg_log10,lbCO2e_eff_percapita_avg,lbCO2e_eff_percapita_avg_log10,tonCO2e_eff_peremp_avg,tonCO2e_eff_peremp_avg_log10,burden_avg_log10,burden_percapita_avg,burden_percapita_avg_log10,burden_peremp_avg,burden_peremp_avg_log10,tonneCO2e_eff_peremp_avg,tonneCO2e_eff_peremp_avg_log10,ECF_std_dev,NAME,POP,MIG_EU,MIG_EU_N,MIG_EU_W,MIG_EU_S,MIG_EU_E,MIG_AS,MIG_AS_E,MIG_AS_SC,MIG_AS_SE,MIG_AS_W,MIG_AFR,MIG_AFR_E,MIG_AFR_M,MIG_AFR_N,MIG_AFR_S,MIG_AFR_W,MIG_OC,MIG_LA,MIG_LA_CAR,MIG_LA_CAM,MIG_LA_CAM_MX,MIG_LA_SAM,MIG_NA,MIG_WHITE_NOLATIN,ED_LESSHS,ED_HS,ED_SOMECOLLEGE,ED_BACH,ED_GRAD,MIG_TOT,POV_TOT,POV_MIG,HH_INC_TOT,HH_INC_BELOW_10000,HH_INC_10000_TO_14999,HH_INC_15000_TO_19999,HH_INC_20000_TO_24999,HH_INC_25000_TO_29999,HH_INC_30000_TO_34999,HH_INC_35000_TO_39999,HH_INC_40000_TO_44999,HH_INC_45000_TO_49999,HH_INC_50000_TO_59999,HH_INC_60000_TO_74999,HH_INC_75000_TO_99999,HH_INC_100000_TO_124999,HH_INC_125000_TO_149999,HH_INC_150000_TO_199999,HH_INC_ABOVE_200000,HH_INC_MEDIAN,LBR,EMP,UNEMP,INC_IND_TOT,INC_IND_AG,INC_IND_MN,INC_IND_CN,INC_IND_MF,INC_IND_WHOLESALE,INC_IND_RETAIL,INC_IND_TRANSPORT,INC_IND_UTILITIES,INC_IND_IT,INC_IND_FINANCE,INC_IND_REALESTATE,INC_IND_PROFSERVICES,INC_IND_MNGMNT,INC_IND_ADMIN,INC_IND_ED,INC_IND_HEALTH,INC_IND_ART,INC_IND_ACCOM,INC_IND_OTHER,INC_IND_PUBLIC,EMP_IND_TOT,EMP_IND_AG,EMP_IND_MN,EMP_IND_CN,EMP_IND_MF,EMP_IND_WHOLESALE,EMP_IND_RETAIL,EMP_IND_TRANSPORT,EMP_IND_UTILITIES,EMP_IND_IT,EMP_IND_FINANCE,EMP_IND_REALESTATE,EMP_IND_PROFSERVICES,EMP_IND_MNGMNT,EMP_IND_ADMIN,EMP_IND_ED,EMP_IND_HEALTH,EMP_IND_ART,EMP_IND_ACCOM,EMP_IND_OTHER,EMP_IND_PUBLIC,RACE_WHITE,RACE_BLACK,RACE_NATAMERICAN,RACE_ASIAN,RACE_HAWAII_PACISLAND,RACE_OTHER,ETHN_LATIN,ETHN_NOLATIN,RACE_NOLATIN_WHITE,RACE_PERCENT_MINORITY,RACE_PERCENT_MINORITY_log10,ED_PERCENT_HSORLESS,ED_PERCENT_TERTIARY,UNEMP_RATE,POV_RATE,MIG_PERCENT,MIG_TOT_log10,MIG_PERCENT_log10,land_area_sq_mi,pop_per_sqmi,pop_per_sqmi_log10,POP_log10
14632,01001,autauga,01,AL,SERC,pwr,147.67813767057015,0.1332587242284038,0.1332587242284038,0.1332587242284038,137276986.63870576,137276986.63870576,137276986.63870576,655451.2396632419,655451.2396632419,655451.2396632419,655451.2396632419,137276986.63870576,655451.2396632419,137276986.63870576,655451.2396632419,137276986.63870576,5.816540389187284,11.788479337840002,1.0714577866236366,23576.958675680005,4.372487782287617,4438.376932443282,3.647224182242274,8.137597737429562,2468.9661451899383,3.392515134865914,929568.7825162954,5.968281530484552,5.816540389187284,11.788479337840002,1.0714577866236366,23576.958675680005,4.372487782287617,4438.376932443282,3.647224182242274,8.137597737429562,2468.9661451899383,3.392515134865914,929568.7825162954,5.968281530484552,5.816540389187284,11.788479337840002,1.0714577866236366,23576.958675680005,4.372487782287617,4438.376932443282,3.647224182242274,8.137597737429562,2468.9661451899383,3.392515134865914,929568.7825162954,5.968281530484552,4026.427645945479,3.604919899318437,0.8483961029085663,"Autauga County, Alabama",55639.0,302.0,66.0,22.0,23.0,191.0,428.0,200.0,0.0,228.0,0.0,135.0,135.0,0.0,0.0,0.0,0.0,12.0,426.0,53.0,337.0,275.0,36.0,0.0,330.0,4273.0,11880.0,10986.0,6320.0,4401.0,1144.0,8394.0,121.0,21559.0,1331.0,982.0,1528.0,1134.0,1114.0,726.0,903.0,1062.0,765.0,1442.0,2218.0,2893.0,2248.0,1288.0,1027.0,898.0,57982.0,25316.0,24580.0,736.0,36904.0,12016.0,9441.0,45018.0,48211.0,48214.0,24625.0,44338.0,70260.0,25786.0,43125.0,47763.0,39605.0,,27394.0,40580.0,31086.0,15132.0,15716.0,27665.0,57437.0,24580.0,88.0,118.0,1847.0,2721.0,798.0,2624.0,1174.0,217.0,270.0,1005.0,344.0,1488.0,0.0,923.0,1966.0,3047.0,541.0,1534.0,1233.0,2642.0,43422.0,11423.0,447.0,1048.0,24.0,720.0,1601.0,54038.0,41160.0,26.023113283847664,1.4153592522991272,29.031794245043947,39.01400097054225,1.3228131346717231,15.086540016894626,0.020561117201962652,3.058426024457005,-1.6869532913564493,594.44,93.59901756274813,1.9712712903052367,4.745379315813454
14633,01015,calhoun,01,AL,SERC,pwr,53.10255792592847,0.1332587242284038,0.1332587242284038,0.1332587242284038,5913066.358817065,5913066.358817065,5913066.358817065,28232.894456650916,28232.894456650916,28232.894456650916,28232.894456650916,5913066.358817065,28232.894456650916,5913066.358817065,28232.894456650916,5913066.358817065,4.450755404612124,0.2470566645663686,-0.6072034261487453,494.11332913273736,2.693826569515236,531.6673162153944,2.725639963260225,6.771812752854402,51.74327606444923,1.7138539220935318,111351.81787410438,5.046697311502503,4.450755404612124,0.2470566645663686,-0.6072034261487453,494.11332913273736,2.693826569515236,531.6673162153944,2.725639963260225,6.771812752854402,51.74327606444923,1.7138539220935318,111351.81787410438,5.046697311502503,4.450755404612124,0.2470566645663686,-0.6072034261487453,494.11332913273736,2.693826569515236,531.6673162153944,2.725639963260225,6.771812752854402,51.74327606444923,1.7138539220935318,111351.81787410438,5.046697311502503,482.3204547606677,2.683335680336388,0.1052734375722364,"Calhoun County, Alabama",114324.0,565.0,113.0,324.0,28.0,100.0,737.0,339.0,77.0,321.0,0.0,91.0,32.0,0.0,0.0,0.0,27.0,12.0,1411.0,103.0,1219.0,995.0,89.0,29.0,597.0,11787.0,27203.0,25087.0,8296.0,6594.0,2443.0,17556.0,493.0,44572.0,3546.0,2702.0,2391.0,2459.0,2740.0,2505.0,2245.0,1888.0,1741.0,4182.0,4362.0,5445.0,3857.0,1879.0,1480.0,1150.0,50128.0,51674.0,47905.0,3769.0,32526.0,28967.0,26625.0,31149.0,40719.0,35915.0,21012.0,43827.0,55071.0,20221.0,37500.0,24511.0,41350.0,,30407.0,43369.0,38827.0,22213.0,12042.0,21050.0,50123.0,47905.0,485.0,141.0,2487.0,8659.0,1260.0,6315.0,1568.0,506.0,599.0,1274.0,547.0,1593.0,10.0,1715.0,4287.0,6569.0,648.0,3420.0,2115.0,3707.0,86360.0,25542.0,1364.0,1496.0,493.0,2138.0,4406.0,109918.0,82049.0,28.231167558867774,1.4507288396732414,34.10482488366397,34.96816066617683,3.2967705818550783,15.35635562086701,0.021369091354396276,3.3879234669734366,-1.6702139442917796,605.87,188.6939442454652,2.2757579625762734,5.058137411265216
14634,01023,choctaw,01,AL,SERC,pwr,3.388773978294233,0.1332587242284038,0.1332587242284038,0.1332587242284038,8431838.720893068,8431838.720893068,8431838.720893068,40259.18165581021,40259.18165581021,40259.18165581021,40259.18165581021,8431838.720893068,40259.18165581021,8431838.720893068,40259.18165581021,8431838.720893068,4.604864942783683,3.135206109789752,0.4962660968101168,6270.412219579504,3.797296092474098,11880.161354424408,4.074822339202437,6.925922291025961,656.634118907645,2.817323445052394,2488167.925893158,6.395879687444714,4.604864942783683,3.135206109789752,0.4962660968101168,6270.412219579504,3.797296092474098,11880.161354424408,4.074822339202437,6.925922291025961,656.634118907645,2.817323445052394,2488167.925893158,6.395879687444714,4.604864942783683,3.135206109789752,0.4962660968101168,6270.412219579504,3.797296092474098,11880.161354424408,4.074822339202437,6.925922291025961,656.634118907645,2.817323445052394,2488167.925893158,6.395879687444714,10777.5006142651,4.032518056278599,1.193191375601194,"Choctaw County, Alabama",12755.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,11.0,11.0,17.0,59.0,76.0,1603.0,3346.0,3062.0,761.0,491.0,113.0,2473.0,0.0,5330.0,474.0,467.0,398.0,458.0,439.0,244.0,419.0,228.0,175.0,241.0,343.0,608.0,480.0,74.0,236.0,46.0,36634.0,4733.0,4427.0,306.0,33859.0,46141.0,137361.0,55455.0,50266.0,60050.0,20114.0,38438.0,37781.0,31111.0,27794.0,34219.0,26771.0,,29828.0,31513.0,27083.0,,10818.0,24625.0,30170.0,4427.0,286.0,88.0,336.0,738.0,103.0,652.0,93.0,107.0,34.0,118.0,19.0,41.0,0.0,118.0,481.0,596.0,7.0,264.0,173.0,173.0,7294.0,5422.0,29.0,60.0,0.0,11.0,69.0,12686.0,7200.0,43.5515484123873,1.6390036003310775,38.800470403763235,33.82203057624461,2.3990591924735396,19.38847510780086,0.008859270874166993,2.0530784434834195,-2.0526020194623893,913.5,13.962780514504653,1.1449719112572523,4.105680462945809
14635,01025,clarke,01,AL,SERC,pwr,1.8322610455097832,0.1332587242284038,0.1332587242284038,0.1332587242284038,4558973.165300907,4558973.165300907,4558973.165300907,21767.556864082588,21767.556864082588,21767.556864082588,21767.556864082588,4558973.165300907,21767.556864082588,4558973.165300907,21767.556864082588,4558973.165300907,4.337809687654347,0.9100149190669978,-0.0409514876620267,1820.029838133996,3.2600785080019543,11880.161354424408,4.074822339202437,6.658867035896623,190.59252363298103,2.2801058605802504,2488167.925893158,6.395879687444714,4.337809687654347,0.9100149190669978,-0.0409514876620267,1820.029838133996,3.2600785080019543,11880.161354424408,4.074822339202437,6.658867035896623,190.59252363298103,2.2801058605802504,2488167.925893158,6.395879687444714,4.337809687654347,0.9100149190669978,-0.0409514876620267,1820.029838133996,3.2600785080019543,11880.161354424408,4.074822339202437,6.658867035896623,190.59252363298103,2.2801058605802504,2488167.925893158,6.395879687444714,10777.5006142651,4.032518056278599,1.193191375601194,"Clarke County, Alabama",23866.0,8.0,0.0,0.0,0.0,8.0,66.0,14.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2904.0,6942.0,4554.0,1401.0,902.0,52.0,5870.0,9.0,9323.0,1439.0,620.0,558.0,588.0,747.0,444.0,379.0,310.0,428.0,529.0,931.0,777.0,520.0,299.0,493.0,261.0,37345.0,9241.0,8166.0,1075.0,34838.0,49000.0,28750.0,24613.0,58603.0,40071.0,21525.0,36365.0,64375.0,50139.0,32234.0,27421.0,45833.0,,10688.0,46178.0,40189.0,8750.0,20646.0,26054.0,33839.0,8166.0,346.0,63.0,768.0,1682.0,124.0,990.0,301.0,188.0,51.0,172.0,246.0,106.0,0.0,247.0,593.0,1164.0,64.0,345.0,427.0,289.0,12783.0,11085.0,85.0,129.0,0.0,47.0,140.0,23726.0,12471.0,47.74574708790749,1.678934693228413,41.255342327997994,28.731249476242354,4.5043157630101405,24.59565909662281,0.0021788318109444396,1.7160033436347992,-2.6617762926531823,1238.47,19.270551567660096,1.2848941453437255,4.377779636287982
14636,01033,colbert,01,AL,SERC,pwr,3.199871132639468,0.1332587242284038,0.1332587242284038,0.1332587242284038,70160.29418749304,70160.29418749304,70160.29418749304,334.9917049196355,334.9917049196355,334.9917049196355,334.9917049196355,70160.29418749304,334.9917049196355,70160.29418749304,334.9917049196355,70160.29418749304,2.5250340531495867,0.0061172291903077,-2.2134452477642,12.23445838061559,1.087584747899781,104.6891237283396,2.0199015646767178,4.846091401391864,1.2811857526659551,0.1076121004780771,21925.974915627343,4.340958912918995,2.5250340531495867,0.0061172291903077,-2.2134452477642,12.23445838061559,1.087584747899781,104.6891237283396,2.0199015646767178,4.846091401391864,1.2811857526659551,0.1076121004780771,21925.974915627343,4.340958912918995,2.5250340531495867,0.0061172291903077,-2.2134452477642,12.23445838061559,1.087584747899781,104.6891237283396,2.0199015646767178,4.846091401391864,1.2811857526659551,0.1076121004780771,21925.974915627343,4.340958912918995,94.97237130275664,1.97759728175288,-0.4638011938975376,"Colbert County, Alabama",54957.0,84.0,14.0,58.0,12.0,0.0,230.0,51.0,96.0,66.0,17.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,523.0,48.0,419.0,234.0,56.0,12.0,162.0,5590.0,14452.0,12247.0,4263.0,2525.0,773.0,8430.0,199.0,21797.0,1927.0,1302.0,1424.0,1331.0,928.0,1382.0,1015.0,1016.0,924.0,1756.0,2492.0,2763.0,1432.0,1033.0,757.0,315.0,47962.0,24542.0,23563.0,979.0,32389.0,53222.0,68734.0,39007.0,35261.0,36638.0,21737.0,45651.0,75108.0,22296.0,38917.0,35625.0,50064.0,,21936.0,41421.0,33422.0,23194.0,14768.0,35142.0,44436.0,23563.0,204.0,110.0,2049.0,4533.0,634.0,2581.0,817.0,660.0,266.0,591.0,221.0,542.0,35.0,757.0,1562.0,3527.0,290.0,1736.0,1483.0,965.0,44369.0,9375.0,736.0,477.0,77.0,1103.0,1591.0,53366.0,42876.0,21.982640973852284,1.3420798669532938,36.468511745546515,34.636170096620994,1.7813927252215367,15.339265243736012,0.014065542151136343,2.888179493918325,-1.8518435234554753,592.62,92.73564847625798,1.9672467132215519,4.7400230173738
14637,01039,covington,01,AL,SERC,pwr,729.2235793865092,0.1332587242284038,0.1332587242284038,0.1332587242284038,44326985.25417018,44326985.25417018,44326985.25417018,211646.3811363132,211646.3811363132,211646.3811363132,211646.3811363132,44326985.25417018,211646.3811363132,44326985.25417018,211646.3811363132,44326985.25417018,5.32561084703178,5.722337671992461,0.757573481703444,11444.675343984922,4.058603477367425,290.2352407671318,2.462750143944227,7.646668195274057,1198.4801074506618,3.078630829945721,60786.54956750324,4.783807492186504,5.32561084703178,5.722337671992461,0.757573481703444,11444.675343984922,4.058603477367425,290.2352407671318,2.462750143944227,7.646668195274057,1198.4801074506618,3.078630829945721,60786.54956750324,4.783807492186504,5.32561084703178,5.722337671992461,0.757573481703444,11444.675343984922,4.058603477367425,290.2352407671318,2.462750143944227,7.646668195274057,1198.4801074506618,3.078630829945721,60786.54956750324,4.783807492186504,263.2969698247582,2.420445861020389,-0.1067086897212173,"Covington County, Alabama",37096.0,98.0,46.0,49.0,0.0,3.0,60.0,38.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,66.0,34.0,56.0,0.0,98.0,3864.0,9823.0,8562.0,2455.0,1662.0,267.0,6425.0,66.0,14995.0,1444.0,1305.0,753.0,921.0,958.0,996.0,763.0,669.0,568.0,1223.0,1321.0,1756.0,807.0,544.0,638.0,329.0,42566.0,16122.0,14880.0,1242.0,32663.0,35441.0,74702.0,33454.0,32154.0,37266.0,26023.0,52311.0,59561.0,27429.0,39038.0,26047.0,41023.0,,20656.0,38821.0,34514.0,7404.0,11955.0,26369.0,30009.0,14880.0,542.0,289.0,1010.0,2059.0,499.0,1547.0,865.0,561.0,136.0,380.0,116.0,619.0,0.0,557.0,1260.0,1826.0,248.0,742.0,685.0,939.0,31887.0,4952.0,441.0,274.0,32.0,154.0,657.0,36439.0,30835.0,16.877830493853786,1.2273166208973685,36.896161311192586,34.1788872115592,3.3480698727625624,17.319926676730645,0.007197541513909856,2.4265112613645754,-2.1428158215231727,1030.46,35.99945655338392,1.5562959447215092,4.569327082887748
14638,01047,dallas,01,AL,SERC,pwr,5.0933832310966975,0.1332587242284038,0.1332587242284038,0.1332587242284038,11062240.133308424,11062240.133308424,11062240.133308424,52818.4598625586,52818.4598625586,52818.4598625586,52818.4598625586,11062240.133308424,52818.4598625586,11062240.133308424,52818.4598625586,11062240.133308424,4.722785733430088,1.3787120820297207,0.1394735814470108,2757.4241640594414,3.440503577110992,10370.014873431352,4.015779379286296,7.043843081672366,288.75594187701444,2.460530929689288,2171884.5080751018,6.336836727528573,4.722785733430088,1.3787120820297207,0.1394735814470108,2757.4241640594414,3.440503577110992,10370.014873431352,4.015779379286296,7.043843081672366,288.75594187701444,2.460530929689288,2171884.5080751018,6.336836727528573,4.722785733430088,1.3787120820297207,0.1394735814470108,2757.4241640594414,3.440503577110992,10370.014873431352,4.015779379286296,7.043843081672366,288.75594187701444,2.460530929689288,2171884.5080751018,6.336836727528573,9407.51883194936,3.9734750963624577,1.1455818779139473,"Dallas County, Alabama",38184.0,47.0,6.0,41.0,0.0,0.0,169.0,0.0,107.0,62.0,0.0,46.0,37.0,0.0,0.0,0.0,9.0,0.0,80.0,49.0,31.0,31.0,0.0,5.0,22.0,4111.0,9277.0,7960.0,2634.0,1629.0,291.0,10976.0,6.0,15409.0,2540.0,1141.0,1298.0,1051.0,912.0,1237.0,806.0,536.0,581.0,1182.0,1136.0,1269.0,802.0,460.0,307.0,151.0,33317.0,15559.0,13944.0,1615.0,29367.0,21613.0,120854.0,29293.0,31635.0,29780.0,18764.0,45179.0,44514.0,34967.0,34250.0,30134.0,46667.0,,19897.0,38727.0,27623.0,4375.0,11223.0,20660.0,39538.0,13944.0,204.0,54.0,791.0,3848.0,172.0,1405.0,634.0,93.0,177.0,561.0,99.0,300.0,20.0,837.0,1263.0,1557.0,40.0,596.0,660.0,633.0,10540.0,27375.0,188.0,269.0,16.0,1.0,108.0,38076.0,10334.0,72.93630840142468,1.86294377815156,35.06180599203855,32.01078985962707,4.229520217892311,28.745024093861304,0.007620993086109365,2.4638929889859074,-2.11798843237228,978.7,39.01501992438949,1.5912318330393331,4.5818814213581875
14639,01053,escambia,01,AL,SERC,pwr,4.475742488585108,0.1332587242284038,0.1332587242284038,0.1332587242284038,11136398.90465469,11136398.90465469,11136398.90465469,53172.54294524413,53172.54294524413,53172.54294524413,53172.54294524413,11136398.90465469,53172.54294524413,11136398.90465469,53172.54294524413,11136398.90465469,4.725687430686166,1.4469506624916764,0.1604537229829516,2893.901324983353,3.461483718646933,11880.161354424408,4.074822339202437,7.046744778928443,303.047755106528,2.481511071225229,2488167.925893158,6.395879687444714,4.725687430686166,1.4469506624916764,0.1604537229829516,2893.901324983353,3.461483718646933,11880.161354424408,4.074822339202437,7.046744778928443,303.047755106528,2.481511071225229,2488167.925893158,6.395879687444714,4.725687430686166,1.4469506624916764,0.1604537229829516,2893.901324983353,3.461483718646933,11880.161354424408,4.074822339202437,7.046744778928443,303.047755106528,2.481511071225229,2488167.925893158,6.395879687444714,10777.5006142651,4.032518056278599,1.193191375601194,"Escambia County, Alabama",36775.0,73.0,62.0,11.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,133.0,29.0,70.0,70.0,34.0,3.0,88.0,5050.0,11056.0,6384.0,2252.0,961.0,281.0,8036.0,21.0,12931.0,1975.0,960.0,788.0,859.0,990.0,810.0,757.0,631.0,586.0,1083.0,1112.0,996.0,553.0,316.0,340.0,175.0,35558.0,13948.0,12543.0,1405.0,30599.0,40940.0,77875.0,32461.0,34169.0,31857.0,22142.0,42155.0,48542.0,28897.0,40375.0,21908.0,31570.0,,25651.0,27163.0,34355.0,22399.0,15771.0,19496.0,41138.0,12543.0,278.0,67.0,809.0,1925.0,239.0,1803.0,356.0,213.0,95.0,220.0,81.0,374.0,24.0,303.0,775.0,1674.0,519.0,878.0,857.0,1053.0,23285.0,12002.0,1699.0,106.0,45.0,267.0,888.0,35887.0,22091.0,39.92929979605711,1.6012916944323814,43.79605710401088,26.096532970768184,3.820530251529572,21.85180149558124,0.007641060503059144,2.44870631990508,-2.116846361494488,945.08,38.91204977356414,1.59008410877601,4.565552681399568
14640,01055,etowah,01,AL,SERC,pwr,210.70832731634667,0.1332587242284038,0.1332587242284038,0.1332587242284038,3771499.496584408,3771499.496584408,3771499.496584408,18007.636100955493,18007.636100955493,18007.636100955493,18007.636100955493,3771499.496584408,18007.636100955493,3771499.496584408,18007.636100955493,3771499.496584408,4.255456705840541,0.1756825406674617,-0.7552713965498995,351.36508133492345,2.5457585991140816,85.46238456878713,1.9317750063213148,6.576514054082819,36.79475806659845,1.5657859516923778,17899.14781546375,4.252832354563592,4.255456705840541,0.1756825406674617,-0.7552713965498995,351.36508133492345,2.5457585991140816,85.46238456878713,1.9317750063213148,6.576514054082819,36.79475806659845,1.5657859516923778,17899.14781546375,4.252832354563592,4.255456705840541,0.1756825406674617,-0.7552713965498995,351.36508133492345,2.5457585991140816,85.46238456878713,1.9317750063213148,6.576514054082819,36.79475806659845,1.5657859516923778,17899.14781546375,4.252832354563592,77.53016770631977,1.889470723397477,-0.5348623531308431,"Etowah County, Alabama",102721.0,136.0,35.0,77.0,9.0,15.0,752.0,159.0,214.0,322.0,57.0,305.0,0.0,104.0,57.0,0.0,144.0,0.0,1477.0,182.0,1237.0,664.0,58.0,138.0,439.0,10591.0,24104.0,24718.0,7764.0,5011.0,2298.0,16199.0,786.0,38765.0,3092.0,2385.0,2595.0,2423.0,2289.0,2528.0,2080.0,2011.0,1773.0,3103.0,3409.0,4470.0,2839.0,1624.0,1329.0,815.0,44934.0,45603.0,43002.0,2601.0,30884.0,21971.0,6681.0,27481.0,37868.0,43173.0,23668.0,51559.0,63935.0,48889.0,46125.0,30385.0,37865.0,,23079.0,36753.0,31121.0,16050.0,11397.0,25670.0,40796.0,43002.0,189.0,39.0,2970.0,7502.0,938.0,5492.0,1569.0,427.0,576.0,905.0,398.0,1107.0,39.0,1274.0,3302.0,7036.0,537.0,3813.0,2760.0,2129.0,83462.0,17344.0,1291.0,991.0,3.0,2024.0,4187.0,98534.0,79697.0,22.414112012149413,1.350521537943609,33.77595623095569,36.49983937072264,2.532101517703293,15.769900993954497,0.02237127753818596,3.3613500243522663,-1.6503092142966544,534.99,192.00545804594478,2.2833135743574267,5.011659238648921
14641,01063,greene,01,AL,SERC,pwr,23.512276229942827,0.1332587242284038,0.1332587242284038,0.1332587242284038,30669845.831804037,30669845.831804037,30669845.831804037,146438.1537135844,146438.1537135844,146438.1537135844,146438.1537135844,30669845.831804037,146438.1537135844,30669845.831804037,146438.1537135844,30669845.831804037,5.165654244676463,17.786730683054103,1.2500961292649424,35573.461366108204,4.551126124928923,6228.15725204418,3.794359569347735,7.48671159291874,3725.2333088551,3.57115347750722,1304418.4038951558,6.115416917590012,5.165654244676463,17.786730683054103,1.2500961292649424,35573.461366108204,4.551126124928923,6228.15725204418,3.794359569347735,7.48671159291874,3725.2333088551,3.57115347750722,1304418.4038951558,6.115416917590012,5.165654244676463,17.786730683054103,1.2500961292649424,35573.461366108204,4.551126124928923,6228.15725204418,3.794359569347735,7.48671159291874,3725.2333088551,3.57115347750722,1304418.4038951558,6.115416917590012,5650.088968248523,3.752055286423897,0.967039238043709,"Greene County, Alabama",8221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,56.0,14.0,41.0,41.0,1.0,0.0,0.0,1100.0,2301.0,1783.0,332.0,252.0,65.0,2961.0,21.0,3178.0,604.0,307.0,362.0,208.0,302.0,218.0,123.0,92.0,158.0,233.0,128.0,226.0,118.0,10.0,55.0,34.0,26688.0,2749.0,2401.0,348.0,25930.0,13750.0,,6542.0,22158.0,,14155.0,57841.0,,,36598.0,,51250.0,,24485.0,17052.0,21417.0,,23000.0,,32065.0,2401.0,59.0,0.0,114.0,640.0,3.0,176.0,27.0,32.0,16.0,148.0,28.0,49.0,0.0,77.0,185.0,323.0,45.0,106.0,15.0,358.0,1655.0,6685.0,234.0,29.0,0.0,39.0,221.0,8000.0,1418.0,82.75149008636419,1.917775822755419,41.36966305802214,28.792117747232698,4.233061671329522,36.01751611726067,0.007906580707943072,1.8129133566428555,-2.102011291562293,647.11,12.704177033271005,1.1039465370380757,3.9149246482051483
