,FIPS,County,FIPSTATE,State,NERC,scope,tonCO2e,rho_eff_min,rho_eff_max,rho_eff_avg,burden_min,burden_max,burden_avg,tonCO2e_eff_min,tonCO2e_eff_max,tonCO2e_eff_avg,tonCO2e_eff_min_emp,burden_min_emp,tonCO2e_eff_max_emp,burden_max_emp,tonCO2e_eff_avg_emp,burden_avg_emp,tonCO2e_eff_min_log10,tonCO2e_eff_percapita_min,tonCO2e_eff_percapita_min_log10,lbCO2e_eff_percapita_min,lbCO2e_eff_percapita_min_log10,tonCO2e_eff_peremp_min,tonCO2e_eff_peremp_min_log10,burden_min_log10,burden_percapita_min,burden_percapita_min_log10,burden_peremp_min,burden_peremp_min_log10,tonCO2e_eff_max_log10,tonCO2e_eff_percapita_max,tonCO2e_eff_percapita_max_log10,lbCO2e_eff_percapita_max,lbCO2e_eff_percapita_max_log10,tonCO2e_eff_peremp_max,tonCO2e_eff_peremp_max_log10,burden_max_log10,burden_percapita_max,burden_percapita_max_log10,burden_peremp_max,burden_peremp_max_log10,tonCO2e_eff_avg_log10,tonCO2e_eff_percapita_avg,tonCO2e_eff_percapita_avg_log10,lbCO2e_eff_percapita_avg,lbCO2e_eff_percapita_avg_log10,tonCO2e_eff_peremp_avg,tonCO2e_eff_peremp_avg_log10,burden_avg_log10,burden_percapita_avg,burden_percapita_avg_log10,burden_peremp_avg,burden_peremp_avg_log10,Emp,tonneCO2e_eff_peremp_avg,tonneCO2e_eff_peremp_avg_log10,ECF_std_dev,NAME,POP,MIG_EU,MIG_EU_N,MIG_EU_W,MIG_EU_S,MIG_EU_E,MIG_AS,MIG_AS_E,MIG_AS_SC,MIG_AS_SE,MIG_AS_W,MIG_AFR,MIG_AFR_E,MIG_AFR_M,MIG_AFR_N,MIG_AFR_S,MIG_AFR_W,MIG_OC,MIG_LA,MIG_LA_CAR,MIG_LA_CAM,MIG_LA_CAM_MX,MIG_LA_SAM,MIG_NA,MIG_WHITE_NOLATIN,ED_LESSHS,ED_HS,ED_SOMECOLLEGE,ED_BACH,ED_GRAD,MIG_TOT,POV_TOT,POV_MIG,HH_INC_TOT,HH_INC_BELOW_10000,HH_INC_10000_TO_14999,HH_INC_15000_TO_19999,HH_INC_20000_TO_24999,HH_INC_25000_TO_29999,HH_INC_30000_TO_34999,HH_INC_35000_TO_39999,HH_INC_40000_TO_44999,HH_INC_45000_TO_49999,HH_INC_50000_TO_59999,HH_INC_60000_TO_74999,HH_INC_75000_TO_99999,HH_INC_100000_TO_124999,HH_INC_125000_TO_149999,HH_INC_150000_TO_199999,HH_INC_ABOVE_200000,HH_INC_MEDIAN,LBR,EMP,UNEMP,INC_IND_TOT,INC_IND_AG,INC_IND_MN,INC_IND_CN,INC_IND_MF,INC_IND_WHOLESALE,INC_IND_RETAIL,INC_IND_TRANSPORT,INC_IND_UTILITIES,INC_IND_IT,INC_IND_FINANCE,INC_IND_REALESTATE,INC_IND_PROFSERVICES,INC_IND_MNGMNT,INC_IND_ADMIN,INC_IND_ED,INC_IND_HEALTH,INC_IND_ART,INC_IND_ACCOM,INC_IND_OTHER,INC_IND_PUBLIC,EMP_IND_TOT,EMP_IND_AG,EMP_IND_MN,EMP_IND_CN,EMP_IND_MF,EMP_IND_WHOLESALE,EMP_IND_RETAIL,EMP_IND_TRANSPORT,EMP_IND_UTILITIES,EMP_IND_IT,EMP_IND_FINANCE,EMP_IND_REALESTATE,EMP_IND_PROFSERVICES,EMP_IND_MNGMNT,EMP_IND_ADMIN,EMP_IND_ED,EMP_IND_HEALTH,EMP_IND_ART,EMP_IND_ACCOM,EMP_IND_OTHER,EMP_IND_PUBLIC,RACE_WHITE,RACE_BLACK,RACE_NATAMERICAN,RACE_ASIAN,RACE_HAWAII_PACISLAND,RACE_OTHER,ETHN_LATIN,ETHN_NOLATIN,RACE_NOLATIN_WHITE,RACE_PERCENT_MINORITY,RACE_PERCENT_MINORITY_log10,ED_PERCENT_HSORLESS,ED_PERCENT_TERTIARY,UNEMP_RATE,POV_RATE,MIG_PERCENT,MIG_TOT_log10,MIG_PERCENT_log10,land_area_sq_mi,pop_per_sqmi,pop_per_sqmi_log10,POP_log10
0,01003,baldwin,01,AL,SERC,scope3,1661393.3016104351,0.0583736411562728,0.0583736411562728,0.0583736411562728,20311714.683082677,20311714.683082677,20311714.683082677,96981.57640764287,96981.57640764287,96981.57640764287,0.0,0.0,0.0,0.0,0.0,0.0,4.986689239168826,0.4448247259801436,-0.3518110801079236,889.6494519602873,2.9492189155560578,1.3388079778798347,0.1267182916293206,7.307746587411104,93.1636013020827,1.9692462681343537,280.3984701983769,2.447775639871598,4.986689239168826,0.4448247259801436,-0.3518110801079236,889.6494519602873,2.9492189155560578,1.3388079778798347,0.1267182916293206,7.307746587411104,93.1636013020827,1.9692462681343537,280.3984701983769,2.447775639871598,4.986689239168826,0.4448247259801436,-0.3518110801079236,889.6494519602873,2.9492189155560578,1.3388079778798347,0.1267182916293206,7.307746587411104,93.1636013020827,1.9692462681343537,280.3984701983769,2.447775639871598,72438.75,1.2145461137705245,0.0844140087054827,-0.198018556969494,"Baldwin County, Alabama",218289,1702,379,680,74,569,1385,764,309,293,19,285,204,0,9,72,0,41,3760,239,2630,1742,891,296,2498,14823,42272,48832,31444,18192,6506,19739,796,84047,4352,4011,2930,3506,3935,4450,3789,4314,3655,6148,7970,11536,7621,5375,4893,5562,61756.0,102795,98768,4027,37574,34522.0,67904.0,38213.0,54920.0,53673.0,25622.0,50526.0,63370.0,48283.0,47768.0,33969.0,56699.0,,31257.0,41786.0,44789.0,15957.0,15909.0,22819.0,51226.0,98768,1453,323,7922,9608,2700,13434,3885,1200,1090,4170,3334,5764,27,4782,7312,11744,2112,7681,4970,5257,191923,20377,3347,3120,570,4928,9947,208342,180955,17.103014810640936,1.2330726718085074,26.15569268263632,45.109006867043234,1.8448020743143265,9.042599489667367,0.02980452519366528,3.813314058945835,-1.5257177923855398,1589.78,137.30767779189574,2.137694822228939,5.339031851331375
1,01007,bibb,01,AL,SERC,scope3,20497.68154,0.0581710945473684,0.0581710945473684,0.0581710945473684,249729.19963217707,249729.19963217707,249729.19963217707,1192.3725708651884,1192.3725708651884,1192.3725708651884,0.0,0.0,0.0,0.0,0.0,0.0,3.076411977039472,0.0532309183421959,-1.2738360412946914,106.46183668439184,2.02719395436929,0.2899386190553649,-0.5376939339185592,5.397469325281748,11.148624983579332,1.047221306947586,60.72442544247467,1.783363414323718,3.076411977039472,0.0532309183421959,-1.2738360412946914,106.46183668439184,2.02719395436929,0.2899386190553649,-0.5376939339185592,5.397469325281748,11.148624983579332,1.047221306947586,60.72442544247467,1.783363414323718,3.076411977039472,0.0532309183421959,-1.2738360412946914,106.46183668439184,2.02719395436929,0.2899386190553649,-0.5376939339185592,5.397469325281748,11.148624983579332,1.047221306947586,60.72442544247467,1.783363414323718,4112.5,0.2630278791461555,-0.5799982168423972,-0.659416416789776,"Bibb County, Alabama",22374,17,0,17,0,0,66,0,66,0,0,0,0,0,0,0,0,0,271,19,249,18,3,0,27,3056,7206,3911,1183,631,274,3755,17,7259,799,512,382,382,377,283,217,322,277,628,778,1129,600,212,204,157,51721.0,8970,8303,667,33844,17656.0,53528.0,44340.0,40380.0,93503.0,18835.0,49022.0,70000.0,7038.0,18389.0,42614.0,44583.0,,27292.0,42917.0,28723.0,17375.0,16976.0,26934.0,50657.0,8303,235,157,781,1211,260,898,472,44,119,341,75,231,0,353,629,1233,19,253,515,477,17243,5079,90,67,0,9,600,21774,16650,25.58326629123089,1.407955991342788,45.865737016179494,25.587735764726915,2.9811388218467862,16.782872977563244,0.012246357379100741,2.437750562820388,-1.911993070924563,622.58,35.93755019435253,1.555548468617778,4.349743633744951
2,01023,choctaw,01,AL,SERC,scope3,77320.33674411496,0.0859425985717457,0.0859425985717457,0.0859425985717457,1391744.6674760731,1391744.6674760731,1391744.6674760731,6645.110662231673,6645.110662231673,6645.110662231673,0.0,0.0,0.0,0.0,0.0,0.0,3.822502217723656,0.5174916799495112,-0.2860966282499111,1034.9833598990224,3.01493336741407,1.8314919485238537,0.2628050137898908,6.143559565965933,108.38288820777768,2.034960719992366,383.58565905769257,2.583862362032168,3.822502217723656,0.5174916799495112,-0.2860966282499111,1034.9833598990224,3.01493336741407,1.8314919485238537,0.2628050137898908,6.143559565965933,108.38288820777768,2.034960719992366,383.58565905769257,2.583862362032168,3.822502217723656,0.5174916799495112,-0.2860966282499111,1034.9833598990224,3.01493336741407,1.8314919485238537,0.2628050137898908,6.143559565965933,108.38288820777768,2.034960719992366,383.58565905769257,2.583862362032168,3628.25,1.6615014738740277,0.2205007308660529,-0.1035137902893398,"Choctaw County, Alabama",12755,0,0,0,0,0,26,1,4,21,0,0,0,0,0,0,0,0,28,0,11,11,17,59,76,1603,3346,3062,761,491,113,2473,0,5330,474,467,398,458,439,244,419,228,175,241,343,608,480,74,236,46,36634.0,4733,4427,306,33859,46141.0,137361.0,55455.0,50266.0,60050.0,20114.0,38438.0,37781.0,31111.0,27794.0,34219.0,26771.0,,29828.0,31513.0,27083.0,,10818.0,24625.0,30170.0,4427,286,88,336,738,103,652,93,107,34,118,19,41,0,118,481,596,7,264,173,173,7294,5422,29,60,0,11,69,12686,7200,43.5515484123873,1.6390036003310775,38.800470403763235,33.82203057624461,2.3990591924735396,19.38847510780086,0.008859270874166993,2.0530784434834195,-2.0526020194623893,913.5,13.962780514504653,1.1449719112572523,4.105680462945809
3,01025,clarke,01,AL,SERC,scope3,46162.59538670608,0.0866941037088892,0.0866941037088892,0.0866941037088892,838179.6785713893,838179.6785713893,838179.6785713893,4002.024831926587,4002.024831926587,4002.024831926587,0.0,0.0,0.0,0.0,0.0,0.0,3.6022797790366328,0.1673087304317135,-0.7764813962797403,334.617460863427,2.5245485993842407,0.5143660217115336,-0.2887277280126333,5.92333712727891,35.040956462014606,1.544575951962537,107.72825378463972,2.032329620229644,3.6022797790366328,0.1673087304317135,-0.7764813962797403,334.617460863427,2.5245485993842407,0.5143660217115336,-0.2887277280126333,5.92333712727891,35.040956462014606,1.544575951962537,107.72825378463972,2.032329620229644,3.6022797790366328,0.1673087304317135,-0.7764813962797403,334.617460863427,2.5245485993842407,0.5143660217115336,-0.2887277280126333,5.92333712727891,35.040956462014606,1.544575951962537,107.72825378463972,2.032329620229644,7780.5,0.466624985096571,-0.3310320109364712,-0.4865230380175159,"Clarke County, Alabama",23866,8,0,0,0,8,66,14,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2904,6942,4554,1401,902,52,5870,9,9323,1439,620,558,588,747,444,379,310,428,529,931,777,520,299,493,261,37345.0,9241,8166,1075,34838,49000.0,28750.0,24613.0,58603.0,40071.0,21525.0,36365.0,64375.0,50139.0,32234.0,27421.0,45833.0,,10688.0,46178.0,40189.0,8750.0,20646.0,26054.0,33839.0,8166,346,63,768,1682,124,990,301,188,51,172,246,106,0,247,593,1164,64,345,427,289,12783,11085,85,129,0,47,140,23726,12471,47.74574708790749,1.678934693228413,41.255342327997994,28.731249476242354,4.5043157630101405,24.59565909662281,0.0021788318109444396,1.7160033436347992,-2.6617762926531823,1238.47,19.270551567660096,1.2848941453437255,4.377779636287982
4,01035,conecuh,01,AL,SERC,scope3,1514893.1499617412,0.0789815992826565,0.0789815992826565,0.0789815992826565,25059088.70608828,25059088.70608828,25059088.70608828,119648.68372631964,119648.68372631964,119648.68372631964,0.0,0.0,0.0,0.0,0.0,0.0,5.077907925234952,9.745759039367892,0.9888156693922324,19491.518078735782,4.289845665056213,38.373535511969095,1.5840318143821288,7.398965273477229,2041.141052870268,3.309873017634509,8036.911066737743,3.905089162624406,5.077907925234952,9.745759039367892,0.9888156693922324,19491.518078735782,4.289845665056213,38.373535511969095,1.5840318143821288,7.398965273477229,2041.141052870268,3.309873017634509,8036.911066737743,3.905089162624406,5.077907925234952,9.745759039367892,0.9888156693922324,19491.518078735782,4.289845665056213,38.373535511969095,1.5840318143821288,7.398965273477229,2041.141052870268,3.309873017634509,8036.911066737743,3.905089162624406,3118.0,34.811884301365026,1.541727531458291,0.8140057776682885,"Conecuh County, Alabama",12219,35,35,0,0,0,72,10,0,62,0,0,0,0,0,0,0,0,20,3,0,0,17,0,62,1328,4125,2152,727,494,127,2016,25,4585,416,432,243,235,370,567,279,230,248,268,354,458,309,10,72,94,35444.0,4311,3972,339,30000,40313.0,,25893.0,36386.0,43535.0,13727.0,47738.0,33750.0,22432.0,21343.0,26983.0,22379.0,,31964.0,58464.0,33607.0,,6875.0,21581.0,30859.0,3972,143,0,261,905,119,595,222,78,72,183,46,143,0,27,314,260,0,230,123,251,6257,5875,39,129,0,0,59,12160,6117,49.93862018168426,1.698436538500728,44.627219903429086,27.604550290531137,2.774367787871348,16.498895163270316,0.010393649234798265,2.103803720955957,-1.9832319438497032,850.16,14.372588689187918,1.1575349972349425,4.0870356648056605
5,01039,covington,01,AL,SERC,scope3,3818.301354335609,0.0867872949664213,0.0867872949664213,0.0867872949664213,69403.87229721647,69403.87229721647,69403.87229721647,331.3800459094107,331.3800459094107,331.3800459094107,0.0,0.0,0.0,0.0,0.0,0.0,2.5203263537745078,0.0089596075787976,-2.0477110115538286,17.919215157595342,1.2533189841101526,0.0268601224672767,-1.5708920115205691,4.841383702016785,1.876490355735048,0.2733463366884489,5.625554503411738,0.7501653367217078,2.5203263537745078,0.0089596075787976,-2.0477110115538286,17.919215157595342,1.2533189841101526,0.0268601224672767,-1.5708920115205691,4.841383702016785,1.876490355735048,0.2733463366884489,5.625554503411738,0.7501653367217078,2.5203263537745078,0.0089596075787976,-2.0477110115538286,17.919215157595342,1.2533189841101526,0.0268601224672767,-1.5708920115205691,4.841383702016785,1.876490355735048,0.2733463366884489,5.625554503411738,0.7501653367217078,12337.25,0.0243670921424397,-1.6131962944444074,-1.3769158297226032,"Covington County, Alabama",37096,98,46,49,0,3,60,38,17,5,0,0,0,0,0,0,0,0,122,0,66,34,56,0,98,3864,9823,8562,2455,1662,267,6425,66,14995,1444,1305,753,921,958,996,763,669,568,1223,1321,1756,807,544,638,329,42566.0,16122,14880,1242,32663,35441.0,74702.0,33454.0,32154.0,37266.0,26023.0,52311.0,59561.0,27429.0,39038.0,26047.0,41023.0,,20656.0,38821.0,34514.0,7404.0,11955.0,26369.0,30009.0,14880,542,289,1010,2059,499,1547,865,561,136,380,116,619,0,557,1260,1826,248,742,685,939,31887,4952,441,274,32,154,657,36439,30835,16.877830493853786,1.2273166208973685,36.896161311192586,34.1788872115592,3.3480698727625624,17.319926676730645,0.007197541513909856,2.4265112613645754,-2.1428158215231727,1030.46,35.99945655338392,1.5562959447215092,4.569327082887748
6,01049,dekalb,01,AL,SERC,scope3,46057.36525650001,0.0211796107447504,0.0211796107447504,0.0211796107447504,204302.84411001796,204302.84411001796,204302.84411001796,975.477068061463,975.477068061463,975.477068061463,975.477068061463,204302.84411001796,975.477068061463,204302.84411001796,975.477068061463,204302.84411001796,2.989217064267258,0.0136650146117736,-1.86438989958718,27.330029223547328,1.436640096076801,0.0448727304036093,-1.348017503831232,5.310274412509536,2.861985628773803,0.4566674486550973,9.3980952957285,0.9730398444110456,2.989217064267258,0.0136650146117736,-1.86438989958718,27.330029223547328,1.436640096076801,0.0448727304036093,-1.348017503831232,5.310274412509536,2.861985628773803,0.4566674486550973,9.3980952957285,0.9730398444110456,2.989217064267258,0.0136650146117736,-1.86438989958718,27.330029223547328,1.436640096076801,0.0448727304036093,-1.348017503831232,5.310274412509536,2.861985628773803,0.4566674486550973,9.3980952957285,0.9730398444110456,21738.75,0.0407078544693792,-1.3903217867550697,-1.2221417047107377,"DeKalb County, Alabama",71430,83,31,52,0,0,80,6,34,23,17,5,0,0,0,5,0,36,4878,0,4878,3011,0,42,168,10615,15809,15129,4166,2587,4091,14596,2159,26365,2122,1740,1934,1635,2066,1477,1483,1455,1052,2426,2543,2807,1721,732,599,573,42267.0,31594,30188,1406,29923,25974.0,,28583.0,33836.0,37199.0,21685.0,41654.0,50777.0,45316.0,27321.0,38875.0,31643.0,,31466.0,45192.0,25620.0,6900.0,10203.0,23676.0,32711.0,30188,845,6,2175,8261,684,3260,1421,505,616,1015,273,646,9,818,1855,3718,158,1318,1580,1025,62986,1484,1933,177,92,7363,10530,60900,57324,19.748005039899198,1.2955232293840406,36.99286014279715,30.634187316253676,1.9683606327873444,20.433991320173597,0.05727285454290914,3.6118294794983736,-1.2420511706261685,777.09,91.91985484306836,1.9634093298566409,4.853880650124542
7,01053,escambia,01,AL,SERC,scope3,857523.372528868,0.0703370532316517,0.0703370532316517,0.0703370532316517,12632446.970388845,12632446.970388845,12632446.970388845,60315.667100948514,60315.667100948514,60315.667100948514,0.0,0.0,0.0,0.0,0.0,0.0,4.780430135551756,1.6413319663913275,0.2151964278485415,3282.663932782656,3.516226423512523,4.912199295608145,0.6912759784969277,7.101487483794033,343.7587615758366,2.5362537760908186,1028.8056170529446,3.012333326739205,4.780430135551756,1.6413319663913275,0.2151964278485415,3282.663932782656,3.516226423512523,4.912199295608145,0.6912759784969277,7.101487483794033,343.7587615758366,2.5362537760908186,1028.8056170529446,3.012333326739205,4.780430135551756,1.6413319663913275,0.2151964278485415,3282.663932782656,3.516226423512523,4.912199295608145,0.6912759784969277,7.101487483794033,343.7587615758366,2.5362537760908186,1028.8056170529446,3.012333326739205,12278.75,4.456272044326487,0.6489716955730899,0.1940358009270724,"Escambia County, Alabama",36775,73,62,11,0,0,90,90,0,0,0,9,9,0,0,0,0,0,133,29,70,70,34,3,88,5050,11056,6384,2252,961,281,8036,21,12931,1975,960,788,859,990,810,757,631,586,1083,1112,996,553,316,340,175,35558.0,13948,12543,1405,30599,40940.0,77875.0,32461.0,34169.0,31857.0,22142.0,42155.0,48542.0,28897.0,40375.0,21908.0,31570.0,,25651.0,27163.0,34355.0,22399.0,15771.0,19496.0,41138.0,12543,278,67,809,1925,239,1803,356,213,95,220,81,374,24,303,775,1674,519,878,857,1053,23285,12002,1699,106,45,267,888,35887,22091,39.92929979605711,1.6012916944323814,43.79605710401088,26.096532970768184,3.820530251529572,21.85180149558124,0.007641060503059144,2.44870631990508,-2.116846361494488,945.08,38.91204977356414,1.59008410877601,4.565552681399568
8,01057,fayette,01,AL,SERC,scope3,53977.00689270758,0.0673273422744072,0.0673273422744072,0.0673273422744072,761127.8583274591,761127.8583274591,761127.8583274591,3634.128418013365,3634.128418013365,3634.128418013365,0.0,0.0,0.0,0.0,0.0,0.0,3.560400269765957,0.2211482028852531,-0.6553165854835662,442.2964057705062,2.645713410180415,1.0019653757963507,0.0008527141855229,5.881457618008234,46.31703634926423,1.665740762758711,209.8505261448743,2.3219100624278,3.560400269765957,0.2211482028852531,-0.6553165854835662,442.2964057705062,2.645713410180415,1.0019653757963507,0.0008527141855229,5.881457618008234,46.31703634926423,1.665740762758711,209.8505261448743,2.3219100624278,3.560400269765957,0.2211482028852531,-0.6553165854835662,442.2964057705062,2.645713410180415,1.0019653757963507,0.0008527141855229,5.881457618008234,46.31703634926423,1.665740762758711,209.8505261448743,2.3219100624278,3627.0,0.9089676588521995,-0.0414515687383148,-0.2854252990861428,"Fayette County, Alabama",16406,9,0,9,0,0,110,34,32,44,0,0,0,0,0,0,0,0,29,0,29,19,0,16,26,1829,4934,3387,1055,367,126,3345,22,6805,600,627,472,512,504,315,282,188,334,591,541,1053,376,151,147,112,41469.0,6978,6423,555,33400,40300.0,60536.0,34087.0,43258.0,39821.0,22250.0,51071.0,32326.0,46607.0,35700.0,64219.0,22273.0,,18929.0,42500.0,27648.0,20278.0,9821.0,16528.0,37063.0,6423,60,45,273,1682,167,1015,332,71,129,164,49,76,0,182,496,983,32,222,298,147,14252,2278,136,132,4,10,89,16317,13821,15.75643057418018,1.1974578402150091,41.22272339388029,29.312446665853958,3.382908691941972,20.388882116298916,0.007680117030354748,2.100370545117563,-2.1146321620973896,627.66,26.138355160437182,1.4172782547356697,4.2150027072149525
9,01073,jefferson,01,AL,SERC,scope3,22005637.0631771,0.022201873545223,0.022201873545223,0.022201873545223,102324803.39436404,102324803.39436404,102324803.39436404,488566.3713587305,488566.3713587305,488566.3713587305,488566.3713587305,102324803.39436404,488566.3713587305,102324803.39436404,488566.3713587305,102324803.39436404,5.688923570627682,0.7410380272390876,-0.1301595051160204,1482.0760544781754,3.1708704905479608,1.3330160304675711,0.1248353721458526,8.00998091886996,155.20218928312457,2.190897843126257,279.18541110349463,2.4458927203881298,5.688923570627682,0.7410380272390876,-0.1301595051160204,1482.0760544781754,3.1708704905479608,1.3330160304675711,0.1248353721458526,8.00998091886996,155.20218928312457,2.190897843126257,279.18541110349463,2.4458927203881298,5.688923570627682,0.7410380272390876,-0.1301595051160204,1482.0760544781754,3.1708704905479608,1.3330160304675711,0.1248353721458526,8.00998091886996,155.20218928312457,2.190897843126257,279.18541110349463,2.4458927203881298,366512.0,1.2092917476949143,0.0825310892220147,-0.1993261413071688,"Jefferson County, Alabama",658615,2146,642,584,219,693,8774,2481,3675,1622,891,1817,975,41,58,91,539,242,11939,479,10269,8147,1191,423,3585,42690,118507,135630,94241,59011,20623,100865,4332,263801,22217,12800,12538,13101,12895,13745,11639,11505,10240,20282,25476,30018,21299,14190,14336,17520,55088.0,322243,302092,20151,38138,18182.0,69236.0,37389.0,43090.0,51965.0,23968.0,42606.0,74835.0,55282.0,54361.0,39911.0,67132.0,59300.0,24974.0,44994.0,38906.0,20022.0,15048.0,28584.0,51425.0,302092,704,1102,15918,27259,8229,32835,12282,4890,6518,21157,5237,18961,518,12575,26970,50659,5220,21982,16071,13005,350573,289399,5110,14185,498,14775,25757,632858,326618,50.40835693083212,1.702502541764625,24.47514860730472,43.86204383441009,3.059602347350121,15.314713451713063,0.03131267887916309,4.314351841775663,-1.50427977579829,1111.28,592.6634151608955,2.7728081192684897,5.818631617573953
