OID_,AFFGEOID_Tract_2020,fipstate_2020,fipcounty_2020,geoid_county_2020,fiptract_2020,geoid_tract_2020,State_Name,County_Name,CensusTract_Name,Mine_Closure,Generator_Closure,Adjacent_to_Closure,Tract_Status,date_last_update,dataset_version,record_added,Shape_Length,Shape_Area
18,1400000US01003010100,01,003,01003,010100,01003010100,Alabama,Baldwin County,Census Tract 101,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,1.700086337808631,0.095410394184001
71,1400000US01007010001,01,007,01007,010001,01007010001,Alabama,Bibb County,Census Tract 100.01,Yes,No,Yes,is an energy community due to a coal mine closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.885809776964697,0.022620935178500
72,1400000US01007010005,01,007,01007,010005,01007010005,Alabama,Bibb County,Census Tract 100.05,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.424830675717413,0.006187663448500
73,1400000US01007010006,01,007,01007,010006,01007010006,Alabama,Bibb County,Census Tract 100.06,Yes,No,Yes,is an energy community due to a coal mine closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.518316511961941,0.011415149619000
74,1400000US01007010007,01,007,01007,010007,01007010007,Alabama,Bibb County,Census Tract 100.07,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,1.197363313699086,0.037826898489498
75,1400000US01007010008,01,007,01007,010008,01007010008,Alabama,Bibb County,Census Tract 100.08,Yes,No,Yes,is an energy community due to a coal mine closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,1.105164698680371,0.029278788376500
76,1400000US01007010009,01,007,01007,010009,01007010009,Alabama,Bibb County,Census Tract 100.09,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.526762534348111,0.006549820258000
77,1400000US01007010010,01,007,01007,010010,01007010010,Alabama,Bibb County,Census Tract 100.10,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.399576269189647,0.005247011325000
78,1400000US01007010011,01,007,01007,010011,01007010011,Alabama,Bibb County,Census Tract 100.11,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.955372288705470,0.037346164028000
80,1400000US01009050104,01,009,01009,050104,01009050104,Alabama,Blount County,Census Tract 501.04,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.597107563485727,0.007514530832500
84,1400000US01009050200,01,009,01009,050200,01009050200,Alabama,Blount County,Census Tract 502,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.867775195315935,0.011425407754000
89,1400000US01009050502,01,009,01009,050502,01009050502,Alabama,Blount County,Census Tract 505.02,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.659858609140877,0.011019595706500
90,1400000US01009050601,01,009,01009,050601,01009050601,Alabama,Blount County,Census Tract 506.01,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.493814777502725,0.008184218684500
91,1400000US01009050603,01,009,01009,050603,01009050603,Alabama,Blount County,Census Tract 506.03,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.514143772515580,0.005434426982500
93,1400000US01009050701,01,009,01009,050701,01009050701,Alabama,Blount County,Census Tract 507.01,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.558967553574763,0.011523415357499
94,1400000US01009050702,01,009,01009,050702,01009050702,Alabama,Blount County,Census Tract 507.02,Yes,No,No,is an energy community due to a coal mine closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.637433858223182,0.008416999562000
155,1400000US01019955701,01,019,01019,955701,01019955701,Alabama,Cherokee County,Census Tract 9557.01,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.840374550979137,0.013336014722000
161,1400000US01019956101,01,019,01019,956101,01019956101,Alabama,Cherokee County,Census Tract 9561.01,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.851496187699921,0.020573617468000
170,1400000US01021060404,01,021,01021,060404,01021060404,Alabama,Chilton County,Census Tract 604.04,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.553755371300628,0.015911609455000
185,1400000US01025957901,01,025,01025,957901,01025957901,Alabama,Clarke County,Census Tract 9579.01,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.969314870962426,0.036045254080998
186,1400000US01025957902,01,025,01025,957902,01025957902,Alabama,Clarke County,Census Tract 9579.02,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.655994349651907,0.010475888026000
187,1400000US01025958003,01,025,01025,958003,01025958003,Alabama,Clarke County,Census Tract 9580.03,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,2.245937811245984,0.057560005099501
216,1400000US01033020500,01,033,01033,020500,01033020500,Alabama,Colbert County,Census Tract 205,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.274363741441099,0.002383810501000
217,1400000US01033020600,01,033,01033,020600,01033020600,Alabama,Colbert County,Census Tract 206,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.152321240974227,0.000972790032000
224,1400000US01033020901,01,033,01033,020901,01033020901,Alabama,Colbert County,Census Tract 209.01,No,No,Yes,is an energy community because it directly adjoins a census tract with a qualifying coal closure,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.571926986108179,0.013127843202499
225,1400000US01033020902,01,033,01033,020902,01033020902,Alabama,Colbert County,Census Tract 209.02,No,Yes,No,is an energy community due to a coal-fired electric generating unit retirement,5/23/2023 0:00:00,2.000000000000000,3/28/2023 0:00:00,0.779275726468040,0.026231769147000
