,FIPS,MSA,unemp_qual_status_21,ffe_qual_status_21,ec_ffe_status_21,unemp_qual_status_22,ffe_qual_status_22,ec_ffe_status_22
0,01001,33860,0.0,0.0,0.0,0.0,0.0,0.0
1,01003,19300,0.0,0.0,0.0,0.0,0.0,0.0
2,01005,100004,0.0,0.0,0.0,0.0,0.0,0.0
3,01007,13820,0.0,1.0,0.0,0.0,1.0,0.0
4,01009,13820,0.0,1.0,0.0,0.0,1.0,0.0
5,01011,100004,0.0,0.0,0.0,0.0,0.0,0.0
6,01013,100004,0.0,0.0,0.0,0.0,0.0,0.0
7,01015,11500,0.0,0.0,0.0,0.0,0.0,0.0
8,01017,100002,0.0,0.0,0.0,0.0,0.0,0.0
9,01019,100002,0.0,0.0,0.0,0.0,0.0,0.0
10,01021,13820,0.0,1.0,0.0,0.0,1.0,0.0
11,01023,100003,1.0,1.0,1.0,1.0,1.0,1.0
12,01025,100003,1.0,1.0,1.0,1.0,1.0,1.0
13,01027,100002,0.0,0.0,0.0,0.0,0.0,0.0
14,01029,100002,0.0,0.0,0.0,0.0,0.0,0.0
15,01031,100004,0.0,0.0,0.0,0.0,0.0,0.0
16,01033,22520,0.0,0.0,0.0,0.0,0.0,0.0
17,01035,100003,1.0,1.0,1.0,1.0,1.0,1.0
18,01037,100002,0.0,0.0,0.0,0.0,0.0,0.0
19,01039,100004,0.0,0.0,0.0,0.0,0.0,0.0
20,01041,100004,0.0,0.0,0.0,0.0,0.0,0.0
21,01043,100001,0.0,1.0,0.0,0.0,1.0,0.0
22,01045,100004,0.0,0.0,0.0,0.0,0.0,0.0
23,01047,100003,1.0,1.0,1.0,1.0,1.0,1.0
25,01049,100002,0.0,0.0,0.0,0.0,0.0,0.0
26,01051,33860,0.0,0.0,0.0,0.0,0.0,0.0
27,01053,100003,1.0,1.0,1.0,1.0,1.0,1.0
28,01055,23460,0.0,0.0,0.0,0.0,0.0,0.0
29,01057,100001,0.0,1.0,0.0,0.0,1.0,0.0
30,01059,100001,0.0,1.0,0.0,0.0,1.0,0.0
31,01061,20020,0.0,0.0,0.0,0.0,0.0,0.0
32,01063,100003,1.0,1.0,1.0,1.0,1.0,1.0
33,01065,46220,0.0,1.0,0.0,0.0,1.0,0.0
34,01067,20020,0.0,0.0,0.0,0.0,0.0,0.0
35,01069,20020,0.0,0.0,0.0,0.0,0.0,0.0
36,01071,100002,0.0,0.0,0.0,0.0,0.0,0.0
37,01073,13820,0.0,1.0,0.0,0.0,1.0,0.0
38,01075,100001,0.0,1.0,0.0,0.0,1.0,0.0
39,01077,22520,0.0,0.0,0.0,0.0,0.0,0.0
40,01079,19460,0.0,1.0,0.0,0.0,1.0,0.0
41,01081,12220,0.0,0.0,0.0,0.0,0.0,0.0
42,01083,26620,0.0,0.0,0.0,0.0,0.0,0.0
43,01085,33860,0.0,0.0,0.0,0.0,0.0,0.0
44,01087,100004,0.0,0.0,0.0,0.0,0.0,0.0
45,01089,26620,0.0,0.0,0.0,0.0,0.0,0.0
46,01091,100003,1.0,1.0,1.0,1.0,1.0,1.0
47,01093,100001,0.0,1.0,0.0,0.0,1.0,0.0
48,01095,100002,0.0,0.0,0.0,0.0,0.0,0.0
49,01097,33660,0.0,1.0,0.0,0.0,1.0,0.0
50,01099,100003,1.0,1.0,1.0,1.0,1.0,1.0
52,01101,33860,0.0,0.0,0.0,0.0,0.0,0.0
53,01103,19460,0.0,1.0,0.0,0.0,1.0,0.0
54,01105,100003,1.0,1.0,1.0,1.0,1.0,1.0
55,01107,46220,0.0,1.0,0.0,0.0,1.0,0.0
56,01109,100004,0.0,0.0,0.0,0.0,0.0,0.0
57,01111,100002,0.0,0.0,0.0,0.0,0.0,0.0
58,01113,17980,0.0,0.0,0.0,0.0,0.0,0.0
