,FIPS,County,FIPSTATE,State,NERC,sector,Emp,POP,rho_eff_min,rho_eff_max,rho_eff_avg,burden_min,burden_max,burden_avg,tonCO2e_eff_min,tonCO2e_eff_max,tonCO2e_eff_avg,tonCO2e_eff_min_emp,burden_min_emp,tonCO2e_eff_max_emp,burden_max_emp,tonCO2e_eff_avg_emp,burden_avg_emp,tonCO2e_eff_min_log10,tonCO2e_eff_percapita_min,tonCO2e_eff_percapita_min_log10,lbCO2e_eff_percapita_min,lbCO2e_eff_percapita_min_log10,tonCO2e_eff_peremp_min,tonCO2e_eff_peremp_min_log10,burden_min_log10,burden_percapita_min,burden_percapita_min_log10,burden_peremp_min,burden_peremp_min_log10,tonCO2e_eff_max_log10,tonCO2e_eff_percapita_max,tonCO2e_eff_percapita_max_log10,lbCO2e_eff_percapita_max,lbCO2e_eff_percapita_max_log10,tonCO2e_eff_peremp_max,tonCO2e_eff_peremp_max_log10,burden_max_log10,burden_percapita_max,burden_percapita_max_log10,burden_peremp_max,burden_peremp_max_log10,tonCO2e_eff_avg_log10,tonCO2e_eff_percapita_avg,tonCO2e_eff_percapita_avg_log10,lbCO2e_eff_percapita_avg,lbCO2e_eff_percapita_avg_log10,tonCO2e_eff_peremp_avg,tonCO2e_eff_peremp_avg_log10,burden_avg_log10,burden_percapita_avg,burden_percapita_avg_log10,burden_peremp_avg,burden_peremp_avg_log10,tonneCO2e_eff_peremp_avg,tonneCO2e_eff_peremp_avg_log10,ECF_std_dev
69,02110,juneau,02,AK,ASCC,ag,,32113.0,0.44778988421667315,0.7990720120823788,0.6234309481495259,133111.9070234537,237535.5119140791,185323.7094687664,635.5643914452077,1134.1518309830653,884.8581112141364,0.0,0.0,0.0,0.0,0.0,0.0,2.8031595571444328,0.019791498503572,-1.7035213221556744,39.582997007144,1.5975086735083066,,,5.12421690538671,4.145109675939766,0.6175360260866027,,,3.054671198246675,0.03531752969149769,-1.4520096810534322,70.63505938299538,1.8490203146105488,,,5.375728546488952,7.396864569304615,0.869047667188845,,,2.9468736362830823,0.027554514097534843,-1.5598072430170253,55.10902819506968,1.741222752646956,,,5.26793098452536,5.7709871226221905,0.7612501052252519,,,,,
110,05049,fulton,05,AR,SERC,ag,,12269.0,0.5078357160152246,0.8115439390690612,0.659689827542143,1703958.0479740854,2723000.33780976,2213479.192891923,8135.82408986146,13001.406796014302,10568.615442937882,0.0,0.0,0.0,0.0,0.0,0.0,3.910401549842369,0.6631203920336995,-0.1784076166189237,1326.240784067399,3.1226223790450574,,,6.231458898084647,138.88320547510682,2.1426497316233535,,,4.113990346975361,1.0596957205977913,0.02518118051406792,2119.3914411955825,3.3262111761780493,,,6.435047695217638,221.9415060567088,2.3462385287563454,,,4.024018095644447,0.8614080563157456,-0.06479107081684639,1722.8161126314913,3.236238924847135,,,6.345075443886724,180.4123557659078,2.2562662774254307,,,,,
130,05089,marion,05,AR,SERC,ag,,16722.0,0.5162122374131832,0.8155893279859948,0.665900782699589,1451983.0624998775,2294060.0868465165,1873021.574673197,6932.7286502167335,10953.361991714608,8943.04532096567,0.0,0.0,0.0,0.0,0.0,0.0,3.84090420207101,0.41458728921281746,-0.3823840170259379,829.1745784256349,2.918645978638043,,,6.161961550313287,86.83070580671436,1.9386733312163396,,,4.039547440669146,0.6550270297640598,-0.18374077842780176,1310.0540595281195,3.1172892172361792,,,6.360604788911424,137.18814058405192,2.1373165698144754,,,3.951485431646337,0.5348071594884386,-0.27180278745061104,1069.6143189768773,3.02922720821337,,,6.272542779888614,112.00942319538315,2.0492545607916663,,,,,
153,05135,sharp,05,AR,SERC,ag,,17366.0,0.5365222304939209,0.8253979128398261,0.6809600716668734,2528973.4608849436,3890629.870676711,3209801.6657808274,12074.994000087583,18576.443395552167,15325.718697819875,0.0,0.0,0.0,0.0,0.0,0.0,4.081886923628146,0.6953238512085445,-0.15781287305851452,1390.6477024170888,3.1432171226054666,,,6.402944271870423,145.62786254088124,2.1632444751837627,,,4.268962568562859,1.0697019115255193,0.029262771876198475,2139.4038230510387,3.33029276754018,,,6.5900199168051365,224.0371916778021,2.3503201201184756,,,4.185420849857901,0.8825128813670319,-0.054278946828759424,1765.0257627340638,3.246751048835222,,,6.5064781981001785,184.83252710934167,2.266778401413518,,,,,
162,06003,alpine,06,CA,WECC,ag,,1101.0,0.4314115320060286,0.7926961906372867,0.6120538613216575,21728.499947106742,39924.985445436134,30826.742696271438,103.74624745979254,190.62831902495736,147.18728324237492,0.0,0.0,0.0,0.0,0.0,0.0,2.0159723970759047,0.09422910759290876,-1.0258149218958472,188.45821518581752,2.275215073768134,,,4.337029745318182,19.735240642240456,1.29524242634643,,,2.280187418247193,0.17314107086735456,-0.7615999007245585,346.2821417347091,2.539430094939423,,,4.6012447664894705,36.262475427280776,1.5594574475177188,,,2.167870289238987,0.13368508923013162,-0.8739170297327645,267.3701784602632,2.4271129659312165,,,4.4889276374812646,27.998858034760616,1.4471403185095129,,,,,
228,08019,clear creek,08,CO,WECC,ag,,9605.0,0.5785735774993364,0.8502587742181527,0.7144161758587445,220596.44055774878,324183.5895033319,272390.0150305403,1053.2734871972148,1547.867132148478,1300.5703096728464,0.0,0.0,0.0,0.0,0.0,0.0,3.0225411523433094,0.10965887425270325,-0.9599562168544029,219.3177485054065,2.3410737788095783,,,5.343598500585587,22.966833998724496,1.3611011313878745,,,3.189733678406762,0.1611522261476812,-0.7927636907909509,322.3044522953624,2.5082663048730303,,,5.510791026649039,33.75154497692159,1.5282936574513264,,,3.114133835407365,0.13540555020019224,-0.8683635337903476,270.8111004003845,2.432666461873634,,,5.435191183649642,28.359189487823038,1.4526938144519297,,,,,
242,08047,gilpin,08,CO,WECC,ag,,6121.0,0.5589663713989644,0.8414675951930033,0.700216983295984,136094.60289564042,204876.72260269616,170485.6627491683,649.8057566939112,978.2171440104783,814.0114503521949,0.0,0.0,0.0,0.0,0.0,0.0,2.812783554484072,0.10616006480867689,-0.9740388250151153,212.32012961735379,2.326991170648866,,,5.13384090272635,22.234047197458,1.347018523227162,,,2.9904352698979637,0.15981328933352038,-0.7963871096012235,319.62657866704075,2.504642886062758,,,5.3114926181402415,33.47111952339424,1.5246702386410538,,,2.910630513967578,0.13298667707109865,-0.8761918655316095,265.9733541421973,2.424838130132372,,,5.2316878622098555,27.85258336042612,1.4448654827106677,,,,,
245,08053,hinsdale,08,CO,WECC,ag,,811.0,0.5441892260550971,0.8348420448961599,0.6895156354756286,75601.53652126591,115980.50517140365,95791.02084633478,360.97179903669235,553.7677345106551,457.36976677367375,0.0,0.0,0.0,0.0,0.0,0.0,2.5574732739246167,0.44509469671602014,-0.3515475802865396,890.1893934320403,2.9494824153774415,,,4.878530622166894,93.22014367603688,1.9695097679557378,,,2.7433276478122304,0.6828208810242357,-0.1656932063989258,1365.6417620484713,3.135336789265055,,,5.064384996054508,143.0092542187468,2.1553641418433513,,,2.660267453324249,0.5639577888701279,-0.24875340088690692,1127.915577740256,3.0522765947770742,,,4.981324801566527,118.11469894739184,2.0723039473553704,,,,,
251,08065,lake,08,CO,WECC,ag,,7824.0,0.5914209898516257,0.8560191003666471,0.7237200451091363,530197.8069113333,767405.0422229215,648801.4245671274,2531.5154296137603,3664.099850710262,3097.807640162011,0.0,0.0,0.0,0.0,0.0,0.0,3.403380578760463,0.32355769805901846,-0.490048263019082,647.1153961180369,2.8109817326448994,,,5.72443792700274,67.76556836801295,1.8310090852231953,,,3.563967300154549,0.4683154205918024,-0.32946154162499613,936.6308411836048,2.971568454038985,,,5.8850246483968265,98.08346654178445,1.9915958066172812,,,3.4910544465381395,0.3959365593254104,-0.40237439524140567,791.8731186508207,2.8986556004225754,,,5.812111794780416,82.92451745489869,1.9186829530008715,,,,,
258,08079,mineral,08,CO,WECC,ag,,776.0,0.5636125208661725,0.8435507645917815,0.703581642728977,66606.09663933345,99688.38815049117,83147.2423949123,318.02161221880675,475.9783791382173,396.99999567851205,0.0,0.0,0.0,0.0,0.0,0.0,2.5024566349166073,0.4098216652304211,-0.3874050863415813,819.6433304608421,2.9136249093224,,,4.823513983158884,85.83259876202764,1.933652261900696,,,2.677587225757836,0.6133741999203831,-0.21227449550035243,1226.7483998407663,3.0887555001636287,,,4.998644574000113,128.46441771970512,2.108782852741925,,,2.5987905020356634,0.5115979325754021,-0.29107121922252527,1023.1958651508041,3.009958776441456,,,4.91984785027794,107.14850824086638,2.029986129019752,,,,,
