,FIPS,County,FIPSTATE,State,NERC,sector,Emp,POP,rho_eff_min,rho_eff_max,rho_eff_avg,burden_min,burden_max,burden_avg,tonCO2e_eff_min,tonCO2e_eff_max,tonCO2e_eff_avg,tonCO2e_eff_min_emp,burden_min_emp,tonCO2e_eff_max_emp,burden_max_emp,tonCO2e_eff_avg_emp,burden_avg_emp,tonCO2e_eff_min_log10,tonCO2e_eff_percapita_min,tonCO2e_eff_percapita_min_log10,lbCO2e_eff_percapita_min,lbCO2e_eff_percapita_min_log10,tonCO2e_eff_peremp_min,tonCO2e_eff_peremp_min_log10,burden_min_log10,burden_percapita_min,burden_percapita_min_log10,burden_peremp_min,burden_peremp_min_log10,tonCO2e_eff_max_log10,tonCO2e_eff_percapita_max,tonCO2e_eff_percapita_max_log10,lbCO2e_eff_percapita_max,lbCO2e_eff_percapita_max_log10,tonCO2e_eff_peremp_max,tonCO2e_eff_peremp_max_log10,burden_max_log10,burden_percapita_max,burden_percapita_max_log10,burden_peremp_max,burden_peremp_max_log10,tonCO2e_eff_avg_log10,tonCO2e_eff_percapita_avg,tonCO2e_eff_percapita_avg_log10,lbCO2e_eff_percapita_avg,lbCO2e_eff_percapita_avg_log10,tonCO2e_eff_peremp_avg,tonCO2e_eff_peremp_avg_log10,burden_avg_log10,burden_percapita_avg,burden_percapita_avg_log10,burden_peremp_avg,burden_peremp_avg_log10,tonneCO2e_eff_peremp_avg,tonneCO2e_eff_peremp_avg_log10,ECF_std_dev
80,02185,north slope,02,AK,ASCC,mf,,9872.0,0.8029944638251953,0.8982978910842137,0.8506461774547044,23162409.205894243,25643130.196583513,24402769.701238878,99798.63597249384,111643.24072686024,105720.93834967703,0.0,0.0,0.0,0.0,0.0,0.0,4.99912460547908,10.109262152805291,1.004719458789914,20218.524305610583,4.3057494544538955,,,7.3647837299435155,2346.2732177769694,3.3703785832543485,,,5.0478324344931025,11.309080300532845,1.053427287803936,22618.16060106569,4.354457283467917,,,7.408971037388476,2597.561810837066,3.414565890699309,,,5.024161009153944,10.709171226669067,1.0297558624647771,21418.342453338133,4.330785858128758,,,7.3874391213264206,2471.9175143070174,3.393033974637254,,,,,
233,08009,baca,08,CO,WECC,mf,,3585.0,0.7415825733515804,0.9167000293918944,0.8291413013717374,41632.82551706904,51464.009196816805,46548.417356942926,198.78267846645988,245.7232596084911,222.25296903747548,0.0,0.0,0.0,0.0,0.0,0.0,2.298378538138863,0.05544844587627891,-1.256110621864956,110.89689175255782,2.044919373799025,,,4.61943588638114,11.613061511037388,1.0649467263773211,,,2.3904462677601392,0.0685420528893978,-1.1640428922436796,137.0841057787956,2.1369871034203016,,,4.711503616002417,14.355372160897296,1.1570144559985975,,,2.346847571342946,0.06199524938283835,-1.2076415886608727,123.99049876567669,2.0933884070031086,,,4.667904919585223,12.984216835967343,1.1134157595814047,,,,,
238,08023,costilla,08,CO,WECC,mf,,3828.0,0.7415825733515804,0.9167000293918944,0.8291413013717374,41632.82551706904,51464.009196816805,46548.417356942926,198.78267846645988,245.7232596084911,222.25296903747548,0.0,0.0,0.0,0.0,0.0,0.0,2.298378538138863,0.05192859939040227,-1.284593390965943,103.85719878080454,2.016436604698038,,,4.61943588638114,10.87586873486652,1.0364639572763341,,,2.3904462677601392,0.06419102915582317,-1.1925256613446669,128.38205831164635,2.1085043343193144,,,4.711503616002417,13.444098536263533,1.1285316868976105,,,2.346847571342946,0.058059814273112714,-1.2361243577618597,116.11962854622543,2.0649056379021213,,,4.667904919585223,12.159983635565027,1.0849329904804175,,,,,
262,08079,mineral,08,CO,WECC,mf,,776.0,0.6839450295375022,0.8874598750481166,0.7857024522928094,131964.59538514688,171232.01174584473,151598.30356549582,630.0863659289029,817.5750146980564,723.8306903134796,0.0,0.0,0.0,0.0,0.0,0.0,2.7994000822719975,0.8119669664032253,-0.0904616389861907,1623.9339328064507,3.2105683566777907,,,5.120457430514275,170.05746827982844,2.2305957092560864,,,2.9125276108427833,1.0535760498686293,0.022665889584595016,2107.1520997372586,3.323695885248576,,,5.233584959085061,220.65980895083084,2.343723237826872,,,2.8596369931839267,0.9327715081359274,-0.030224728074261506,1865.5430162718546,3.2708052675897195,,,5.1806943414262046,195.35863861532968,2.2908326201680156,,,,,
278,08111,san juan,08,CO,WECC,mf,,762.0,0.721971018876186,0.8989174734912622,0.810444246183724,26711.11558693995,33257.69028086556,29984.402933902755,127.53655403528167,158.79423679586534,143.1653954155735,0.0,0.0,0.0,0.0,0.0,0.0,2.1056346784213478,0.16737080582057962,-0.7763202929182527,334.74161164115924,2.5247097027457284,,,4.426692026663625,35.05395746317579,1.5447370553240247,,,2.2008347362952763,0.20839138687121436,-0.6811202350443244,416.78277374242873,2.619909760619657,,,4.521892084537553,43.64526283578157,1.6399371131979528,,,2.155838057104506,0.18788109634589698,-0.7261169142350943,375.7621926917939,2.5749130814288868,,,4.4768954053467835,39.34961014947868,1.5949404340071829,,,,,
410,13101,echols,13,GA,SERC,mf,,4000.0,0.7507795423520328,0.9143577093184562,0.8325686258352446,9026.788429553262,10993.524896924513,10010.15666323889,43.0998655433793,52.49036782051718,47.795116681948244,0.0,0.0,0.0,0.0,0.0,0.0,1.6344759153148034,0.010774966385844825,-1.967584076013159,21.54993277168965,1.3334459196508222,,,3.9555332635570806,2.2566971073883155,0.3534732722291182,,,1.7200796160499323,0.013122591955129295,-1.88198037527803,26.24518391025859,1.4190496203859513,,,4.0411369642922095,2.748381224231128,0.4390769729642472,,,1.6793835261848689,0.011948779170487062,-1.9226764651430936,23.897558340974122,1.3783535305208876,,,4.000440874427146,2.5025391658097225,0.3983808830991837,,,,,
422,13125,glascock,13,GA,SERC,mf,,2995.0,0.6822357899451911,0.8929026886154108,0.787569239280301,28037.843841368664,36695.621246942144,32366.732544155406,133.87123328745835,175.20919584156596,154.54021456451215,0.0,0.0,0.0,0.0,0.0,0.0,2.126687264340487,0.044698241498316645,-1.3497095623848432,89.3964829966333,1.951320433279138,,,4.447744612582764,9.361550531341791,0.9713477858574341,,,2.243556896343718,0.058500566224229035,-1.2328399303816124,117.00113244845807,2.068190065282369,,,4.564614244585995,12.252294239379681,1.088217417860665,,,2.1890415108863555,0.05159940386127284,-1.287355315838975,103.19880772254568,2.0136746798250065,,,4.510098859128632,10.806922385360737,1.0337020324033024,,,,,
474,13235,pulaski,13,GA,SERC,mf,,11069.0,0.6398426726802406,0.834772196649673,0.737307434664957,32311514.90238179,42155291.32990391,37233403.11614285,154276.56897730933,201277.27623619064,177776.92260675,0.0,0.0,0.0,0.0,0.0,0.0,5.18829997184042,13.937715148370163,1.1441915843943007,27875.430296740327,4.4452215800582815,,,7.509357320082698,2919.0997291879835,3.4652489326365776,,,5.303794746760027,18.183871735133312,1.259686359313907,36367.74347026662,4.560716354977888,,,7.624852095002304,3808.4100939474124,3.5807437075561843,,,5.249875384108747,16.06079344175174,1.2057669966626268,32121.58688350348,4.506796992326608,,,7.570932732351023,3363.754911567698,3.5268243449049037,,,,,
486,13259,stewart,13,GA,SERC,mf,,6199.0,0.7779300425440792,0.9138728751226355,0.8459014588333573,68798.54570651229,80821.05244766132,74809.7990770868,328.4898159153447,385.89322445668563,357.19152018601517,0.0,0.0,0.0,0.0,0.0,0.0,2.5165219097852085,0.05299077527268022,-1.2757997265663652,105.98155054536045,2.0252302690976163,,,4.8375792580274855,11.098329683257345,1.0452576216759122,,,2.586467153261974,0.06225088311932338,-1.2058544830895996,124.50176623864675,2.095175512574382,,,4.907524501504251,13.037756484539655,1.1152028651526777,,,2.5529011400817514,0.057620829196001803,-1.239420496269822,115.2416583920036,2.061609499394159,,,4.873958488324028,12.0680430838985,1.081636851972455,,,,,
488,13263,talbot,13,GA,SERC,mf,,6272.0,0.7723665029467058,0.9134727069236416,0.8429196049351736,39146.369675727954,46298.15008482856,42722.25988027826,186.9106917374373,221.05802735226632,203.9843595448518,0.0,0.0,0.0,0.0,0.0,0.0,2.271634144769751,0.029800811820382224,-1.5257719049066312,59.60162364076445,1.77525809075735,,,4.592691493012028,6.24144924676785,0.7952854433356462,,,2.3445062902054503,0.03524522119774654,-1.4528997594709316,70.49044239549308,1.8481302361930494,,,4.665563638447727,7.381720357912717,0.8681575887713455,,,2.309596869270174,0.03252301650906438,-1.4878091804062077,65.04603301812877,1.8132208152577733,,,4.630654217512451,6.811584802340284,0.8332481678360695,,,,,
