,FIPS,County,FIPSTATE,State,NERC,sector,Emp,POP,rho_eff_min,rho_eff_max,rho_eff_avg,burden_min,burden_max,burden_avg,tonCO2e_eff_min,tonCO2e_eff_max,tonCO2e_eff_avg,tonCO2e_eff_min_emp,burden_min_emp,tonCO2e_eff_max_emp,burden_max_emp,tonCO2e_eff_avg_emp,burden_avg_emp,tonCO2e_eff_min_log10,tonCO2e_eff_percapita_min,tonCO2e_eff_percapita_min_log10,lbCO2e_eff_percapita_min,lbCO2e_eff_percapita_min_log10,tonCO2e_eff_peremp_min,tonCO2e_eff_peremp_min_log10,burden_min_log10,burden_percapita_min,burden_percapita_min_log10,burden_peremp_min,burden_peremp_min_log10,tonCO2e_eff_max_log10,tonCO2e_eff_percapita_max,tonCO2e_eff_percapita_max_log10,lbCO2e_eff_percapita_max,lbCO2e_eff_percapita_max_log10,tonCO2e_eff_peremp_max,tonCO2e_eff_peremp_max_log10,burden_max_log10,burden_percapita_max,burden_percapita_max_log10,burden_peremp_max,burden_peremp_max_log10,tonCO2e_eff_avg_log10,tonCO2e_eff_percapita_avg,tonCO2e_eff_percapita_avg_log10,lbCO2e_eff_percapita_avg,lbCO2e_eff_percapita_avg_log10,tonCO2e_eff_peremp_avg,tonCO2e_eff_peremp_avg_log10,burden_avg_log10,burden_percapita_avg,burden_percapita_avg_log10,burden_peremp_avg,burden_peremp_avg_log10,tonneCO2e_eff_peremp_avg,tonneCO2e_eff_peremp_avg_log10,ECF_std_dev
3,01007,bibb,01,AL,SERC,mn_rest,,22400.0,0.6410672209098448,0.8242079112688843,0.7326375660893644,430645.0989939634,553672.1984259945,492158.648709979,2056.1848777565365,2643.59771955446,2349.891298655498,0.0,0.0,0.0,0.0,0.0,0.0,3.313062160799776,0.09179396775698824,-1.0371858575343866,183.58793551397648,2.2638441381295946,,,5.634119509042053,19.22522763365908,1.2838714907078905,,,3.4221953685632958,0.11801775533725269,-0.928052649770867,236.03551067450536,2.3729773458931143,,,5.743252716805573,24.717508858303326,1.3930046984714102,,,3.3710477731287747,0.10490586154712044,-0.9792002452053881,209.81172309424088,2.321829750458593,,,5.6921051213710525,21.971368245981207,1.3418571030368893,,,,,
4,01009,blount,01,AL,SERC,mn_rest,,57840.0,0.4605399735578706,0.7833277174037503,0.6219338454808104,163905.57316326254,278785.3082629284,221345.44071309545,782.5937453035828,1331.1056745567723,1056.8497099301776,0.0,0.0,0.0,0.0,0.0,0.0,2.8935363725820458,0.013530320631113119,-1.8686919117044287,27.060641262226238,1.4323380839595525,,,5.214593720824323,2.8337754696276374,0.4523654365378486,,,3.124212534854924,0.023013583585006436,-1.6380157494315504,46.02716717001287,1.6630142462324309,,,5.445269883097201,4.819939631101805,0.6830415988107269,,,3.0240132325404603,0.018271952108059777,-1.738215051746014,36.54390421611956,1.5628149439179673,,,5.345070580782738,3.826857550364721,0.5828422964962633,,,,,
5,01015,calhoun,01,AL,SERC,mn_rest,,114277.0,0.6435573799565533,0.8270224004237406,0.7352898901901469,892472.0498689257,1146897.5416667962,1019684.7957678611,4261.252565158267,5476.048344728684,4868.650454943476,0.0,0.0,0.0,0.0,0.0,0.0,3.6295372756705047,0.03728880321638009,-1.4284215550903652,74.57760643276018,1.872608440573616,,,5.950594623912782,7.809725927955107,0.8926357931519121,,,3.738467273602971,0.047919076845985495,-1.3194915571578991,95.83815369197099,1.9815384385060821,,,6.059524621845248,10.036118743638669,1.001565791084378,,,3.6874085954663016,0.04260394003118279,-1.3705502352945682,85.20788006236559,1.930479760369413,,,6.008465943708579,8.922922335796889,0.9505071129477091,,,,,
6,01021,chilton,01,AL,SERC,mn_rest,,44153.0,0.5479733593820049,0.8172319995736362,0.6826026794778205,342643.4608825379,511008.7851600456,426826.1230212918,1636.0067823242857,2439.8943327149145,2037.9505575196,0.0,0.0,0.0,0.0,0.0,0.0,3.2137850997753445,0.03705312849238525,-1.4311751175194916,74.1062569847705,1.8698548781444897,,,5.534842448017622,7.760366473003825,0.8898822307227857,,,3.3873710182598207,0.05525998986965584,-1.2575891990350154,110.51997973931168,2.043440796628966,,,5.7084283665020985,11.573591492311861,1.0634681492072617,,,3.309193643430526,0.04615655918102054,-1.3357665738643105,92.31311836204108,1.9652634217996705,,,5.630250991672803,9.666978982657845,0.9852907743779667,,,,,
9,01027,clay,01,AL,SERC,mn_rest,,13275.0,0.6756615187827297,0.8633279778669024,0.7694947483248159,6368120.15855099,8136879.408494455,7252499.783522723,30405.622635293585,38850.85057500997,34628.236605151775,0.0,0.0,0.0,0.0,0.0,0.0,4.482953901164364,2.290442383072963,0.3599193714108575,4580.884766145927,3.6609493670748385,,,6.804011249406641,479.70773322418,2.6809767196531347,,,4.589400531399212,2.9266177457634632,0.4663660016457056,5853.235491526926,3.767395997309687,,,6.9104578796414895,612.9476013931793,2.787423349887983,,,4.5394303762693236,2.608530064418213,0.41639584651581696,5217.060128836426,3.7174258421797983,,,6.860487724511601,546.3276673086797,2.7374531947580945,,,,,
11,01035,conecuh,01,AL,SERC,mn_rest,,12277.0,0.743147394893724,0.8315326224964312,0.7873400086950777,465655.40072847577,521037.49432203796,493346.4475252569,2223.3472422194527,2487.7780313114613,2355.5626367654572,0.0,0.0,0.0,0.0,0.0,0.0,3.3470072960785644,0.1810985780092411,-0.7420849597641551,362.1971560184822,2.5589450358998262,,,5.668064644320841,37.92908696981964,1.5789723884781222,,,3.3958116283993958,0.2026372917904587,-0.6932806274433235,405.2745835809174,2.6077493682206576,,,5.716868976641673,42.44013149157269,1.6277767207989537,,,3.3720946570522505,0.1918679348998499,-0.7169975987904689,383.7358697996998,2.5840323968735124,,,5.693152005294528,40.18460923069617,1.6040597494518083,,,,,
13,01041,crenshaw,01,AL,SERC,mn_rest,,13824.0,0.4112458287080675,0.7638383469832639,0.5875420878456656,100595.21490366421,186843.19038038593,143719.20264202508,480.3081705626997,892.1131192934358,686.2106449280677,0.0,0.0,0.0,0.0,0.0,0.0,2.681519974521771,0.03474451465297307,-1.4591137506130472,69.48902930594613,1.841916245050934,,,5.002577322764048,7.276852929952561,0.8619435976292301,,,2.9504199260915547,0.06453364578222193,-1.1902137990432633,129.06729156444385,2.1108161966207177,,,5.271477274333832,13.515855785618195,1.1308435491990139,,,2.836457450819633,0.04963908021759749,-1.304176274315185,99.27816043519498,1.9968537213487962,,,5.157514799061911,10.396354357785379,1.0168810739270924,,,,,
16,01049,dekalb,01,AL,SERC,mn_rest,,71385.0,0.6435573799565532,0.8270224004237405,0.7352898901901468,446236.0249344629,573448.7708333982,509842.3978839306,2130.6262825791337,2738.024172364342,2434.325227471738,0.0,0.0,0.0,0.0,0.0,0.0,3.3285072800065234,0.02984697461062035,-1.5250996838479152,59.6939492212407,1.775930311816066,,,5.649564628248801,6.251117530776254,0.7959576643943621,,,3.4374372779389897,0.038355735411701924,-1.4161696859154491,76.71147082340384,1.884860309748532,,,5.758494626181267,8.033183033317899,0.9048876623268282,,,3.3863785998023204,0.03410135501116114,-1.4672283640521182,68.20271002232228,1.8338016316118628,,,5.707435948044598,7.142150282047077,0.8538289841901591,,,,,
22,01067,henry,01,AL,SERC,mn_rest,,17209.0,0.4112458287080675,0.7638383469832639,0.5875420878456656,100595.21490366421,186843.19038038593,143719.20264202508,480.3081705626997,892.1131192934358,686.2106449280677,0.0,0.0,0.0,0.0,0.0,0.0,2.681519974521771,0.02791028941616013,-1.5542356600649472,55.82057883232026,1.746794335599034,,,5.002577322764048,5.84550031400222,0.7668216881773302,,,2.9504199260915547,0.05183991628179649,-1.2853357084951633,103.67983256359298,2.015694287168818,,,5.271477274333832,10.857295042151545,1.035721639747114,,,2.836457450819633,0.03987510284897831,-1.3992981837670848,79.75020569795662,1.9017318118968964,,,5.157514799061911,8.351397678076882,0.9217591644751923,,,,,
23,01069,houston,01,AL,SERC,mn_rest,,104722.0,0.430047836589222,0.7892216612653558,0.609634748927289,71137.43174225425,130551.06265166552,100844.24719695988,339.65720667103506,623.3372246114047,481.49721564121995,0.0,0.0,0.0,0.0,0.0,0.0,2.531040833660324,0.0032434178746685036,-2.488997094197402,6.486835749337007,0.8120329014665796,,,4.852098181902601,0.6792978719109094,-0.16793974595512423,,,2.7947230629751023,0.005952304430887538,-2.225314864882623,11.904608861775076,1.0757151307813582,,,5.115780411217379,1.2466440924702118,0.09574248335965425,,,2.6825937800687565,0.004597861152778021,-2.3374441477889687,9.195722305556043,0.9635858478750124,,,5.003651128311033,0.9629709821905605,-0.016386799546691543,,,,,
