"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=k&freq=A&start=2001&end=2021&ctype=map&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Wed Feb 15 2023 09:48:21 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Average retail price of electricity","cents per kilowatthour",,,,,,,,,,,,,,,,,,,,,,
"United States","cents per kilowatthour","ELEC.PRICE.US-ALL.A",,,,,,,,,,,,,,,,,,,,,
"United States : all sectors","cents per kilowatthour","ELEC.PRICE.US-ALL.A",7.29,7.20,7.44,7.61,8.14,8.90,9.13,9.74,9.82,9.83,9.90,9.84,10.07,10.44,10.41,10.27,10.48,10.53,10.54,10.59,11.10
"United States : commercial","cents per kilowatthour","ELEC.PRICE.US-COM.A",7.92,7.89,8.03,8.17,8.67,9.46,9.65,10.26,10.16,10.19,10.24,10.09,10.26,10.74,10.64,10.43,10.66,10.67,10.68,10.59,11.22
"New England","cents per kilowatthour","ELEC.PRICE.NEW-ALL.A",,,,,,,,,,,,,,,,,,,,,
"New England : all sectors","cents per kilowatthour","ELEC.PRICE.NEW-ALL.A",10.86,10.03,10.42,10.61,11.95,14.51,15.08,16.06,15.65,14.89,14.49,14.02,14.47,15.45,16.52,16.13,16.58,17.63,17.76,17.73,18.03
"New England : commercial","cents per kilowatthour","ELEC.PRICE.NEW-COM.A",10.93,9.85,10.32,10.61,11.94,14.52,14.71,15.77,15.21,14.72,14.31,13.68,13.97,14.70,15.46,15.18,15.48,16.46,16.33,15.84,16.34
"Connecticut","cents per kilowatthour","ELEC.PRICE.CT-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Connecticut : all sectors","cents per kilowatthour","ELEC.PRICE.CT-ALL.A",9.62,9.71,10.16,10.26,12.06,14.83,16.45,17.80,18.07,17.38,16.35,15.54,15.66,17.05,17.77,17.24,17.55,18.41,18.66,19.13,18.32
"Connecticut : commercial","cents per kilowatthour","ELEC.PRICE.CT-COM.A",9.26,9.32,9.93,9.90,11.53,14.03,15.39,17.12,16.87,16.45,15.57,14.65,14.63,15.55,15.97,15.75,16.06,16.76,16.75,16.58,16.46
