"Coal shipments to the electric power sector: price, by plant state"
"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=g0fvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.A&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.A&map=COAL.SHIP_PLANT_PRICE.ME-TOT.A&freq=A&start=2015&end=2021&ctype=map&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Feb 14 2023 17:01:25 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2015","2016","2017","2018","2019","2020","2021"
"Coal shipments to the electric power sector: price, by plant state","$/short ton",,,,,,,,
"All coal","$/short ton","COAL.SHIP_PLANT_PRICE.US-TOT.A",,,,,,,
"All coal : United States","$/short ton","COAL.SHIP_PLANT_PRICE.US-TOT.A",42.60,40.64,39.18,39.16,38.64,36.36,37.69
"All coal : New England",,"COAL.SHIP_PLANT_PRICE.NEW-TOT.A",,,,,,,
"All coal : Connecticut","$/short ton","COAL.SHIP_PLANT_PRICE.CT-TOT.A",69.48,54.24,"--",72.21,"--","--","--"
"All coal : Maine","$/short ton","COAL.SHIP_PLANT_PRICE.ME-TOT.A",125.02,104.01,115.96,144.29,154.11,119.62,120.44
"All coal : Massachusetts","$/short ton","COAL.SHIP_PLANT_PRICE.MA-TOT.A",68.05,59.69,54.18,"--","--","--","--"
"All coal : New Hampshire","$/short ton","COAL.SHIP_PLANT_PRICE.NH-TOT.A",97.56,105.55,99.00,86.29,77.89,80.97,107.23
"All coal : Rhode Island","$/short ton","COAL.SHIP_PLANT_PRICE.RI-TOT.A","--","--","--",66.81,"--","--","--"
"All coal : Vermont","$/short ton","COAL.SHIP_PLANT_PRICE.VT-TOT.A","--","--","--","--","--","--","--"
"All coal : Middle Atlantic",,"COAL.SHIP_PLANT_PRICE.MAT-TOT.A",,,,,,,
"All coal : New Jersey","$/short ton","COAL.SHIP_PLANT_PRICE.NJ-TOT.A",98.40,94.57,92.48,91.98,91.56,96.07,83.42
"All coal : New York","$/short ton","COAL.SHIP_PLANT_PRICE.NY-TOT.A",59.19,61.05,75.17,71.59,69.09,"--","--"
"All coal : Pennsylvania","$/short ton","COAL.SHIP_PLANT_PRICE.PA-TOT.A",50.76,45.85,40.24,43.67,39.31,30.81,39.98
"All coal : East North Central",,"COAL.SHIP_PLANT_PRICE.ENC-TOT.A",,,,,,,
"All coal : Illinois","$/short ton","COAL.SHIP_PLANT_PRICE.IL-TOT.A",33.79,31.33,31.44,31.18,31.75,28.66,29.16
"All coal : Indiana","$/short ton","COAL.SHIP_PLANT_PRICE.IN-TOT.A",51.23,50.25,48.01,47.00,47.05,46.37,50.41
"All coal : Michigan","$/short ton","COAL.SHIP_PLANT_PRICE.MI-TOT.A",45.07,42.36,40.66,40.00,39.61,38.95,38.90
"All coal : Ohio","$/short ton","COAL.SHIP_PLANT_PRICE.OH-TOT.A",53.53,50.55,47.24,45.14,44.65,44.17,41.44
"All coal : Wisconsin","$/short ton","COAL.SHIP_PLANT_PRICE.WI-TOT.A",40.27,39.58,39.50,40.44,39.98,35.31,36.94
"All coal : West North Central",,"COAL.SHIP_PLANT_PRICE.WNC-TOT.A",,,,,,,
