"Price"
"https://www.eia.gov/coal/data/browser/#/topic/23?agg=1,0&geo=vvvvvvvvvvvvo&sec=gs&freq=A&start=2015&end=2021&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Tue Feb 14 2023 17:29:19 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2015","2016","2017","2018","2019","2020","2021"
"Price","$/short ton",,,,,,,,
"Electric power","$/short ton","COAL.COST.US-98.A",,,,,,,
"Electric power : United States","$/short ton","COAL.COST.US-98.A",42.60,40.39,"W","W","W","W","W"
"Electric power : New England","$/short ton","COAL.COST.NEW-98.A","W","W","W","W","W","W","W"
"Electric power : Connecticut","$/short ton","COAL.COST.CT-98.A","W","W","W","W","W","W","W"
"Electric power : Maine","$/short ton","COAL.COST.ME-98.A","W","W","W","W","W","W","W"
"Electric power : Massachusetts","$/short ton","COAL.COST.MA-98.A","W","W","W","W","W","--","--"
"Electric power : New Hampshire","$/short ton","COAL.COST.NH-98.A","W","W","W","W","W","W","W"
"Electric power : Rhode Island","$/short ton","COAL.COST.RI-98.A","W","W","W","W","W","W","W"
"Electric power : Vermont","$/short ton","COAL.COST.VT-98.A","--","--","--","--","--","--","--"
"Electric power : Middle Atlantic","$/short ton","COAL.COST.MAT-98.A","W","W","W","W","W","W","W"
"Electric power : New Jersey","$/short ton","COAL.COST.NJ-98.A","W","W","W","W","W","W","W"
"Electric power : New York","$/short ton","COAL.COST.NY-98.A","W","W","W","W","W","W","W"
"Electric power : Pennsylvania","$/short ton","COAL.COST.PA-98.A","W","W","W","W","W","W","W"
"Electric power : East North Central","$/short ton","COAL.COST.ENC-98.A","W","W","W","W","W","W","W"
"Electric power : Illinois","$/short ton","COAL.COST.IL-98.A","W","W","W","W","W","W","W"
"Electric power : Indiana","$/short ton","COAL.COST.IN-98.A","W","W","W","W","W","W","W"
"Electric power : Michigan","$/short ton","COAL.COST.MI-98.A","W","W","W","W","W","W","W"
"Electric power : Ohio","$/short ton","COAL.COST.OH-98.A","W","W","W","W","W","W","W"
"Electric power : Wisconsin","$/short ton","COAL.COST.WI-98.A","W","W","W","W","W","W","W"
"Electric power : West North Central","$/short ton","COAL.COST.WNC-98.A","W","W","W","W","W","W","W"
"Electric power : Iowa","$/short ton","COAL.COST.IA-98.A","W","W","W","W","W","W","W"
"Electric power : Kansas","$/short ton","COAL.COST.KS-98.A","W","W","W","W","W","W","W"
"Electric power : Minnesota","$/short ton","COAL.COST.MN-98.A","W","W","W","W","W","W","W"
"Electric power : Missouri","$/short ton","COAL.COST.MO-98.A","W","W","W","W","W","W","W"
"Electric power : Nebraska","$/short ton","COAL.COST.NE-98.A","W","W","W","W","W","W","W"
"Electric power : North Dakota","$/short ton","COAL.COST.ND-98.A","W","W","W","W","W","W","W"
"Electric power : South Dakota","$/short ton","COAL.COST.SD-98.A","W","W","W","W","W","W","W"
"Electric power : South Atlantic","$/short ton","COAL.COST.SAT-98.A","W","W","W","W","W","W","W"
"Electric power : Delaware","$/short ton","COAL.COST.DE-98.A","W","W","W","W","W","W","W"
"Electric power : District Of Columbia","$/short ton","COAL.COST.DC-98.A","--","--","--","--","--","--","--"
"Electric power : Florida","$/short ton","COAL.COST.FL-98.A","W","W","W","W","W","W","W"
"Electric power : Georgia","$/short ton","COAL.COST.GA-98.A","W","W","W","W","W","W","W"
"Electric power : Maryland","$/short ton","COAL.COST.MD-98.A","W","W","W","W","W","W","W"
"Electric power : North Carolina","$/short ton","COAL.COST.NC-98.A","W","W","W","W","W","W","W"
"Electric power : South Carolina","$/short ton","COAL.COST.SC-98.A","W","W","W","W","W","W","W"
"Electric power : Virginia","$/short ton","COAL.COST.VA-98.A","W","W","W","W","W","W","W"
"Electric power : West Virginia","$/short ton","COAL.COST.WV-98.A","W","W","W","W","W","W","W"
"Electric power : East South Central","$/short ton","COAL.COST.ESC-98.A","W","W","W","W","W","W","W"
"Electric power : Alabama","$/short ton","COAL.COST.AL-98.A","W","W","W","W","W","W","W"
"Electric power : Kentucky","$/short ton","COAL.COST.KY-98.A","W","W","W","W","W","W","W"
"Electric power : Mississippi","$/short ton","COAL.COST.MS-98.A","W","W","W","W","W","W","W"
"Electric power : Tennessee","$/short ton","COAL.COST.TN-98.A","W","W","W","W","W","W","W"
"Electric power : West South Central","$/short ton","COAL.COST.WSC-98.A","W","W","W","W","W","W","W"
"Electric power : Arkansas","$/short ton","COAL.COST.AR-98.A","W","W","W","W","W","W","W"
"Electric power : Louisiana","$/short ton","COAL.COST.LA-98.A","W","W","W","W","W","W","W"
"Electric power : Oklahoma","$/short ton","COAL.COST.OK-98.A","W","W","W","W","W","W","W"
"Electric power : Texas","$/short ton","COAL.COST.TX-98.A","W","W","W","W","W","W","W"
"Electric power : Mountain","$/short ton","COAL.COST.MTN-98.A","W","W","W","W","W","W","W"
"Electric power : Arizona","$/short ton","COAL.COST.AZ-98.A","W","W","W","W","W","W","W"
"Electric power : Colorado","$/short ton","COAL.COST.CO-98.A","W","W","W","W","W","W","W"
"Electric power : Idaho","$/short ton","COAL.COST.ID-98.A","--","--","--","--","--","--","--"
"Electric power : Montana","$/short ton","COAL.COST.MT-98.A","W","W","W","W","W","W","W"
"Electric power : Nevada","$/short ton","COAL.COST.NV-98.A","W","W","W","W","W","W","W"
"Electric power : New Mexico","$/short ton","COAL.COST.NM-98.A","W","W","W","W","W","W","W"
"Electric power : Utah","$/short ton","COAL.COST.UT-98.A","W","W","W","W","W","W","W"
"Electric power : Wyoming","$/short ton","COAL.COST.WY-98.A","W","W","W","W","W","W","W"
"Electric power : Pacific Contiguous","$/short ton","COAL.COST.PCC-98.A","W","W","W","W","W","W","W"
"Electric power : California","$/short ton","COAL.COST.CA-98.A","W","W","W","W","W","W","W"
"Electric power : Oregon","$/short ton","COAL.COST.OR-98.A","W","W","W","W","W","W","--"
"Electric power : Washington","$/short ton","COAL.COST.WA-98.A","W","W","W","W","W","W","W"
"Electric power : Pacific Noncontiguous","$/short ton","COAL.COST.PCN-98.A","W","W","W","W","W","W","W"
"Electric power : Alaska","$/short ton","COAL.COST.AK-98.A","W","W","W","W","W","W","W"
"Electric power : Hawaii","$/short ton","COAL.COST.HI-98.A","W","W","W","W","W","W","W"
"Commercial and institutional","$/short ton","COAL.COST.US-8.A",,,,,,,
"Commercial and institutional : United States","$/short ton","COAL.COST.US-8.A",85.70,81.06,82.97,83.86,86.34,84.52,83.00
"Commercial and institutional : New England","$/short ton","COAL.COST.NEW-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Connecticut","$/short ton","COAL.COST.CT-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Maine","$/short ton","COAL.COST.ME-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Massachusetts","$/short ton","COAL.COST.MA-8.A","--","--","--","--","--","--","--"
