,FIPS,FIPSTATE,County,scope,tonCO2e,tonCO2e_coal,tonCO2e_ng,tonCO2e_elec,tonCO2e_residfuel,tonCO2e_lpg,tonCO2e_dsl,Emp,sector,State,tonCO2e_crude
0,01049,01,dekalb,scope3,46057.36525650001,46057.36525650001,,,,,,2.0,coal,AL,
1,01073,01,jefferson,scope3,21397509.4116771,21397509.4116771,,,,,,1467.0,coal,AL,
2,01117,01,shelby,scope3,8028.135203400001,8028.135203400001,,,,,,4.0,coal,AL,
3,01125,01,tuscaloosa,scope3,6075336.4315397,6075336.4315397,,,,,,488.0,coal,AL,
4,01127,01,walker,scope3,3800316.5683509,3800316.5683509,,,,,,474.0,coal,AL,
5,02068,02,denali,scope3,1571288.3120350144,1571288.3120350144,,,,,,102.0,coal,AK,
6,08051,08,gunnison,scope3,5922114.115840628,5922114.115840628,,,,,,319.0,coal,CO,
7,08067,08,la plata,scope3,1031271.7377934244,1031271.7377934244,,,,,,85.0,coal,CO,
8,08081,08,moffat,scope3,8228426.629041547,8228426.629041547,,,,,,393.0,coal,CO,
9,08103,08,rio blanco,scope3,3715940.677167833,3715940.677167833,,,,,,178.0,coal,CO,
10,08107,08,routt,scope3,2714779.8850017474,2714779.8850017474,,,,,,143.0,coal,CO,
11,17055,17,franklin,scope3,17527578.392482247,17527578.392482247,,,,,,356.0,coal,IL,
12,17065,17,hamilton,scope3,6290050.515341729,6290050.515341729,,,,,,181.0,coal,IL,
13,17117,17,macoupin,scope3,539931.3289169689,539931.3289169689,,,,,,37.0,coal,IL,
14,17135,17,montgomery,scope3,6485270.283201184,6485270.283201184,,,,,,103.0,coal,IL,
15,17145,17,perry,scope3,9564291.358131004,9564291.358131004,,,,,,295.0,coal,IL,
16,17157,17,randolph,scope3,4332029.433145845,4332029.433145845,,,,,,170.0,coal,IL,
17,17165,17,saline,scope3,2132140.0686464864,2132140.0686464864,,,,,,83.0,coal,IL,
18,17167,17,sangamon,scope3,1676904.9872624192,1676904.9872624192,,,,,,214.0,coal,IL,
19,17185,17,wabash,scope3,1542149.9461608168,1542149.9461608168,,,,,,48.0,coal,IL,
20,17189,17,washington,scope3,11286659.50319705,11286659.50319705,,,,,,373.0,coal,IL,
21,17199,17,williamson,scope3,9272907.469268132,9272907.469268132,,,,,,180.0,coal,IL,
22,18021,18,clay,scope3,578344.3336524371,578344.3336524371,,,,,,34.0,coal,IN,
23,18027,18,daviess,scope3,4935738.291718325,4935738.291718325,,,,,,168.0,coal,IN,
24,18037,18,dubois,scope3,257434.2204717021,257434.2204717021,,,,,,30.0,coal,IN,
25,18051,18,gibson,scope3,10581461.611413294,10581461.611413294,,,,,,424.0,coal,IN,
26,18083,18,knox,scope3,12454048.86792105,12454048.86792105,,,,,,568.0,coal,IN,
27,18125,18,pike,scope3,270613.5556903765,270613.5556903765,,,,,,11.0,coal,IN,
28,18147,18,spencer,scope3,23085.40827292372,23085.40827292372,,,,,,11.0,coal,IN,
29,18153,18,sullivan,scope3,12137151.547009662,12137151.547009662,,,,,,449.0,coal,IN,
30,18173,18,warrick,scope3,5357258.035400237,5357258.035400237,,,,,,219.0,coal,IN,
31,21013,21,bell,scope3,1365094.2597227176,1365094.2597227176,,,,,,176.0,coal,KY,
32,21025,21,breathitt,scope3,12004.227025266637,12004.227025266637,,,,,,3.0,coal,KY,
33,21059,21,daviess,scope3,635974.4764633077,635974.4764633077,,,,,,28.0,coal,KY,
34,21071,21,floyd,scope3,985951.4070882448,985951.4070882448,,,,,,131.0,coal,KY,
35,21095,21,harlan,scope3,2980783.8971298006,2980783.8971298006,,,,,,286.0,coal,KY,
36,21107,21,hopkins,scope3,8867212.870580107,8867212.870580107,,,,,,423.0,coal,KY,
37,21115,21,johnson,scope3,931735.5221108772,931735.5221108772,,,,,,56.0,coal,KY,
38,21119,21,knott,scope3,1577392.5022802926,1577392.5022802926,,,,,,68.0,coal,KY,
39,21121,21,knox,scope3,379086.7581156632,379086.7581156632,,,,,,49.0,coal,KY,
40,21131,21,leslie,scope3,1812930.947869921,1812930.947869921,,,,,,184.0,coal,KY,
41,21133,21,letcher,scope3,129424.68824661206,129424.68824661206,,,,,,14.0,coal,KY,
42,21159,21,martin,scope3,339362.0832299373,339362.0832299373,,,,,,22.0,coal,KY,
43,21175,21,morgan,scope3,22818.27469491968,22818.27469491968,,,,,,4.0,coal,KY,
44,21177,21,muhlenberg,scope3,5092516.931195297,5092516.931195297,,,,,,207.0,coal,KY,
45,21183,21,ohio,scope3,604423.8843755242,604423.8843755242,,,,,,37.0,coal,KY,
46,21193,21,perry,scope3,4222088.097275565,4222088.097275565,,,,,,288.0,coal,KY,
47,21195,21,pike,scope3,5088275.279386565,5088275.279386565,,,,,,620.0,coal,KY,
48,21225,21,union,scope3,22275149.121713348,22275149.121713348,,,,,,733.0,coal,KY,
49,21235,21,whitley,scope3,540921.8837736463,540921.8837736463,,,,,,49.0,coal,KY,
50,22031,22,desoto,scope3,667705.7282530378,667705.7282530378,,,,,,93.0,coal,LA,
51,22069,22,natchitoches,scope3,304936.63559872727,304936.63559872727,,,,,,32.0,coal,LA,
52,24001,24,allegany,scope3,1410745.618793253,1410745.618793253,,,,,,80.0,coal,MD,
53,24023,24,garrett,scope3,1416694.3887234356,1416694.3887234356,,,,,,107.0,coal,MD,
54,28019,28,choctaw,scope3,2873408.566056652,2873408.566056652,,,,,,194.0,coal,MS,
55,29013,29,bates,scope3,352788.3882773726,352788.3882773726,,,,,,12.0,coal,MO,
56,30003,30,big horn,scope3,28999417.89629304,28999417.89629304,,,,,,485.0,coal,MT,
57,30065,30,musselshell,scope3,10480160.331853082,10480160.331853082,,,,,,258.0,coal,MT,
58,30083,30,richland,scope3,392069.8735341421,392069.8735341421,,,,,,11.0,coal,MT,
59,30087,30,rosebud,scope3,9745113.295173544,9745113.295173544,,,,,,337.0,coal,MT,
60,35045,35,san juan,scope3,11248391.592870854,11248391.592870854,,,,,,572.0,coal,NM,
61,38057,38,mercer,scope3,21640576.94929398,21640576.94929398,,,,,,597.0,coal,ND,
62,38065,38,oliver,scope3,6015374.058679933,6015374.058679933,,,,,,177.0,coal,ND,
63,39013,39,belmont,scope3,514541.9532650891,514541.9532650891,,,,,,40.0,coal,OH,
64,39067,39,harrison,scope3,2512589.423890264,2512589.423890264,,,,,,156.0,coal,OH,
65,39111,39,monroe,scope3,4380732.027077132,4380732.027077132,,,,,,172.0,coal,OH,
66,39121,39,noble,scope3,1042142.1566634878,1042142.1566634878,,,,,,46.0,coal,OH,
67,39127,39,perry,scope3,268340.18438798806,268340.18438798806,,,,,,25.0,coal,OH,
68,39157,39,tuscarawas,scope3,278687.45420149766,278687.45420149766,,,,,,34.0,coal,OH,
69,40035,40,craig,scope3,889.8083611691003,889.8083611691003,,,,,,15.0,coal,OK,
70,40111,40,okmulgee,scope3,206.93217701606983,206.93217701606983,,,,,,2.0,coal,OK,
71,42005,42,armstrong,scope3,1561786.859976306,1561786.859976306,,,,,,68.0,coal,PA,
72,42009,42,bedford,scope3,378350.9401994827,378350.9401994827,,,,,,24.0,coal,PA,
73,42021,42,cambria,scope3,2270005.517569772,2270005.517569772,,,,,,136.0,coal,PA,
74,42025,42,carbon,scope3,70101.58050217264,70101.58050217264,,,,,,21.0,coal,PA,
75,42031,42,clarion,scope3,191665.23891215053,191665.23891215053,,,,,,16.0,coal,PA,
76,42033,42,clearfield,scope3,2176455.6214658557,2176455.6214658557,,,,,,240.0,coal,PA,
77,42037,42,columbia,scope3,210206.85226023552,210206.85226023552,,,,,,34.0,coal,PA,
78,42043,42,dauphin,scope3,26262.6543644453,26262.6543644453,,,,,,8.0,coal,PA,
79,42051,42,fayette,scope3,22398.605169087976,22398.605169087976,,,,,,6.0,coal,PA,
80,42059,42,greene,scope3,55536226.51416613,55536226.51416613,,,,,,1941.0,coal,PA,
81,42063,42,indiana,scope3,5077771.247211696,5077771.247211696,,,,,,230.0,coal,PA,
82,42065,42,jefferson,scope3,485393.88315529376,485393.88315529376,,,,,,58.0,coal,PA,
83,42079,42,luzerne,scope3,1716271.546806692,1716271.546806692,,,,,,101.0,coal,PA,
84,42081,42,lycoming,scope3,464252.6306581984,464252.6306581984,,,,,,28.0,coal,PA,
85,42097,42,northumberland,scope3,737487.2773603058,737487.2773603058,,,,,,68.0,coal,PA,
86,42107,42,schuylkill,scope3,3297360.6205302062,3297360.6205302062,,,,,,250.0,coal,PA,
87,42111,42,somerset,scope3,4420813.730794927,4420813.730794927,,,,,,423.0,coal,PA,
88,42125,42,washington,scope3,14700033.266291443,14700033.266291443,,,,,,497.0,coal,PA,
89,42129,42,westmoreland,scope3,1036871.8744771356,1036871.8744771356,,,,,,94.0,coal,PA,
90,47025,47,claiborne,scope3,225228.38831235396,225228.38831235396,,,,,,25.0,coal,TN,
91,48013,48,atascosa,scope3,3036534.5278420737,3036534.5278420737,,,,,,310.0,coal,TX,
92,48203,48,harrison,scope3,2395224.547772358,2395224.547772358,,,,,,270.0,coal,TX,
93,48293,48,limestone,scope3,14858569.787232,14858569.787232,,,,,,345.0,coal,TX,
