,FIPS,NERC Region
0,01023,SERC
1,01025,SERC
2,01047,SERC
3,01053,SERC
4,01091,SERC
5,01113,SERC
6,01131,SERC
7,05003,SERC
8,05041,SERC
9,05081,SERC
10,06079,WECC
11,06087,WECC
12,06109,WECC
13,08037,WECC
14,09013,NPCC
15,12047,SERC
16,12051,SERC
17,12123,SERC
18,13021,SERC
19,13039,SERC
20,13059,SERC
21,13099,SERC
22,13175,SERC
23,13179,SERC
24,13193,SERC
25,13215,SERC
26,13245,SERC
27,13305,SERC
28,16027,WECC
29,16065,WECC
30,16069,WECC
31,16083,WECC
32,17041,SERC
33,17091,RFC
34,17111,RFC
35,17113,RFC
36,17177,RFC
37,18001,RFC
38,18063,RFC
39,19045,MRO
40,19111,MRO
41,19135,MRO
42,19195,MRO
43,20147,MRO
44,21091,SERC
45,22011,SERC
46,22045,SERC
47,22049,SERC
48,22061,SERC
49,22069,MRO
50,22087,SERC
51,22117,SERC
52,22121,SERC
53,22125,SERC
54,23001,NPCC
55,23025,NPCC
56,23027,NPCC
57,24009,RFC
58,25011,NPCC
59,26003,MRO
60,26043,RFC
61,26073,RFC
62,26121,RFC
63,26151,RFC
64,27071,MRO
65,27075,MRO
66,27149,MRO
67,28077,SERC
68,28111,SERC
69,31141,MRO
70,31157,MRO
71,33011,NPCC
72,33017,NPCC
73,34031,RFC
74,35017,WECC
75,36027,NPCC
76,36077,NPCC
77,36113,NPCC
78,36117,NPCC
79,37017,SERC
80,37047,SERC
81,37061,SERC
82,37067,SERC
83,37087,SERC
84,37107,SERC
85,37117,SERC
86,37135,SERC
87,37147,SERC
88,38017,MRO
89,38067,MRO
90,39133,RFC
91,39141,RFC
92,40027,MRO
93,40089,MRO
94,40151,MRO
95,41003,WECC
96,41007,WECC
97,41019,WECC
98,41041,WECC
99,42013,RFC
100,42047,RFC
101,42049,RFC
102,42085,RFC
103,42119,RFC
104,45041,SERC
105,45045,SERC
106,45055,SERC
107,45069,SERC
108,45077,SERC
109,46083,MRO
110,47071,SERC
111,47093,SERC
112,47105,SERC
113,47107,SERC
114,47149,SERC
115,48067,MRO
116,48081,TRE
117,48211,MRO
