,FIPS,tonCO2e,tonCO2e_ref
134,01033,274.7339535821857,23.860770235832348
234,01053,249023.67194196812,21627.820449623076
245,01055,274.7339535821857,23.860770235832348
285,01063,937.8280887338276,81.45080087195544
337,01073,296462.8363058371,25747.933694845055
385,01081,9795.77902448096,850.7679139637365
462,01097,1014776.1522717766,88133.77558342292
553,01115,271.8177272287713,23.607494635684567
584,01121,1761.756995519347,153.00940540238787
611,01125,769946.8936890307,66870.24186331968
626,01127,271.8177272287713,23.607494635684567
663,02020,142802.2777887809,12402.443509598104
684,02090,158317.14934305582,13749.917240340535
700,02110,2431.853970448517,211.20763589423052
709,02122,592408.5235379937,51450.95275477196
716,02130,347.4077100640738,30.172519413461494
726,02170,403.6429131333087,35.056572666089366
733,02185,124283.09343141262,10794.04383003685
739,02261,104425.48514372556,9069.401416503057
765,04005,400.87033182702106,34.81577270435583
793,04013,6593.054157011313,572.609786091787
809,04015,1188.4067833913737,103.21367575967804
839,04019,3400.2957144848347,295.31724681032983
858,04021,1603.4813273080845,139.26309081742335
888,04025,801.7406636540421,69.63154540871166
905,04027,801.7406636540421,69.63154540871166
943,05007,829.783596754619,72.06708704718451
957,05009,264.25298481223894,22.95049327731356
980,05019,600.6395685470977,52.16582279978179
1013,05029,600.6395685470977,52.16582279978179
1036,05033,264.25298481223894,22.95049327731356
1069,05043,264.25298481223894,22.95049327731356
1077,05045,264.25298481223894,22.95049327731356
1119,05055,264.25298481223894,22.95049327731356
1136,05059,264.25298481223894,22.95049327731356
1159,05063,264.25298481223894,22.95049327731356
1169,05067,264.25298481223894,22.95049327731356
1179,05069,264.25298481223894,22.95049327731356
1204,05075,264.25298481223894,22.95049327731356
1225,05085,264.25298481223894,22.95049327731356
1255,05093,264.25298481223894,22.95049327731356
1279,05103,600.6395685470977,52.16582279978179
1331,05119,2976.24597988138,258.48833231319287
1409,05139,2250495.874913999,195456.60187919834
1417,05141,264.25298481223894,22.95049327731356
1427,05143,276.59453225153965,24.022362349061503
1443,05145,264.25298481223894,22.95049327731356
1468,06001,25137.653358147847,2183.2167565241843
1494,06007,3291.6359798508306,285.8800988780016
1530,06013,8484893.122576889,736916.8704254722
1553,06017,349.86719461523643,30.386126777999767
1571,06019,1958.279084030879,170.07743918233646
1630,06029,478330.0983262497,41543.18905337445
1656,06033,349.86719461523643,30.386126777999767
1673,06037,11092028.73902773,963347.797897927
1690,06039,699.7343892304729,60.772253555999534
1730,06045,349.86719461523643,30.386126777999767
1745,06047,1049.6015838457092,91.15838033399929
1754,06049,362.1983143233582,31.457090196498456
1767,06053,699.7343892304729,60.772253555999534
1782,06055,349.86719461523643,30.386126777999767
1798,06057,699.7343892304729,60.772253555999534
1818,06059,126736.45685725912,11007.119572025927
1839,06061,349.86719461523643,30.386126777999767
1852,06063,349.86719461523643,30.386126777999767
1864,06065,158059.31486027487,13727.524196916907
1884,06067,1399.468778460946,121.5445071119991
1916,06071,19415.848392121585,1686.2753634110989
1937,06073,6158.592564066878,534.8765969086752
1975,06077,1258.544694800406,109.30518562633692
1993,06079,235918.76244621896,20489.653032154936
2012,06081,1258.544694800406,109.30518562633692
2031,06083,27336.797993909862,2374.213479663407
2051,06085,12922.462287105727,1122.3217934786483
2071,06087,699.7343892304729,60.772253555999534
2086,06089,349.86719461523643,30.386126777999767
2111,06095,1349033.2490739047,117164.1581863001
2129,06097,349.86719461523643,30.386126777999767
2149,06099,1258.544694800406,109.30518562633692
2173,06103,349.86719461523643,30.386126777999767
2181,06105,349.86719461523643,30.386126777999767
2191,06107,349.86719461523643,30.386126777999767
2220,06111,349.86719461523643,30.386126777999767
2241,06113,349.86719461523643,30.386126777999767
2253,06115,349.86719461523643,30.386126777999767
2265,08001,1057692.7891999886,91861.10524066666
2292,08005,3047.6172184720544,264.68695721286116
2369,08031,433.066836460489,37.61205394094596
2424,08041,433.066836460489,37.61205394094596
