,State,FIPS,STATEFIPS,County,SUBRGN,lbCO2e_perkWh_elec,in.sqft,out.electricity.heating.energy_consumption,out.electricity.water_systems.energy_consumption,out.electricity.total.energy_consumption,out.natural_gas.heating.energy_consumption,out.natural_gas.interior_equipment.energy_consumption,out.natural_gas.water_systems.energy_consumption,out.other_fuel.heating.energy_consumption,out.other_fuel.water_systems.energy_consumption,out.district_cooling.total.energy_consumption,out.district_heating.total.energy_consumption,out.natural_gas.total.energy_consumption,out.other_fuel.total.energy_consumption,weight,derived.electricity.general.energy_consumption,lbCO2e_elec_heat,lbCO2e_elec_water,lbCO2e_elec_general,lbCO2e_elec_total,lbCO2e_ng_heat,lbCO2e_ng_water,lbCO2e_ng_intequip,lbCO2e_ng_total,lbCO2e_dist_heat,lbCO2e_dist_cool,lbCO2e_other_heat,lbCO2e_other_water,lbCO2e_other_total,lbCO2e_elec_heat_w,lbCO2e_elec_water_w,lbCO2e_elec_general_w,lbCO2e_elec_total_w,lbCO2e_ng_heat_w,lbCO2e_ng_water_w,lbCO2e_ng_intequip_w,lbCO2e_ng_total_w,lbCO2e_dist_heat_w,lbCO2e_dist_cool_w,lbCO2e_other_heat_w,lbCO2e_other_water_w,lbCO2e_other_total_w,lbCO2e_heat_total_w,lbCO2e_water_total_w,lbCO2e_total_w,tonCO2e_total_w,POP,lbCO2e_percapita_w,lbCO2e_percapita_w_log10,tonCO2e_percapita_w,tonCO2e_percapita_w_log10,Emp,lbCO2e_peremp_w,tonCO2e_peremp_w,lbCO2e_peremp_w_log10,tonCO2e_peremp_w_log10,tonCO2e_total_w_log10
0,AK,02013,02,aleutians east,AKMS,0.504854,7500.0,156397.22222222222,0.0,273916.66666666674,0.0,17429.16520896556,46533.31616338862,0.0,0.0,0.0,0.0,63962.48137235418,0.0,2.904176348301364,117519.44444444453,78957.76322777777,0.0,59330.1616055556,138287.92483333338,0.0,18521.48467079771,6937.266519093245,25458.751189890954,0.0,0.0,0.0,0.0,0.0,229307.26848089136,0.0,172305.25207575224,401612.5205566436,0.0,53789.657716356975,20147.045346613533,73936.70306297051,0.0,0.0,0.0,0.0,0.0,229307.26848089136,53789.657716356975,475549.22361961415,237.77461180980708,3515,135.2913865205161,2.1312701476272755,0.06764569326025806,-1.1697598480367057,326.5,1456.5060447767662,0.7282530223883831,3.1633122913720255,-0.1377177042919557,2.376165481319137
1,AK,02016,02,aleutians west,AKMS,0.504854,17500.0,0.0,56941.66666666666,253083.33333333328,330734.7948106016,68347.54381100246,0.0,0.0,0.0,0.0,0.0,399082.338621604,0.0,1.9479713658877116,196141.66666666663,0.0,28747.22818333333,99022.90498333331,127770.13316666665,131641.1538493263,0.0,27204.12146293879,158845.27531226506,0.0,0.0,0.0,0.0,0.0,0.0,55998.77734977354,192893.78347455288,248892.56082432644,256433.19827090655,0.0,52992.84964393609,309426.04791484255,0.0,0.0,0.0,0.0,0.0,256433.19827090655,55998.77734977354,558318.608739169,279.1593043695845,5723,97.55698213160387,1.9892583572027493,0.04877849106580194,-1.3117716384612317,965.0,578.56850646546,0.28928425323273005,2.762354789767346,-0.5386752058966353,2.4458521074471573
2,AK,02020,02,anchorage,AKGD,1.07727,13290500.0,28760450.0,12348588.888888888,183853230.55555555,49002142.418824926,28835295.80575429,13865759.051847076,5484311.107888275,1604694.4435014513,0.0,194883.9497353662,91703197.2764263,7089005.551389726,1378.9006290913567,142744191.66666666,30982769.971499998,13302764.352333333,153774035.35674998,198059569.68058333,19504142.504259896,5518937.0735158585,11477206.725799438,36500286.303575195,77568.94167899434,0.0,3058680.1030355482,894961.4398661464,3953641.542901695,189201734.74451134,51697285.49943158,732871128.0563774,973770148.3003203,86828942.50388457,25445442.661451258,47083880.4566018,159358289.51703846,222006.88838120183,0.0,10681634.542560648,5264669.586428614,15946304.128989263,286934318.67933774,82407397.74731146,1149296748.8347292,574648.3744173646,291538,3942.1850627867693,3.5957370080359095,1.9710925313933847,0.2947070123719282,106692.5,10772.048164910648,5.386024082455323,4.032298286598752,0.7312682909347704,5.759402182495181
3,AK,02050,02,bethel,AKMS,0.504854,152500.0,1747072.2222222222,147880.55555555556,2949205.555555556,0.0,95757.65544460509,35874.75401042337,783072.2217620526,0.0,0.0,0.0,131635.18656866916,783072.2217620526,42.72069371745824,1054252.7777777782,882016.3996777779,74658.08999444444,532243.7318722225,1488918.2215444448,0.0,14279.096382034182,38114.067374897095,52394.26912125874,0.0,0.0,436730.7719830807,0.0,436730.7719830807,3958250.4989810684,546894.1140944731,3381843.768576,7886988.381651541,0.0,86972.94782946905,290278.0368504837,377259.3196235083,0.0,0.0,5008113.934733195,0.0,5008113.934733195,8966364.433714263,633867.0619239421,13272361.636008246,6636.180818004123,18216,728.6101029868382,2.8624951889221126,0.36430505149341913,-0.4385348067418688,4526.5,2932.146611290897,1.4660733056454485,3.467185681822685,0.1661556861587039,3.8219182108652174
4,AK,02060,02,bristol bay,AKMS,0.504854,3000.0,0.0,30369.44444444444,91250.0,116933.1469548604,24319.184151515525,0.0,0.0,0.0,0.0,0.0,141252.33110637593,0.0,1.9479713658877116,60880.55555555556,0.0,15332.135505555554,30735.791994444447,46067.927500000005,46542.47037172405,0.0,9679.675415503434,56222.145787227484,0.0,0.0,0.0,0.0,0.0,0.0,29866.560942732533,59872.44271305854,89739.00365579108,90663.39958179565,0.0,18855.730540487926,109519.13012228358,0.0,0.0,0.0,0.0,0.0,90663.39958179565,29866.560942732533,199258.13377807464,99.62906688903732,877,227.2042574436427,2.3564164650977726,0.11360212872182135,-0.9446135305662084,316.0,630.563714487578,0.315281857243789,2.7997289758454094,-0.5013010198185718,1.998386062799832
5,AK,02068,02,denali,AKGD,1.07727,43500.0,0.0,8394.444444444443,447186.1111111111,50923.93282931828,138239.16280622812,11572.232540751993,0.0,0.0,220738.87773018284,935404.079138788,200732.55106265767,0.0,12.519044496070148,438791.6666666667,0.0,9043.083166666665,472697.09874999995,481740.1819166666,20269.065672500452,4606.053152495468,55022.82549194129,79896.83895260975,372315.44495858846,237795.37081239405,0.0,0.0,0.0,0.0,17615.667068007835,3122424.3298760788,3140039.996944086,39483.55954332843,8972.459650817997,388933.573223744,437387.4391998316,2807425.69805742,1793083.9129493078,0.0,0.0,0.0,2846909.2576007484,26588.12671882583,8177937.047150646,4088.968523575323,2059,3971.800411437905,3.5989874164625597,1.9859002057189525,0.29795742079857845,289.5,28248.48720950137,14.124243604750685,4.4509951950171365,1.1499651993531548,3.61161376741661
6,AK,02070,02,dillingham,AKMS,0.504854,35000.0,612738.8888888889,89680.55555555556,1135336.111111111,0.0,77128.77714286179,7059.422874632004,0.0,0.0,0.0,0.0,84188.20001749379,0.0,6.115777380258864,432916.6666666666,309343.67901111115,45275.58719444445,218559.71083333332,573178.977038889,0.0,2809.836120384804,30699.28346634428,33509.11958672908,0.0,0.0,0.0,0.0,0.0,888384.7565187409,98882.59469180847,604999.6950455746,1592267.046256124,0.0,11710.85188193709,66178.55910619599,77889.41098813307,0.0,0.0,0.0,0.0,0.0,888384.7565187409,110593.44657374556,1670156.457244257,835.0782286221286,5000,334.0312914488514,2.5237871526409585,0.1670156457244257,-0.7772428430230227,679.0,2459.7296866631177,1.229864843331559,3.3908873826964756,0.08985738703249443,2.921727161312996
7,AK,02090,02,fairbanks north star,AKGD,1.07727,2057000.0,3947594.4444444445,1737177.7777777778,24740038.888888888,15695168.7770829,3483161.458470769,1259279.4032568873,0.0,0.0,0.0,0.0,20437612.415924195,0.0,258.2944924979282,19055266.666666668,4252625.0671666665,1871409.5046666667,20527667.122,26651701.693833333,6247090.297403699,501226.34891910653,1386389.9433356393,8134707.695022772,0.0,0.0,0.0,0.0,0.0,26137134.42962992,8533152.201539878,93985012.23531742,128655298.8664872,26812557.87191057,4101684.9500963255,9121648.801168468,40035917.49297395,0.0,0.0,0.0,0.0,0.0,52949692.30154049,12634837.151636202,168691216.35946116,84345.60817973058,98971,1704.450964014319,3.2315845113646575,0.8522254820071595,-0.06944548429932355,21189.5,7961.075832816308,3.9805379164081542,3.900971760788464,0.5999417651244829,4.926062474086202
8,AK,02100,02,haines,AKMS,0.504854,35000.0,494180.5555555556,97044.44444444444,1060622.222222222,0.0,49263.21887218611,0.0,0.0,0.0,1002.5380242888094,0.0,49263.21887218611,0.0,7.071982362672516,469397.222222222,249489.03019444447,48993.27595555556,236977.0652277777,535459.3713777778,0.0,0.0,19608.05780468372,19608.05780468372,0.0,506.1353317143026,0.0,0.0,0.0,882085.5718986902,150488.06760828182,766674.9036584772,1799248.5431654493,0.0,0.0,60263.985979107674,60263.985979107674,0.0,2109.4738796046086,0.0,0.0,0.0,882085.5718986902,150488.06760828182,1861622.0030241616,930.8110015120808,2474,752.4745363881009,2.87649180806223,0.37623726819405046,-0.4245381876017512,333.0,5590.456465538023,2.7952282327690114,3.7474472698490118,0.44641727418503074,2.9688615076913507
9,AK,02110,02,juneau,AKMS,0.504854,715000.0,3266441.666666667,263716.6666666667,11008872.222222222,2179028.89280311,1905363.7833086723,1079064.1677716416,27594.44442822866,361186.11089886137,0.0,0.0,5163456.843883424,388780.55532709,65.6120358008893,7478713.888888889,1649076.1411833335,133138.41403333336,3775658.6216611112,5557873.176877778,867310.855163844,429495.9416177175,758384.9382436712,2055191.7350252324,0.0,0.0,15389.823164033127,201438.74940102032,216828.57256505344,11394434.393474301,763185.0060463442,15471731.027961403,27629350.42748205,3102390.5127231143,836645.7960362941,2304495.815675067,6243532.124434475,0.0,0.0,108371.14444275101,1517351.730255758,1625722.874698509,14605196.050640168,3117182.532338396,35498605.42661504,17749.302713307516,32113,1105.4278773896876,3.0435304127008393,0.5527139386948436,-0.25749958296314185,10339.5,3433.3000074099364,1.716650003704968,3.535711754451079,0.2346817587870977,4.249181296336966
10,AK,02122,02,kenai peninsula,AKGD,1.07727,1306500.0,2413588.888888889,1404325.0,17408341.666666668,13585003.97122796,3179023.0809970484,1106707.556951062,268086.1109535713,0.0,25838.265312972526,506912.1070622851,17870731.832062427,268086.1109535713,228.24553358064355,13590427.777777778,2600086.9023333336,1512837.19275,14640560.132166665,18753484.22725,5407189.161467699,440498.73813318176,1265334.8636503278,7113021.65788688,201764.36141859912,27834.788073705913,149515.52480209398,0.0,149515.52480209398,10828332.10939647,6001019.292949043,55143673.35922575,71973024.76157127,24641000.312662605,2160757.055508931,6785133.720467555,33586890.33219218,2273734.3959940253,134705.96571489266,291251.96107015305,0.0,291251.96107015305,38034318.779123254,8161776.348457974,108259607.41654253,54129.80370827126,58533,1849.5482448625994,3.2670656642290474,0.9247741224312996,-0.033964331434933596,10941.5,9894.402725087286,4.947201362543642,3.995389583178318,0.6943595875143368,4.733436452205246
11,AK,02130,02,ketchikan gateway,AKMS,0.504854,123500.0,322283.3333333334,164141.66666666666,1817994.4444444445,294274.0698219928,222130.21166416814,12077.66722335743,0.0,0.0,0.0,0.0,528481.9487095183,0.0,43.7128200663829,1331569.4444444445,162706.02996666668,82867.57698333333,672248.1603055556,917821.7672555557,117128.82559419959,4807.229460091861,88413.67109563292,210349.72614992436,0.0,0.0,0.0,0.0,0.0,345116.1274988005,185989.68439303892,1915021.1842713503,2446126.99616319,486801.9743380676,9364.34533751079,172227.29964730697,668393.6193228853,0.0,0.0,0.0,0.0,0.0,831918.1018368681,195354.02973054972,3114520.615486075,1557.2603077430376,13918,223.7764488781488,2.3498143777219656,0.11188822443907441,-0.9512156179420155,5227.0,595.8524230889756,0.2979262115444878,2.7751387097832114,-0.5258912858807699,3.1923612142169806
12,AK,02150,02,kodiak island,AKMS,0.504854,110000.0,2039608.3333333333,44722.22222222222,2913186.111111111,0.0,73435.21600074512,72968.66090910933,0.0,0.0,0.0,0.0,146406.65402349512,0.0,18.665709690376765,828855.5555555556,1029704.4255166667,22578.192777777775,418451.0426444445,1470733.660938889,0.0,29043.44770382011,29229.148910832166,58273.701978979734,0.0,0.0,0.0,0.0,0.0,10590053.589311505,216101.0784864238,3449542.25272143,14255696.92051936,0.0,333049.3395226826,317032.59558501956,650094.6106296631,0.0,0.0,0.0,0.0,0.0,10590053.589311505,549150.4180091064,14905791.53114902,7452.895765574511,13345,1116.957027437169,3.0480364648739697,0.5584785137185846,-0.2529935307900113,2253.0,6615.974936151363,3.3079874680756816,3.8205938512736655,0.5195638556096843,3.8723250473335153
13,AK,02164,02,lake and peninsula,AKMS,0.504854,8500.0,208433.33333333328,8994.444444444445,328094.44444444444,83779.96431231247,3410.295550766366,1805.1238664479947,0.0,0.0,0.0,0.0,88995.38372952683,0.0,8.335612028742304,110666.66666666669,105228.40206666665,4540.881255555556,55870.50933333335,165639.79265555556,33346.63103059353,718.4868128442653,1357.3873941119352,35422.50523754974,0.0,0.0,0.0,0.0,0.0,438571.567016119,18925.512207449672,232857.4448254463,690354.524049015,138982.2893683234,2994.513659818689,5657.327345011309,147634.13037315343,0.0,0.0,0.0,0.0,0.0,577553.8563844424,21920.025867268363,837988.6544221685,418.9943272110842,1587,528.0331785898983,2.72266121197662,0.2640165892949491,-0.5783687836873617,410.0,2043.8747668833378,1.0219373834416687,3.310454282011732,0.009424286347751004,2.6222081430674864
