,FIPS,Emp,ind_name
0,01001,,hospital
1,01003,2282.75,hospital
2,01005,,hospital
3,01007,,hospital
4,01009,,hospital
5,01011,,hospital
6,01013,,hospital
7,01015,1793.5,hospital
8,01017,,hospital
9,01019,,hospital
10,01021,,hospital
11,01023,,hospital
12,01025,,hospital
13,01027,271.0,hospital
14,01031,,hospital
15,01033,1186.25,hospital
16,01035,,hospital
17,01037,,hospital
18,01039,,hospital
19,01041,,hospital
20,01043,,hospital
21,01045,,hospital
22,01047,,hospital
23,01049,,hospital
24,01051,,hospital
25,01053,465.75,hospital
26,01055,2008.75,hospital
27,01057,,hospital
28,01059,302.0,hospital
29,01061,,hospital
30,01063,,hospital
31,01065,,hospital
32,01069,4626.75,hospital
33,01071,,hospital
34,01073,24892.75,hospital
35,01077,,hospital
36,01079,173.0,hospital
37,01081,,hospital
38,01083,,hospital
39,01089,8771.75,hospital
40,01091,,hospital
41,01093,476.0,hospital
42,01095,,hospital
43,01097,7411.5,hospital
44,01099,,hospital
45,01101,5263.75,hospital
46,01103,1125.25,hospital
47,01107,,hospital
48,01109,,hospital
49,01111,,hospital
50,01113,,hospital
51,01115,,hospital
52,01117,1359.75,hospital
53,01119,,hospital
54,01121,954.0,hospital
55,01123,711.25,hospital
56,01125,4855.5,hospital
57,01127,,hospital
58,01129,,hospital
59,01131,,hospital
60,01133,78.0,hospital
61,02020,7198.0,hospital
62,02063,,hospital
63,02070,,hospital
64,02090,1967.0,hospital
65,02110,,hospital
66,02122,1179.5,hospital
67,02130,,hospital
68,02150,,hospital
69,02158,0.0,hospital
70,02170,615.0,hospital
71,02185,,hospital
72,02195,,hospital
73,02220,,hospital
74,02275,,hospital
75,04001,1181.25,hospital
76,04003,1166.75,hospital
77,04005,3440.5,hospital
78,04007,876.75,hospital
79,04009,,hospital
80,04012,,hospital
81,04013,62029.5,hospital
82,04015,2936.5,hospital
83,04017,,hospital
84,04019,14692.5,hospital
85,04021,2584.25,hospital
86,04025,2439.5,hospital
87,04027,2326.25,hospital
88,05001,,hospital
89,05003,,hospital
90,05005,,hospital
91,05007,2771.0,hospital
92,05009,,hospital
93,05011,,hospital
94,05015,,hospital
95,05017,,hospital
96,05019,,hospital
97,05021,,hospital
98,05023,,hospital
99,05027,,hospital
100,05029,,hospital
101,05031,3416.0,hospital
102,05033,,hospital
103,05035,,hospital
104,05037,,hospital
105,05039,,hospital
106,05041,,hospital
107,05043,366.0,hospital
108,05045,1400.0,hospital
109,05047,,hospital
110,05049,,hospital
111,05051,2007.0,hospital
112,05055,,hospital
113,05057,,hospital
114,05059,,hospital
115,05061,,hospital
116,05063,1570.5,hospital
117,05065,,hospital
118,05067,,hospital
119,05069,,hospital
120,05071,,hospital
121,05075,,hospital
122,05081,,hospital
123,05083,,hospital
124,05093,,hospital
125,05103,,hospital
126,05107,,hospital
127,05113,,hospital
128,05115,,hospital
129,05119,26358.5,hospital
130,05121,,hospital
131,05123,,hospital
132,05125,1241.0,hospital
133,05127,,hospital
134,05131,3814.5,hospital
135,05133,,hospital
136,05137,,hospital
137,05139,,hospital
138,05143,4239.0,hospital
139,05145,1540.5,hospital
140,05149,,hospital
141,06001,24516.25,hospital
142,06005,,hospital
143,06007,6718.0,hospital
144,06009,,hospital
145,06013,13863.0,hospital
146,06015,,hospital
147,06017,1395.25,hospital
148,06019,16324.0,hospital
149,06023,1743.0,hospital
150,06025,1816.75,hospital
151,06027,,hospital
152,06029,10319.5,hospital
153,06031,1808.25,hospital
