State,Current Vintage,Start Quarter,End Quarter,Last Loaded,Notes
AK,V4.8.1 R2022Q1,2000 Q1,2016 Q2,3/3/2022 6:52,
AL,V4.8.1 R2022Q1,2001 Q1,2021 Q2,2/3/2022 21:15,
AR,V4.8.1 R2022Q1,2002 Q3,2018 Q2,3/3/2022 11:02,
AZ,V4.8.1 R2022Q1,2004 Q1,2021 Q2,2/16/2022 1:15,
CA,V4.8.1 R2022Q1,1991 Q3,2021 Q2,2/2/2022 2:50,
CO,V4.8.1 R2022Q1,1993 Q2,2021 Q2,3/3/2022 6:13,
CT,V4.8.1 R2022Q1,1996 Q1,2021 Q2,1/27/2022 13:32,
DC,V4.8.1 R2022Q1,2005 Q2,2021 Q2,2/15/2022 3:48,
DE,V4.8.1 R2022Q1,1998 Q3,2021 Q2,3/10/2022 0:35,
FL,V4.8.1 R2022Q1,1997 Q4,2021 Q2,2/1/2022 19:41,
GA,V4.8.1 R2022Q1,1998 Q1,2021 Q2,2/4/2022 3:10,
HI,V4.8.1 R2022Q1,1995 Q4,2021 Q2,1/27/2022 14:20,
IA,V4.9.0 R2022Q2,1998 Q4,2021 Q3,4/14/2022 7:13,
ID,V4.8.1 R2022Q1,1991 Q1,2021 Q2,3/1/2022 2:41,
IL,V4.8.1 R2022Q1,1993 Q2,2021 Q2,1/27/2022 12:22,
IN,V4.8.1 R2022Q1,1998 Q1,2021 Q2,3/1/2022 7:11,
KS,V4.8.1 R2022Q1,1993 Q1,2020 Q4,2/26/2022 3:52,
KY,V4.8.1 R2022Q1,2001 Q1,2021 Q2,2/15/2022 3:34,
LA,V4.8.1 R2022Q1,1995 Q1,2021 Q2,2/16/2022 6:26,
MA,V4.8.1 R2022Q1,2010 Q1,2021 Q2,2/17/2022 5:13,
MD,V4.8.1 R2022Q1,1990 Q1,2021 Q2,3/3/2022 2:35,
ME,V4.8.1 R2022Q1,1996 Q2,2021 Q2,2/3/2022 18:33,
MI,V4.8.1 R2022Q1,2000 Q3,2021 Q2,2/1/2022 15:03,
MN,V4.8.1 R2022Q1,1994 Q3,2021 Q2,1/27/2022 18:58,
MO,V4.9.0 R2022Q2,1995 Q1,2021 Q3,4/16/2022 5:12,
MS,V4.8.1 R2022Q1,2003 Q3,2018 Q2,3/3/2022 8:45,
MT,V4.8.1 R2022Q1,1993 Q1,2021 Q2,2/15/2022 5:48,
NC,V4.8.1 R2022Q1,1992 Q4,2021 Q2,1/27/2022 6:32,
ND,V4.9.0 R2022Q2,1998 Q1,2021 Q3,4/16/2022 6:53,
NE,V4.8.1 R2022Q1,1999 Q1,2021 Q2,2/5/2022 2:31,
NH,V4.8.1 R2022Q1,2003 Q1,2021 Q2,2/16/2022 7:31,
NJ,V4.8.1 R2022Q1,1996 Q1,2021 Q2,2/5/2022 7:31,
NM,V4.8.1 R2022Q1,1995 Q3,2021 Q2,2/4/2022 5:06,
NV,V4.8.1 R2022Q1,1998 Q1,2021 Q2,2/5/2022 17:19,
NY,V4.8.1 R2022Q1,2000 Q1,2021 Q2,2/9/2022 4:12,
OH,V4.8.1 R2022Q1,2000 Q1,2021 Q2,2/17/2022 4:24,
OK,V4.8.1 R2022Q1,2000 Q1,2021 Q2,2/5/2022 5:22,
OR,V4.8.1 R2022Q1,1991 Q1,2021 Q2,2/5/2022 14:23,
PA,V4.8.1 R2022Q1,1997 Q1,2021 Q2,2/17/2022 10:53,
RI,V4.8.1 R2022Q1,1995 Q1,2021 Q2,2/17/2022 5:52,
SC,V4.8.1 R2022Q1,1998 Q1,2021 Q2,2/9/2022 6:50,
SD,V4.9.0 R2022Q2,1998 Q1,2021 Q3,4/15/2022 3:07,
TN,V4.8.1 R2022Q1,1998 Q1,2021 Q2,2/5/2022 11:24,
TX,V4.8.1 R2022Q1,1995 Q1,2021 Q2,2/3/2022 13:22,
US,V4.8.1 R2022Q1,1993 Q1,2021 Q1,3/16/2022 0:05,
UT,V4.8.1 R2022Q1,1999 Q3,2021 Q2,2/8/2022 1:34,
VA,V4.8.1 R2022Q1,1998 Q3,2021 Q2,2/5/2022 21:55,
VT,V4.9.0 R2022Q2,2000 Q1,2021 Q3,4/15/2022 1:14,
WA,V4.8.1 R2022Q1,1990 Q1,2021 Q2,2/1/2022 10:46,
WI,V4.8.1 R2022Q1,1990 Q1,2021 Q2,2/16/2022 12:37,
WV,V4.8.1 R2022Q1,1997 Q1,2021 Q2,2/3/2022 2:27,
WY,V4.8.1 R2022Q1,2001 Q1,2021 Q2,2/8/2022 2:35,
