,state,county,year,industry,sex,agegrp,Emp,FIPS
0,01,001,2016,31-33,0,A00,1527.25,01001
1,01,003,2016,31-33,0,A00,3937.25,01003
2,01,005,2016,31-33,0,A00,2390.25,01005
3,01,007,2016,31-33,0,A00,328.5,01007
4,01,009,2016,31-33,0,A00,1189.5,01009
5,01,011,2016,31-33,0,A00,831.25,01011
6,01,013,2016,31-33,0,A00,1373.75,01013
7,01,015,2016,31-33,0,A00,6387.75,01015
8,01,017,2016,31-33,0,A00,2186.25,01017
9,01,019,2016,31-33,0,A00,1076.75,01019
10,01,021,2016,31-33,0,A00,2036.25,01021
11,01,023,2016,31-33,0,A00,856.25,01023
12,01,025,2016,31-33,0,A00,1517.75,01025
13,01,027,2016,31-33,0,A00,2028.25,01027
14,01,029,2016,31-33,0,A00,352.0,01029
15,01,031,2016,31-33,0,A00,3474.0,01031
16,01,033,2016,31-33,0,A00,6311.5,01033
17,01,035,2016,31-33,0,A00,576.75,01035
18,01,037,2016,31-33,0,A00,571.25,01037
19,01,039,2016,31-33,0,A00,2180.75,01039
20,01,041,2016,31-33,0,A00,1269.0,01041
21,01,043,2016,31-33,0,A00,5671.75,01043
22,01,045,2016,31-33,0,A00,4477.75,01045
23,01,047,2016,31-33,0,A00,3003.5,01047
24,01,049,2016,31-33,0,A00,6783.5,01049
25,01,051,2016,31-33,0,A00,2715.0,01051
26,01,053,2016,31-33,0,A00,2098.0,01053
27,01,055,2016,31-33,0,A00,5582.25,01055
28,01,057,2016,31-33,0,A00,941.25,01057
29,01,059,2016,31-33,0,A00,4278.5,01059
30,01,061,2016,31-33,0,A00,819.75,01061
31,01,063,2016,31-33,0,A00,411.5,01063
32,01,065,2016,31-33,0,A00,605.25,01065
33,01,067,2016,31-33,0,A00,403.0,01067
34,01,069,2016,31-33,0,A00,3726.75,01069
35,01,071,2016,31-33,0,A00,5712.5,01071
36,01,073,2016,31-33,0,A00,23653.5,01073
37,01,075,2016,31-33,0,A00,1110.0,01075
38,01,077,2016,31-33,0,A00,2825.5,01077
39,01,079,2016,31-33,0,A00,148.5,01079
40,01,081,2016,31-33,0,A00,6842.25,01081
41,01,083,2016,31-33,0,A00,3677.25,01083
42,01,085,2016,31-33,0,A00,897.25,01085
43,01,087,2016,31-33,0,A00,362.0,01087
44,01,089,2016,31-33,0,A00,20313.25,01089
45,01,091,2016,31-33,0,A00,1315.5,01091
46,01,093,2016,31-33,0,A00,3409.25,01093
47,01,095,2016,31-33,0,A00,11380.0,01095
48,01,097,2016,31-33,0,A00,18900.0,01097
49,01,099,2016,31-33,0,A00,1136.5,01099
50,01,101,2016,31-33,0,A00,13998.5,01101
51,01,103,2016,31-33,0,A00,13341.75,01103
52,01,105,2016,31-33,0,A00,450.0,01105
53,01,107,2016,31-33,0,A00,877.5,01107
54,01,109,2016,31-33,0,A00,2776.5,01109
55,01,111,2016,31-33,0,A00,1207.0,01111
56,01,113,2016,31-33,0,A00,2707.25,01113
57,01,115,2016,31-33,0,A00,3330.25,01115
58,01,117,2016,31-33,0,A00,5273.0,01117
59,01,119,2016,31-33,0,A00,350.25,01119
60,01,121,2016,31-33,0,A00,9708.5,01121
61,01,123,2016,31-33,0,A00,2676.5,01123
62,01,125,2016,31-33,0,A00,14771.75,01125
63,01,127,2016,31-33,0,A00,1965.5,01127
64,01,129,2016,31-33,0,A00,1010.0,01129
65,01,131,2016,31-33,0,A00,721.5,01131
66,01,133,2016,31-33,0,A00,2872.5,01133
67,02,013,2016,31-33,0,A00,556.0,02013
68,02,016,2016,31-33,0,A00,1910.5,02016
69,02,020,2016,31-33,0,A00,1923.0,02020
70,02,050,2016,31-33,0,A00,207.0,02050
71,02,060,2016,31-33,0,A00,41.5,02060
72,02,063,2016,31-33,0,A00,222.0,02063
73,02,066,2016,31-33,0,A00,,02066
74,02,070,2016,31-33,0,A00,29.5,02070
75,02,090,2016,31-33,0,A00,610.5,02090
76,02,100,2016,31-33,0,A00,77.0,02100
77,02,105,2016,31-33,0,A00,,02105
78,02,110,2016,31-33,0,A00,180.0,02110
79,02,122,2016,31-33,0,A00,574.0,02122
80,02,130,2016,31-33,0,A00,2463.5,02130
81,02,150,2016,31-33,0,A00,1492.0,02150
82,02,158,2016,31-33,0,A00,,02158
83,02,164,2016,31-33,0,A00,,02164
84,02,170,2016,31-33,0,A00,302.0,02170
85,02,180,2016,31-33,0,A00,20.0,02180
86,02,185,2016,31-33,0,A00,,02185
87,02,195,2016,31-33,0,A00,484.0,02195
88,02,198,2016,31-33,0,A00,110.0,02198
89,02,220,2016,31-33,0,A00,394.0,02220
90,02,230,2016,31-33,0,A00,13.0,02230
91,02,240,2016,31-33,0,A00,33.0,02240
92,02,275,2016,31-33,0,A00,215.0,02275
93,02,282,2016,31-33,0,A00,,02282
94,02,290,2016,31-33,0,A00,,02290
95,04,001,2016,31-33,0,A00,74.25,04001
96,04,003,2016,31-33,0,A00,591.0,04003
97,04,005,2016,31-33,0,A00,4767.5,04005
98,04,007,2016,31-33,0,A00,1235.25,04007
99,04,009,2016,31-33,0,A00,271.0,04009
100,04,012,2016,31-33,0,A00,146.25,04012
101,04,013,2016,31-33,0,A00,117873.0,04013
102,04,015,2016,31-33,0,A00,3052.25,04015
103,04,017,2016,31-33,0,A00,337.5,04017
104,04,019,2016,31-33,0,A00,24138.5,04019
105,04,021,2016,31-33,0,A00,3382.75,04021
106,04,023,2016,31-33,0,A00,553.25,04023
107,04,025,2016,31-33,0,A00,3747.0,04025
108,04,027,2016,31-33,0,A00,2365.5,04027
109,05,001,2016,31-33,0,A00,3760.5,05001
110,05,003,2016,31-33,0,A00,1782.0,05003
111,05,005,2016,31-33,0,A00,2478.25,05005
112,05,007,2016,31-33,0,A00,11820.5,05007
113,05,009,2016,31-33,0,A00,1850.75,05009
114,05,011,2016,31-33,0,A00,751.5,05011
115,05,013,2016,31-33,0,A00,615.5,05013
116,05,015,2016,31-33,0,A00,3555.75,05015
117,05,017,2016,31-33,0,A00,26.75,05017
118,05,019,2016,31-33,0,A00,1235.0,05019
