,state,county,year,industry,sex,agegrp,Emp,FIPS
0,01,001,2018,424,0,A00,,01001
1,01,003,2018,424,0,A00,572.5,01003
2,01,005,2018,424,0,A00,28.0,01005
3,01,007,2018,424,0,A00,13.5,01007
4,01,009,2018,424,0,A00,58.5,01009
5,01,011,2018,424,0,A00,,01011
6,01,013,2018,424,0,A00,76.75,01013
7,01,015,2018,424,0,A00,486.25,01015
8,01,017,2018,424,0,A00,8.25,01017
9,01,019,2018,424,0,A00,90.25,01019
10,01,021,2018,424,0,A00,326.25,01021
11,01,023,2018,424,0,A00,30.0,01023
12,01,025,2018,424,0,A00,49.0,01025
13,01,031,2018,424,0,A00,208.0,01031
14,01,033,2018,424,0,A00,363.5,01033
15,01,035,2018,424,0,A00,,01035
16,01,037,2018,424,0,A00,,01037
17,01,039,2018,424,0,A00,368.25,01039
18,01,041,2018,424,0,A00,127.5,01041
19,01,043,2018,424,0,A00,286.0,01043
20,01,045,2018,424,0,A00,28.5,01045
21,01,047,2018,424,0,A00,133.5,01047
22,01,049,2018,424,0,A00,185.0,01049
23,01,051,2018,424,0,A00,46.5,01051
24,01,053,2018,424,0,A00,136.0,01053
25,01,055,2018,424,0,A00,401.0,01055
26,01,057,2018,424,0,A00,5.0,01057
27,01,059,2018,424,0,A00,28.5,01059
28,01,061,2018,424,0,A00,247.75,01061
29,01,063,2018,424,0,A00,,01063
30,01,065,2018,424,0,A00,,01065
31,01,067,2018,424,0,A00,,01067
32,01,069,2018,424,0,A00,990.5,01069
33,01,071,2018,424,0,A00,263.75,01071
34,01,073,2018,424,0,A00,5134.25,01073
35,01,077,2018,424,0,A00,666.5,01077
36,01,079,2018,424,0,A00,69.0,01079
37,01,081,2018,424,0,A00,310.25,01081
38,01,083,2018,424,0,A00,275.5,01083
39,01,085,2018,424,0,A00,64.0,01085
40,01,087,2018,424,0,A00,,01087
41,01,089,2018,424,0,A00,1025.75,01089
42,01,091,2018,424,0,A00,62.0,01091
43,01,093,2018,424,0,A00,125.25,01093
44,01,095,2018,424,0,A00,591.5,01095
45,01,097,2018,424,0,A00,2298.0,01097
46,01,099,2018,424,0,A00,271.25,01099
47,01,101,2018,424,0,A00,1917.5,01101
48,01,103,2018,424,0,A00,392.0,01103
49,01,105,2018,424,0,A00,,01105
50,01,107,2018,424,0,A00,,01107
51,01,109,2018,424,0,A00,78.0,01109
52,01,111,2018,424,0,A00,50.5,01111
53,01,113,2018,424,0,A00,113.25,01113
54,01,115,2018,424,0,A00,120.5,01115
55,01,117,2018,424,0,A00,1633.25,01117
56,01,119,2018,424,0,A00,32.25,01119
57,01,121,2018,424,0,A00,115.0,01121
58,01,123,2018,424,0,A00,0.0,01123
59,01,125,2018,424,0,A00,295.5,01125
60,01,127,2018,424,0,A00,127.75,01127
61,01,129,2018,424,0,A00,,01129
62,01,131,2018,424,0,A00,,01131
63,01,133,2018,424,0,A00,33.75,01133
64,02,016,2016,424,0,A00,29.0,02016
65,02,020,2016,424,0,A00,2400.0,02020
66,02,050,2016,424,0,A00,27.5,02050
67,02,066,2016,424,0,A00,,02066
68,02,070,2016,424,0,A00,,02070
69,02,090,2016,424,0,A00,331.0,02090
70,02,105,2016,424,0,A00,,02105
71,02,110,2016,424,0,A00,104.0,02110
72,02,122,2016,424,0,A00,82.5,02122
73,02,130,2016,424,0,A00,83.0,02130
74,02,150,2016,424,0,A00,,02150
75,02,158,2016,424,0,A00,,02158
76,02,170,2016,424,0,A00,39.5,02170
77,02,180,2016,424,0,A00,0.0,02180
78,02,195,2016,424,0,A00,0.0,02195
79,02,220,2016,424,0,A00,18.5,02220
80,02,240,2016,424,0,A00,,02240
81,02,290,2016,424,0,A00,,02290
82,04,001,2018,424,0,A00,32.75,04001
83,04,003,2018,424,0,A00,176.5,04003
84,04,005,2018,424,0,A00,471.0,04005
85,04,007,2018,424,0,A00,25.75,04007
86,04,009,2018,424,0,A00,56.75,04009
87,04,011,2018,424,0,A00,5.75,04011
88,04,012,2018,424,0,A00,37.5,04012
89,04,013,2018,424,0,A00,25036.0,04013
90,04,015,2018,424,0,A00,486.75,04015
91,04,017,2018,424,0,A00,147.25,04017
92,04,019,2018,424,0,A00,2398.0,04019
93,04,021,2018,424,0,A00,627.0,04021
94,04,023,2018,424,0,A00,1586.25,04023
95,04,025,2018,424,0,A00,762.5,04025
96,04,027,2018,424,0,A00,739.25,04027
97,05,001,2018,424,0,A00,277.5,05001
98,05,003,2018,424,0,A00,94.5,05003
99,05,005,2018,424,0,A00,83.5,05005
100,05,007,2018,424,0,A00,3058.5,05007
101,05,009,2018,424,0,A00,195.5,05009
102,05,011,2018,424,0,A00,26.5,05011
103,05,015,2018,424,0,A00,156.0,05015
104,05,017,2018,424,0,A00,34.5,05017
105,05,021,2018,424,0,A00,192.5,05021
106,05,023,2018,424,0,A00,59.0,05023
107,05,027,2018,424,0,A00,83.5,05027
108,05,029,2018,424,0,A00,25.5,05029
109,05,031,2018,424,0,A00,782.5,05031
110,05,033,2018,424,0,A00,401.5,05033
111,05,035,2018,424,0,A00,288.0,05035
112,05,037,2018,424,0,A00,196.0,05037
113,05,039,2018,424,0,A00,33.0,05039
114,05,041,2018,424,0,A00,74.5,05041
115,05,043,2018,424,0,A00,46.5,05043
116,05,045,2018,424,0,A00,199.5,05045
117,05,047,2018,424,0,A00,48.5,05047
118,05,049,2018,424,0,A00,15.0,05049
119,05,051,2018,424,0,A00,461.5,05051
120,05,053,2018,424,0,A00,14.0,05053
121,05,055,2018,424,0,A00,210.0,05055
122,05,057,2018,424,0,A00,84.5,05057
123,05,059,2018,424,0,A00,19.5,05059
124,05,061,2018,424,0,A00,26.5,05061
125,05,063,2018,424,0,A00,200.0,05063
126,05,065,2018,424,0,A00,18.5,05065
127,05,067,2018,424,0,A00,171.5,05067
128,05,069,2018,424,0,A00,496.5,05069
129,05,071,2018,424,0,A00,28.0,05071
130,05,075,2018,424,0,A00,112.5,05075
131,05,077,2018,424,0,A00,63.5,05077
132,05,079,2018,424,0,A00,28.0,05079
133,05,081,2018,424,0,A00,23.0,05081
134,05,083,2018,424,0,A00,,05083
135,05,085,2018,424,0,A00,170.5,05085
136,05,087,2018,424,0,A00,8.0,05087
137,05,089,2018,424,0,A00,,05089
138,05,091,2018,424,0,A00,182.0,05091
139,05,093,2018,424,0,A00,371.0,05093
140,05,095,2018,424,0,A00,165.5,05095
141,05,097,2018,424,0,A00,47.5,05097
142,05,099,2018,424,0,A00,,05099
143,05,101,2018,424,0,A00,,05101
144,05,103,2018,424,0,A00,136.5,05103
145,05,105,2018,424,0,A00,,05105
146,05,107,2018,424,0,A00,168.0,05107
147,05,109,2018,424,0,A00,62.5,05109
148,05,111,2018,424,0,A00,265.5,05111
149,05,113,2018,424,0,A00,21.5,05113
150,05,115,2018,424,0,A00,161.5,05115
151,05,117,2018,424,0,A00,70.5,05117
152,05,119,2018,424,0,A00,4516.5,05119
153,05,121,2018,424,0,A00,61.5,05121
154,05,123,2018,424,0,A00,416.0,05123
155,05,125,2018,424,0,A00,193.5,05125
156,05,127,2018,424,0,A00,33.0,05127
157,05,129,2018,424,0,A00,,05129
158,05,131,2018,424,0,A00,598.5,05131
159,05,133,2018,424,0,A00,23.0,05133
160,05,135,2018,424,0,A00,33.5,05135
161,05,139,2018,424,0,A00,289.5,05139
162,05,141,2018,424,0,A00,78.0,05141
163,05,143,2018,424,0,A00,1447.5,05143
164,05,145,2018,424,0,A00,190.0,05145
165,05,147,2018,424,0,A00,106.0,05147
166,05,149,2018,424,0,A00,22.0,05149
167,06,001,2018,424,0,A00,14560.75,06001
168,06,005,2018,424,0,A00,31.0,06005
169,06,007,2018,424,0,A00,878.0,06007
170,06,009,2018,424,0,A00,36.5,06009
171,06,011,2018,424,0,A00,438.25,06011
172,06,013,2018,424,0,A00,3725.5,06013
173,06,015,2018,424,0,A00,16.75,06015
174,06,017,2018,424,0,A00,221.5,06017
175,06,019,2018,424,0,A00,8299.5,06019
176,06,021,2018,424,0,A00,257.75,06021
177,06,023,2018,424,0,A00,649.5,06023
178,06,025,2018,424,0,A00,1295.5,06025
179,06,027,2018,424,0,A00,67.75,06027
180,06,029,2018,424,0,A00,3253.5,06029
181,06,031,2018,424,0,A00,335.0,06031
182,06,033,2018,424,0,A00,62.75,06033
183,06,035,2018,424,0,A00,43.75,06035
184,06,037,2018,424,0,A00,111987.25,06037
185,06,039,2018,424,0,A00,499.25,06039
186,06,041,2018,424,0,A00,1263.25,06041
187,06,043,2018,424,0,A00,,06043
188,06,045,2018,424,0,A00,540.0,06045
189,06,047,2018,424,0,A00,1450.75,06047
190,06,049,2018,424,0,A00,65.0,06049
191,06,051,2018,424,0,A00,0.0,06051
192,06,053,2018,424,0,A00,3743.5,06053
193,06,055,2018,424,0,A00,1195.0,06055
194,06,057,2018,424,0,A00,115.5,06057
195,06,059,2018,424,0,A00,29741.75,06059
196,06,061,2018,424,0,A00,1480.25,06061
197,06,063,2018,424,0,A00,9.5,06063
198,06,065,2018,424,0,A00,10396.75,06065
199,06,067,2018,424,0,A00,6958.25,06067
200,06,069,2018,424,0,A00,180.75,06069
201,06,071,2018,424,0,A00,14434.5,06071
202,06,073,2018,424,0,A00,17301.25,06073
203,06,075,2018,424,0,A00,6761.0,06075
204,06,077,2018,424,0,A00,6679.0,06077
205,06,079,2018,424,0,A00,1441.25,06079
206,06,081,2018,424,0,A00,5257.75,06081
207,06,083,2018,424,0,A00,2855.75,06083
208,06,085,2018,424,0,A00,8247.0,06085
209,06,087,2018,424,0,A00,2166.5,06087
210,06,089,2018,424,0,A00,697.75,06089
211,06,091,2018,424,0,A00,,06091
212,06,093,2018,424,0,A00,195.5,06093
213,06,095,2018,424,0,A00,1329.5,06095
214,06,097,2018,424,0,A00,4166.75,06097
215,06,099,2018,424,0,A00,3314.25,06099
216,06,101,2018,424,0,A00,805.75,06101
217,06,103,2018,424,0,A00,88.5,06103
218,06,105,2018,424,0,A00,7.25,06105
219,06,107,2018,424,0,A00,2012.5,06107
220,06,109,2018,424,0,A00,84.75,06109
221,06,111,2018,424,0,A00,6265.0,06111
222,06,113,2018,424,0,A00,3140.25,06113
223,06,115,2018,424,0,A00,70.25,06115
224,08,001,2018,424,0,A00,6891.75,08001
225,08,003,2018,424,0,A00,102.75,08003
226,08,005,2018,424,0,A00,4529.25,08005
227,08,007,2018,424,0,A00,8.0,08007
228,08,009,2018,424,0,A00,50.5,08009
229,08,013,2018,424,0,A00,2681.5,08013
230,08,014,2018,424,0,A00,462.75,08014
231,08,015,2018,424,0,A00,161.5,08015
232,08,017,2018,424,0,A00,27.25,08017
233,08,019,2018,424,0,A00,30.5,08019
234,08,021,2018,424,0,A00,68.5,08021
235,08,023,2018,424,0,A00,,08023
236,08,025,2018,424,0,A00,,08025
237,08,027,2018,424,0,A00,,08027
238,08,029,2018,424,0,A00,51.75,08029
239,08,031,2018,424,0,A00,9797.5,08031
240,08,033,2018,424,0,A00,,08033
241,08,035,2018,424,0,A00,1129.0,08035
242,08,037,2018,424,0,A00,197.25,08037
243,08,039,2018,424,0,A00,29.75,08039
244,08,041,2018,424,0,A00,1305.5,08041
245,08,043,2018,424,0,A00,39.25,08043
246,08,045,2018,424,0,A00,419.25,08045
247,08,047,2018,424,0,A00,6.333333333333333,08047
