,FIPSTATE,FIPS,NAICS,STATE,County,MMBTU_TOTAL,lbCO2e,tonCO2e,tonCO2e_Coal,tonCO2e_Diesel,tonCO2e_Natural_gas,tonCO2e_Net_electricity,tonCO2e_Other,tonCO2e_Residual_fuel_oil,tonCO2e_LPG_NGL,lbCO2e_log10,tonCO2e_log10,NAICS_desc,POP,tonCO2e_percapita,lbCO2e_percapita,tonCO2e_percapita_log10,lbCO2e_percapita_log10
0,01,01001,2123,ALABAMA,autauga,38146.78858734235,7173843.074725845,3586.921537362922,995.9767521768027,608.0922568096717,498.97701671922533,985.7615615113275,250.93728032629613,247.17666981959889,0.0,6.855751872406016,3.5547218767420343,Nonmetallic Mineral Mining and Quarrying,55416,0.06472718235460738,129.45436470921476,-1.1889132978867478,2.112116697777233
1,01,01003,2111,ALABAMA,baldwin,1290309.074715693,161458381.7746441,80729.19088732207,1124.1133470222337,2761.4411466513575,69352.54568839006,6217.256125286962,1153.2267316677796,120.6078483036581,0.0,8.208060595429298,4.907030599765317,Oil and Gas Extraction,208563,0.3870734065357809,774.1468130715616,-0.4122066653937816,2.8888233302701996
2,01,01003,2123,ALABAMA,baldwin,30541.648230646282,5971117.954235392,2985.5589771176956,348.8414903335846,816.2490995921797,152.38844367879705,1096.4008328457326,387.68042915364475,183.99868151375676,0.0,6.776055650375813,3.475025654711832,Nonmetallic Mineral Mining and Quarrying,208563,0.014314902341823314,28.62980468364663,-1.8442116104472668,1.4568183852167143
3,01,01003,2131,ALABAMA,baldwin,30266.523383946544,4738875.693898296,2369.4378469491485,25.922269715379315,656.6926226417403,353.99455077703243,239.29582408329296,517.9128179554788,575.6197617762243,0.0,6.675675316810378,3.3746453211463967,Support Activities for Mining,208563,0.011360777544191196,22.721555088382388,-1.944591944012702,1.356438051651279
4,01,01005,2122,ALABAMA,barbour,637961.8523768964,145561042.35959652,72780.52117979826,0.0,4473.624383885482,9067.228844464338,51147.885315609456,4806.052217569083,3285.7304182699004,0.0,8.163045156899084,4.862015161235103,Metal Ore Mining,25965,2.803024116302648,5606.048232605296,0.44762683430402794,3.748656829968009
5,01,01005,2123,ALABAMA,barbour,1148066.878395597,141426265.44572198,70713.13272286099,4058.7842069443154,323.4283874653133,63007.05327369561,2538.0942062147533,74.10260883168763,695.7938507479596,15.876188961348813,8.150530073384768,4.849500077720786,Nonmetallic Mineral Mining and Quarrying,25965,2.7234019920223758,5446.803984044752,0.43511175078971126,3.7361417464536926
6,01,01005,2131,ALABAMA,barbour,23278.607470328367,3472244.61122086,1736.1223056104302,0.0,642.5572134841245,536.8739521735141,176.17499444166756,220.15459129383254,160.36155421729126,0.0,6.5406103125762876,3.239580316912306,Support Activities for Mining,25965,0.06686394398653689,133.72788797307376,-1.174808010018769,2.1262219856452123
7,01,01007,2123,ALABAMA,bibb,30968.800285077912,6414880.719804279,3207.440359902139,901.1513602045709,541.326959030665,137.33580928356682,1159.6003376871256,257.22375453887594,210.80213915733492,0.0,6.807188585385551,3.50615858972157,Nonmetallic Mineral Mining and Quarrying,22643,0.1416526237646133,283.3052475292266,-0.8487753768375771,2.4522546188264043
8,01,01009,2131,ALABAMA,blount,18377.334675487873,3398592.0451495554,1699.2960225747777,236.50496875460465,622.4685886167175,15.683435674835925,338.5859815335786,191.77532969322763,294.2777183018133,0.0,6.531299036553178,3.2302690408891968,Support Activities for Mining,57704,0.0294484961627405,58.896992325480994,-1.5309368782928128,1.7700931173711683
9,01,01015,2123,ALABAMA,calhoun,61937.600570155824,13242805.374855451,6621.402687427725,1802.3027204091418,1082.65391806133,274.67161856713363,2525.722642997698,514.447509077752,421.60427831466984,0.0,7.121979996414923,3.820950000750942,Nonmetallic Mineral Mining and Quarrying,114611,0.057772837576041784,115.54567515208358,-1.238276301086725,2.062753694577256
10,01,01021,2123,ALABAMA,chilton,30541.648230646282,5971117.954235392,2985.5589771176956,348.8414903335846,816.2490995921797,152.38844367879705,1096.4008328457326,387.68042915364475,183.99868151375676,0.0,6.776055650375813,3.475025654711832,Nonmetallic Mineral Mining and Quarrying,43941,0.06794472081012484,135.8894416202497,-1.1678442815672447,2.1331857140967365
11,01,01023,2111,ALABAMA,choctaw,187439.76026658903,26746953.05363444,13373.47652681722,562.0566735111169,350.7601555322768,8715.114345144626,3108.628062643481,576.6133658338897,60.30392415182905,0.0,7.427274315427816,4.126244319763835,Oil and Gas Extraction,12993,1.029283193012947,2058.5663860258937,0.012534881314330127,3.3135648769783113
12,01,01023,2131,ALABAMA,choctaw,60533.04676789309,9477751.387796592,4738.875693898297,51.84453943075864,1313.3852452834806,707.9891015540649,478.5916481665859,1035.8256359109575,1151.2395235524486,0.0,6.976705312474359,3.675675316810378,Support Activities for Mining,12993,0.36472529007144594,729.4505801428917,-0.43803412163912664,2.8629958740248544
13,01,01025,2111,ALABAMA,clarke,187439.76026658906,26746953.05363444,13373.47652681722,562.0566735111169,350.7601555322768,8715.114345144626,3108.628062643481,576.6133658338898,60.30392415182905,0.0,7.427274315427816,4.126244319763835,Oil and Gas Extraction,24392,0.5482730619390463,1096.5461238780927,-0.2610030915934894,3.040026904070492
14,01,01025,2123,ALABAMA,clarke,10180.549410215428,1990372.651411797,995.1863257058985,116.2804967778615,272.0830331973932,50.79614789293236,365.4669442819109,129.2268097178816,61.33289383791893,0.0,6.2989343956561505,2.9979043999921697,Nonmetallic Mineral Mining and Quarrying,24392,0.04079970177541401,81.59940355082801,-1.3893430113651546,1.9116869842988264
15,01,01027,2122,ALABAMA,clay,417125.47628635826,90002528.75159231,45001.264375796156,5998.030556141312,5657.9994703856555,5369.613349997348,23993.255530947503,675.1823833238167,3307.1830850005204,0.0,7.954254711744151,4.653224716080171,Metal Ore Mining,13492,3.3354035262226622,6670.807052445324,0.5231483835630067,3.824178379226988
16,01,01029,2123,ALABAMA,cleburne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,-inf,Nonmetallic Mineral Mining and Quarrying,14924,0.0,0.0,-inf,-inf
17,01,01033,2111,ALABAMA,colbert,187439.76026658903,27300592.06462946,13650.29603231473,562.0566735111169,350.7601555322768,8715.114345144626,3385.447568140993,576.6133658338897,60.30392415182905,0.0,7.43617206563465,4.1351420699706685,Oil and Gas Extraction,54216,0.25177615523673325,503.55231047346655,-0.5989854026613002,2.702044593002681
18,01,01033,2123,ALABAMA,colbert,185812.80171046747,39728416.124566354,19864.208062283175,5406.908161227426,3247.9617541839893,824.0148557014007,7577.1679289930935,1543.3425272332563,1264.8128349440096,0.0,7.599101251134585,4.298071255470604,Nonmetallic Mineral Mining and Quarrying,54216,0.3663901442799759,732.7802885599519,-0.436056217161365,2.864973778502616
19,01,01035,2123,ALABAMA,conecuh,29196.47668294649,5983596.948590285,2991.798474295142,1295.9635820698281,308.78211869403674,287.71110463492124,901.7144532485652,104.47986990193493,93.14734574585619,0.0,6.77696233203247,3.4759323363684893,Nonmetallic Mineral Mining and Quarrying,12395,0.2413713976841583,482.74279536831665,-0.6173141947353511,2.68371580092863
20,01,01039,2123,ALABAMA,covington,61937.600570155824,12829761.439608555,6414.880719804278,1802.3027204091418,1082.65391806133,274.67161856713363,2319.2006753742507,514.447509077752,421.60427831466984,0.0,7.108218581049532,3.807188585385551,Nonmetallic Mineral Mining and Quarrying,37458,0.17125529178825025,342.5105835765005,-0.766355999929382,2.5346739957345994
21,01,01041,2131,ALABAMA,crenshaw,14079.033524122846,2335868.8990066703,1167.9344495033351,156.68683825434346,404.47664198454413,34.78534731964514,74.27473308474569,246.65513413162145,251.0557547284353,0.0,6.368448464281232,3.0674184686172503,Support Activities for Mining,13913,0.08394555088789873,167.89110177579747,-1.0760023165126862,2.225027679151295
22,01,01043,2121,ALABAMA,cullman,183950.06058939113,35656950.03659905,17828.47501829952,2144.8993393640126,6875.645008671866,137.52210645294772,4538.093773517385,564.4397252369479,3567.875065056364,0.0,7.5521441924870265,4.251114196823045,Coal Mining,82471,0.21617871758920734,432.3574351784148,-0.665187063798639,2.6358429318653425
23,01,01043,2123,ALABAMA,cullman,30968.800285077912,6621402.687427726,3310.701343713863,901.1513602045709,541.326959030665,137.33580928356682,1262.8613214988493,257.22375453887594,210.80213915733492,0.0,6.820950000750941,3.5199200050869606,Nonmetallic Mineral Mining and Quarrying,82471,0.04014382441966101,80.28764883932202,-1.3963812555347235,1.9046487401292576
24,01,01047,2123,ALABAMA,dallas,30541.648230646282,5971117.954235392,2985.5589771176956,348.8414903335846,816.2490995921797,152.38844367879705,1096.4008328457326,387.68042915364475,183.99868151375676,0.0,6.776055650375813,3.475025654711832,Nonmetallic Mineral Mining and Quarrying,40008,0.07462404961801879,149.24809923603758,-1.1271211868277793,2.173908808836202
