,County,State,FIPS,TotalOil (bbl),TotalGas (mcf),em_gas_county (lbCO2e),em_oil_county (lbCO2e),em_total_county (lbCO2e),annual_avg_emplvl
0,ACADIA,LA,22001,732119.6667,2262940.402,269515409.87526125,707710147.6406338,977225557.5158951,8
1,ADAMS,CO,08001,7273553,31081132,3904786329.4806004,7032266607.262152,10937052936.742752,19
2,ALBANY,WY,56001,15495,155,19418.7255,14980982.620120738,15000401.345620738,
3,ALCONA,MI,26001,0,2766487,341750640.4,0,341750640.4,
4,ALFALFA,OK,40003,1717486,30633213,3684138589.6399503,1615060468.9082737,5299199058.5482235,
5,ALLEGAN,MI,26005,24933,2233,275847.7376,24017175.51,24293023.25,
6,ALLEGHENY,PA,42003,35.00000000000001,188797488.1,22860109607.522564,33818.39358988119,22860143425.916153,936.25
7,ALLEN,KS,20001,604208.84,131597,15857366.121650001,568175701.2569093,584033067.3785592,55
8,ALLEN,LA,22003,230440.8672,704241,83874856.62,222757764.28987154,306632620.9055215,
9,ALPENA,MI,26007,0,4425190,546654119.9,0,546654119.9,
10,ANDERSON,KS,20003,352960.61,0,0,331911135.3995027,331911135.3995027,24.25
11,ANDERSON,TX,48001,644605,6162181,734632418.8,603734864.1,1338367282.810351,23.25
12,ANDREWS,TX,48003,71926831.3,126270540.1,15053506587.100872,67366427065.605576,82419933652.70645,514.75
13,ANGELINA,TX,48005,2687,68957106,8220811036.027801,2516635.117210318,8223327671.145011,8.5
14,ANTRIM,MI,26009,195,11651449,1439330876,187837.3731695041,1439518713.2483194,
15,ARANSAS,TX,48007,114141,2978070,355034486.5,109572456.06231362,464606942.6033136,
16,ARAPAHOE,CO,08005,2328154,6884878,864961337.1399001,2250921885.1864843,3115883222.3263845,236.75
17,ARCHER,TX,48009,1034993.291,370538,44174169.37,969371217.8109454,1013545387.1803454,10.75
18,ARCHULETA,CO,08007,1675,18875219,2371332457,1619435.0363796214,2372951892,
19,ARENAC,MI,26011,25629,107318,13257244.737300001,24687610.445954975,37944855.18325497,
20,ARMSTRONG,PA,42005,2411.329989,70731016.36125559,8564302434.765002,2329923.0468486864,8566632357.811851,197.25
21,ASCENSION,LA,22005,5257,9655,1149907.121,5081726.957382476,6231634.078132476,
22,ASHLAND,OH,39005,16892.99998,192188.9996,23943328.39,16272496.107279817,40215824.498830214,
23,ASHLEY,AR,05003,6611,0,0,6448534.998981405,6448534.998981405,
24,ASHTABULA,OH,39007,71634.00001,926336,115404976.82200597,69002781.49151383,184407758.3135198,7.5
25,ASSUMPTION,LA,22007,204190,1336929,159227776,197382124.2967335,356609900.2715835,
26,ATASCOSA,TX,48013,631,0,0,590992.4670486455,590992.4670486455,44.25
27,ATHENS,OH,39009,9578,243810.9998,30374510.744562108,9226186.463,39600697.20754352,
28,ATOKA,OK,40005,1734,10494394,1262120363,1630589.625235342,1263750952.5883353,
29,AUGLAIZE,OH,39011,3.000000096000001,117.0000003,14576.117434883015,2889.805833543078,17465.923268426093,
30,AUSTIN,TX,48015,512717,8771710,1045730810.8730001,480209009.07730645,1525939819.9503067,7
31,AVOYELLES,LA,22009,158338,25903,3085038.2339500003,153058870.6444791,156143908.87842909,
32,BACA,CO,08009,15506,235735,29615871.306750003,14991617.715882035,44607489.02263204,
33,BALDWIN,AL,01003,24330,27433054,3299267787,23518816.220870394,3322786603.5429707,
34,BANDERA,TX,48019,512,0,0,479537.4693009612,479537.4693009612,
35,BANNER,NE,31007,143872,4242,527982.8631,135291920.73924977,135819903.60234976,
36,BARBER,KS,20007,744593.03,11780566,1419551723.6887002,700187814.2,2119739537.8412652,31
37,BARBOUR,WV,54001,16723,16347657,2072859203.4973502,16158428.457245229,2089017631.9545953,
38,BARRY,MI,26015,938,0,0,903545.9283743326,903545.9283743326,0
39,BARTON,KS,20009,1722667.97,173558,20913643.543100003,1619933402.3109732,1640847045.8540733,59.5
40,BASTROP,TX,48021,68049,72008,8584527.33,63734463.38,72318990.71,
41,BAY,MI,26017,499747,0,0,481390583.22738546,481390583.22738546,13.5
42,BAYLOR,TX,48023,59692,1504,179301.3152,55907325.42483003,56086626.74003003,
43,BEAUREGARD,LA,22011,1071479.667,4729097,563233797.5,1035755584.2445576,1598989381.7606077,28
44,BEAVER,OK,40007,323363,12582311,1513226102,304078634.93943244,1817304737.0120823,39
45,BEAVER,PA,42007,2.220446e-16,101735994.1,12318468851.601486,2.145483336373637e-13,12318468851.601486,
46,BECKHAM,OK,40009,466684,13751125,1653794862,438852415.6074569,2092647277.526207,36.75
47,BEDFORD,PA,42009,0,7.275958e-12,8.809926397265998e-10,0,8.809926397265998e-10,
48,BEE,TX,48025,270138,9041890,1077940670.8070002,253010337.66020125,1330951008.4672015,7
49,BELMONT,OH,39013,607038.0004,793364769.7,98839128406.43893,584740632.8780506,99423869039.31699,150
50,BENT,CO,08011,0,201026,25255308.48,0,25255308.48,
51,BENZIE,MI,26019,0,96822,11960649.19,0,11960649.19,
52,BEXAR,TX,48029,92895,392368,46776661.2,87005142.98967342,133781804.18807343,1753.75
53,BIBB,AL,01007,0,340872,40995363.08,0,40995363.08,
54,BIENVILLE,LA,22013,88685,223561544.1,26626101655.769566,86505570.47113387,26712607226,106.25
55,BIG HORN,MT,30003,37797,0,0,36543155.862710774,36543155.862710774,6.25
56,BIG HORN,WY,56003,924873,987447,123709433.8,894192083.8218087,1017901517.6205087,0
57,BILLINGS,ND,38007,3126786,4153331,517915599.4,3102423642.735305,3620339242.104655,82.25
58,BLAINE,MT,30005,201952,2923858,365624934.27040005,195252623.56235063,560877557.8327507,
59,BLAINE,OK,40011,6070110,130786277,15729162007.62355,5708107491.370993,21437269498.994545,50.75
60,BLAIR,PA,42013,0,459721,55664259.93,0,55664259.93,
61,BOONE,WV,54005,789,4336560,549869520,762363.2154976072,550631883.2034976,
62,BORDEN,TX,48033,8665048,8828475,1052498124,8115654666.584678,9168152790.727179,
