,Plant Code,Plant Name,State,Sector Code,Balancing Authority Name,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Tons of CO2 Emissions,Metric Tonnes of CO2 Emissions,Aggregated Fuel Group,Utility ID,Utility Name,Zip,County,Latitude,Longitude,FIPS,tonCO2e_PET,tonCO2e_GAS,tonCO2e_COAL,tonCO2e_other,tonCO2e_sum,Establishments,NERC Region,Nameplate Capacity (MW)
0,1,Sand Point,AK,2,Balancing Authority Not Reported,2758000.0,0.0,28934.0,28934.0,0.0,4967.0,2333.3824184264,2116.8306435874,PET,63560,"TDX Sand Point Generating, LLC",99661,aleutians east,55.339722,-160.497222,02013,2333.3824184264,0.0,0.0,0.0,2333.3824184264,1.0,ASCC,4.0
1,10,Greene County,AL,1,"Southern Company Services, Inc. - Trans",1767889000.0,0.0,18784215.0,18784215.0,0.0,18229069.0,1098901.0630372774,996916.5046151555,GAS,195,Alabama Power Co,36732,greene,32.6017,-87.7811,01063,0.0,1098901.0630372774,0.0,0.0,1098901.0630372774,1.0,SERC,1288.4
2,10003,Colorado Energy Nations Company,CO,3,Public Service Company of Colorado,161256460.0,2211316.0,4564369.0,939266.0,3625103.0,4102792.0,267013.722868137,242233.260335786,GAS,19173,Colorado Energy Nations Company LLC,80401,jefferson,39.7606,-105.215,08059,0.0,267013.722868137,0.0,0.0,267013.722868137,1.0,WECC,35.0
3,10008,Baptist Medical Center,FL,5,JEA,19058000.0,103866.0,281484.0,108375.0,173109.0,270270.0,16466.6990700828,14938.4913998755,GAS,1194,Baptist Memorial Hospital,32207,duval,30.314467,-81.662705,12031,0.0,16466.6990700828,0.0,0.0,16466.6990700828,1.0,SERC,9.0
4,1001,Cayuga,IN,1,"Midcontinent Independent System Operator, Inc.",3868583130.0,0.0,39135194.0,39135194.0,0.0,1898891.0,4017010.545616864,3644208.060978737,COAL,15470,"Duke Energy Indiana, LLC",47928,vermillion,39.9242,-87.4244,18165,0.0,0.0,4017010.545616864,0.0,4017010.545616864,1.0,RFC,1184.9
5,10012,Covanta Warren Energy,NJ,2,"PJM Interconnection, LLC",8054000.0,0.0,175086.0,175086.0,0.0,19836.0,8284.8648244428,7515.9800639053,MSW,4458,Covanta Warren Energy Resource Co LP,7863,warren,40.8205,-75.0112,34041,0.0,0.0,0.0,8284.8648244428,8284.8648244428,1.0,RFC,13.5
6,10013,Covanta Hennepin Energy,MN,2,"Midcontinent Independent System Operator, Inc.",195319000.0,0.0,3683340.0,3683340.0,0.0,454989.0,170783.6189202857,154933.8827182127,MSW,4435,Covanta Energy Co,55405,hennepin,44.9833,-93.280382,27053,0.0,0.0,0.0,170783.6189202857,170783.6189202857,1.0,MRO,39.5
7,10017,WestRock-West Point Mill,VA,7,"PJM Interconnection, LLC",199282291.0,4456521.0,5803146.0,795822.0,5007324.0,5092295.0,360379.14600204705,326933.8165672202,GAS,17465,WestRock-West Point Mill,23181,king william,37.5392,-76.8053,51101,0.0,360379.14600204705,0.0,0.0,360379.14600204705,1.0,SERC,101.0
8,10018,Desert Peak Power Plant,NV,2,Nevada Power Company,93385000.0,0.0,318630.0,831500.0,0.0,0.0,2707.9726326152,2456.6566566408,GEO,34691,Ormat Nevada Inc,89406,lyon,39.753999,-118.953497,32019,0.0,0.0,0.0,2707.9726326152,2707.9726326152,1.0,WECC,26.0
9,10020,Cutrale Citrus Juices USA I,FL,6,"Duke Energy Florida, Inc.",24841000.0,0.0,402139.0,402139.0,0.0,392715.0,23524.9673066463,21341.7103389697,GAS,4558,Cutrale Citrus Juices USA Inc,34748,lake,28.811828,-81.865273,12069,0.0,23524.9673066463,0.0,0.0,23524.9673066463,1.0,SERC,4.1
