,FIPS,County,State,NERC Region,Generation (kWh),Useful Thermal Output (MMBtu),Tons of CO2 Emissions,tonCO2e_PET,tonCO2e_GAS,tonCO2e_COAL,tonCO2e_other,Metric Tonnes of CO2 Emissions,Nameplate Capacity (MW),Establishments,emp,emp_new,Winsorized_MWh?,Winsorized_emp?,short_tonCO2e_peremployee,Sector Code,Winsorized_intensity?,short_tonCO2e_peremployee_LOG,population,tonCO2e_percapita,tonCO2e_percapita_log,annual_avg_emplvl,tonCO2e_perjob,tonCO2e_perjob_log
0,01023,choctaw,AL,SERC,85050992.0,2245017.0,302112.91522502084,0.0,302112.91522502084,0.0,0.0,274075.0387598839,87.5,1.0,0.34531679797110776,3.388773978294233,1,1,89151.09628441252,7,1,4.950131559446868,12665.0,23.85415832807113,1.3953990605885362,3653.0,82.70268689433912,1.9227393992675212
1,01025,clarke,AL,SERC,40959840.0,1664424.0,163348.08088642103,0.0,163348.08088642103,0.0,0.0,148188.4068642123,15.6,1.0,0.515672194921091,1.8322610455097832,0,1,89151.09628441252,7,1,4.950131559446868,23087.0,7.075327278833154,0.9071601325524896,7967.0,20.50308533782114,1.3325007784763458
2,01047,dallas,AL,SERC,382971691.0,3125892.0,396360.23958948,0.0,396360.23958948,0.0,0.0,359575.6505393095,104.2,1.0,1.2220930367013376,5.0933832310966975,1,0,77818.65640299296,7,0,4.891089308932211,38462.0,10.305242566415682,1.053279885047205,12201.0,32.485881451477745,1.5248617353902942
3,01053,escambia,AL,SERC,214203906.0,3740686.0,399017.349544087,0.0,399017.349544087,0.0,0.0,361986.164877154,103.4,1.0,1.0790732726083376,4.475742488585108,1,0,89151.09628441252,7,1,4.950131559446868,36757.0,10.855547230298637,1.073921605012983,12875.0,30.991638799540738,1.5050364877667546
4,01091,marengo,AL,SERC,6948699.0,186044.0,18659.7102466412,0.0,18659.7102466412,0.0,0.0,16927.9780882166,47.4,1.0,52.09175790894457,52.09175790894457,0,0,358.20849584800015,7,0,2.555346599866847,19323.0,0.9656735624199762,0.29351139660351866,7180.0,2.5988454382508634,0.5561631951507778
5,01113,russell,AL,SERC,212550310.0,2177269.0,232594.961595117,0.0,232594.961595117,0.0,0.0,211008.7649415919,120.5,1.0,1.7400348568169042,2.8268412787680557,1,0,82280.8706460104,7,0,4.915304156649387,59183.0,3.9300975211651488,0.6928555100449791,14181.0,16.40187304104908,1.2405959958465496
6,01131,wilcox,AL,SERC,67615503.0,1062253.0,138821.1626882465,0.0,138821.1626882465,0.0,0.0,125937.73263925029,77.4,1.0,0.20680290742595914,1.5571447629244517,0,1,89151.09628441252,7,1,4.950131559446868,10600.0,13.096336102664763,1.1491062461894592,2793.0,49.703244786339596,1.7050357531737736
7,05003,ashley,AR,SERC,146984179.0,3735040.0,371569.964441682,0.0,371569.964441682,0.0,0.0,337086.0604569374,25.0,1.0,1.9172807613622513,4.167867585792644,1,0,89151.09628441252,7,1,4.950131559446868,19062.0,19.492706140052565,1.3115993124319307,6562.0,56.624499305346234,1.7606071648641697
8,05041,desha,AR,SERC,34229426.0,1808394.0,151543.6085421284,0.0,151543.6085421284,0.0,0.0,137479.4598041623,28.0,1.0,1.017212770887307,1.6998513182459296,0,0,89151.09628441252,7,1,4.950131559446868,11395.0,13.29913194753211,1.1553096737000625,4677.0,32.40188337441275,1.523770955316191
9,05081,little river,AR,SERC,122165086.0,3289448.0,343728.9456728654,0.0,343728.9456728654,0.0,0.0,311828.8539171411,156.5,1.0,1.5655107617285602,3.855577328811425,1,0,89151.09628441252,7,1,4.950131559446868,12026.0,28.582150812644716,1.471029746811156,3444.0,99.80515263439761,2.0034827315489294
